dataset_name	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Catabacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae	0.0	0.0	0.0	0.06486	0.0	0.0	0.0	0.0	0.00726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	0.0	0.0	0.0	0.80363	0.34735	0.21365	0.0	0.0	0.0	0.00698	0.0	0.46361	0.0	0.07742	0.05367	0.00632	0	0.22533	0.46606	0.0	0.0	0.13857	1.14806	0.04022	0.0	0.0	0.14225	0.0	0.3562	0.0	0.0	0.0	0.01741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31181	0.0	0.0	0.03641	0.29723	0.0	0.0	0.03242	0.0	0.51594	0.0	0.61653	0.0	0.0488
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_Family_XIII_Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.00614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified	0.11389	0.0	0.0	0.61875	0.01627	1.11562	0.27939	0.30164	0.11654	0.0	0.00356	0.0	0.0	0.0	0.0	0.35571	0	0.02871	0.1473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13979	0.0	0.0	0.16005	1.18351	0.26271	0.0	0.0	1.9393	0.0	0.0	0.0	0.54619	0.15705	1.10984	0.0	0.0	0.0	0.0	0.18778	0.0	0.0	0.75124	0.54104	0.24128	1.10788	4.03755	0.20325	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	6.3851	1.84296	4.70346	0.80919	4.18752	4.16433	0.0	3.23615	2.52751	0.07128	9.28345	0.58383	14.64931	0.40995	1.40227	2.99605	0	7.4189	1.21599	5.22974	5.19983	6.69868	0.0	7.4601	0.2276	0.20804	4.32717	3.07072	3.74226	6.38473	10.79895	4.56319	6.42519	0.16172	1.35824	3.26129	19.42809	3.50866	0.32038	0.13997	4.08776	4.23581	0.0	5.26243	5.60879	0.92627	9.64868	0.67833	0.49088	7.62256	1.79131	8.05391	3.12693	16.97834	4.91612
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	56.02161	63.53788	56.57224	25.26823	45.04238	24.30994	34.55653	13.19832	37.02813	62.60739	75.85533	15.75759	44.95585	69.48073	58.61941	27.51898	0	24.03553	49.57166	77.05399	47.9215	27.05109	30.30352	59.83957	15.36799	72.27189	52.74321	32.68482	25.6055	59.71779	54.02688	20.62757	46.41581	89.20653	44.82822	31.23888	20.19475	39.95842	5.41771	11.78534	56.05715	57.86953	34.44899	16.26969	41.74678	17.49245	69.63658	40.94581	6.37171	29.6713	71.42894	56.29486	25.06983	42.31806	52.70007
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae	0.0	0.0	0.0	0.0	0.4276	3.95474	0.0	0.02955	1.27696	0.0	0.0	0.0	0.15512	0.0	0.0	0.01097	0	5.72473	0.0	0.0	0.0	0.0	0.0	0.0	0.34164	0.0	0.27395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12618	0.0	0.15058	0.0	0.15962	0.0	0.00932	0.0	0.0	0.09064	0.0	0.0	0.0	0.24362	0.47619	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	0.0	0.0	0.0	0.0166	0.0	0.0	0.0	0.00418	0.0	0.05154	0.0	0.0	0.03988	0.0	0.0	0.0	0	0.0	0.0	0.9421	0.19435	1.58953	2.56729	0.64111	0.0	0.0135	0.60307	0.0	0.30883	0.0	0.37344	0.0	0.27513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12932	0.02408	0.0	0.04362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02599	0.0	0.0207
