dataset_name	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016
study_condition	T1D	T1D	T1D	control	control	control	control	control	control	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	control	control	control	T1D	T1D	control	control	control	control	control	T1D	T1D	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	control	control	control	control	control	control	control	control
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	17.30015	21.76906	23.45133	30.10943	21.25377	21.40995	40.36617	34.832	51.697	5.09203	10.24218	1.48173	4.8802	3.62565	24.61511	42.64108	28.0021	10.83495	21.05705	19.24144	49.10373	63.80959	60.11334	26.59883	24.76092	34.89218	36.37265	36.02351	31.55182	29.97107	28.66715	37.34289	27.42967	27.63008	35.42625	18.97796	63.90237	49.57224	2.99393	1.18984	4.19084	15.68733	5.41886	20.54287	10.75185	53.11353	11.94374	50.21595	32.54511	13.20916	10.61416	5.74041	9.32317
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	0.89779	1.87716	1.96601	0.53405	0.78198	0.99063	2.33217	1.0135	2.28795	0.17151	0.49226	0.09393	0.05771	0.07352	2.83764	2.29112	1.55861	0.36734	0.45713	0.77821	0.0793	0.10625	0.10952	4.58576	4.69937	4.52547	0.0	0.0	2.88565	2.18725	0.36913	0.87192	0.70332	2.40605	1.20088	1.20347	0.0	5.07525	0.0	0.0	0.0	0.21992	0.05279	1.07874	0.4664	0.0	0.67449	0.05097	0.26085	1.16587	0.01968	0.12783	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae	2.30918	2.25083	2.35018	1.06477	0.53143	0.64792	1.1517	0.67579	0.96337	1.66435	2.22522	0.38945	1.32367	0.69871	0.71773	1.3263	0.73609	1.42772	0.87062	1.28782	1.49594	1.34413	1.82086	0.82216	0.98571	1.32125	0.0	0.0	1.0947	1.27086	0.89402	1.11924	0.88611	4.16779	4.40297	2.82879	0.0	1.9985	0.0	0.0	0.05228	1.03887	0.47756	4.7928	0.42733	0.47565	0.56891	0.78985	1.5338	0.78131	0.25838	0.63295	0.1097
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02806	0.32526	0.09823	0.0	0.0	0.0	0.0	0.24153	0.0	0.01243	0.03218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	9.18944	5.37	0.86791	0.00359	0.0	0.03183	0.0	0.0	0.00288	39.27769	12.57761	67.92337	38.70716	54.27005	0.0	0.0	0.0	0.0	0.00262	0.03114	0.0	0.0	0.0	0.0	0.0	0.0	0.03036	0.0	0.0	0.0	0.0	0.00205	0.01092	6.42806	2.61356	0.76351	0.0	0.0	73.10552	54.87006	56.36783	37.774	72.36269	20.1271	61.64656	0.0	60.0797	0.73029	0.09162	59.36878	62.18986	67.55816	23.38716
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	6.78748	11.46161	9.92469	4.28967	8.82817	6.99042	4.33185	1.77103	5.41539	2.93198	4.49825	1.22113	3.99244	2.03567	4.77403	7.12569	3.42085	4.94701	2.5463	3.0242	13.07234	3.17288	8.51515	5.76333	6.56705	10.4459	0.0	0.0	8.15888	6.38511	7.2973	7.22059	6.98903	2.00854	2.80357	2.09713	0.03571	1.37325	0.00772	0.08169	0.02488	1.01862	0.1394	7.36589	2.23143	4.41449	2.71887	5.77485	3.4896	3.45989	0.0382	0.00333	0.20949
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	1.31149	3.43205	1.5185	1.81334	1.02392	1.01578	0.86108	0.98857	1.13745	1.67624	1.38744	0.56424	1.71978	1.62408	2.87911	4.146	1.11287	0.6242	1.26309	0.88678	1.41014	2.23083	2.47341	2.2757	1.67311	2.51696	1.44018	1.57572	4.49765	3.40541	1.0736	2.84245	3.07528	3.27872	5.14429	2.43093	0.01604	2.06279	0.28507	0.10355	0.44938	2.78093	0.62873	2.04031	1.071	1.81907	1.21453	0.54081	0.8466	1.14648	1.11481	0.25925	0.73524
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillales_unclassified	0.0	0.0	0.0	0.00856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00096	0.0	0.01384	0.00636	0.0124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00276	0.01114	0.0	0.0	0.0	0.00251	0.0	0.00236	0.0	0.0	0.04601	0.03045	0.0	0.0	0.0	0.01617	0.0	0.0054	0.0	0.05469	0.02582	0.02038	0.02142	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027	0.0	0.0	0.0	0.0
