dataset_name	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017
study_condition	IBD	IBD	IBD	IBD	control	control	control	IBD	control	control	control	control	control	IBD	control	control	control	control	IBD	IBD	IBD	IBD	IBD	IBD	control	control	control	control	control	control	control	IBD	control	control	control	control	control	control	control	control	IBD	control	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	control	control	control	IBD	IBD	IBD	IBD	control	control
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae	3.58603	14.66911	0.169	0.18673	0.83328	1.16513	0.32451	1.61517	1.39689	2.4441	2.24022	0.93763	2.46745	3.58	0.35208	0.56447	1.37809	0.52137	9.1708	58.26361	2.43959	12.07776	5.48727	9.8695	1.73276	0.16251	1.45347	0.99182	1.10654	0.48608	1.39724	1.54398	1.86885	1.30501	0.9327	2.46653	1.04705	1.80033	0.34726	2.34115	2.2606	0.21745	0.92552	1.34163	0.06628	0.0	0.0	1.59587	0.0	0.0	1.38482	1.95303	1.73632	0.85479	0.92214	3.27957	0.83607	9.34378	0.93582	1.74992	1.68973	4.57445	1.68734	4.32236	2.36216	2.94855	2.4474	4.38001	0.56056	3.48819	2.89263	1.56424	3.02609	0.4201	5.9885	3.04263	10.43844	6.54627	2.12467	2.00643	1.38514	0.0	0.0	0.0	2.03285	3.32204	1.11055	1.30282	0.66281	4.29081	1.65245	0.43546	0.21374	4.5231
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	0.01892	0.0	0.0	0.0	0.44379	0.50414	0.97584	0.16309	0.47925	0.85469	0.43124	0.0	0.07141	0.3882	1.3152	0.0	1.06969	27.19094	7.53055	0.0	0.0289	1.09095	0.18545	0.20065	0.33597	2.01268	18.33332	3.81456	11.46309	3.25782	0.40794	0.02337	0.01549	0.03811	0.0	0.0	0.0094	0.54397	0.00193	0.29022	0.04565	0.08886	0.07744	0.0	3.60726	0.23178	1.02797	0.01901	0.17126	0.64026	0.0	0.0	0.0	0.0	0.0757	0.83402	6.80387	0.20153	26.63797	0.19964	0.29363	0.0	0.56312	0.04948	5.59582	0.04009	0.68399	0.2301	30.1414	0.15302	0.25573	0.40293	0.34874	0.00077	0.43808	25.65468	7.15695	0.03854	0.11758	25.00883	0.54447	10.36761	86.98846	52.17973	0.00237	0.49091	4.2831	1.20329	2.07985	0.02811	0.0	12.96234	2.00961	4.95945
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	0	0.0	0.0	0.0	0.11854	0.0	0.22437	0.0	0.07294	0.30807	0.0	0.0	0.0	0.0	0.19266	0.0	0.07218	0.0	0.0	0	0.0	0.0	0.0	0.0	0.00471	1.1269	0.28079	0.47303	0.0	0.01087	0.00261	0.0	0.0	0.0	0	0	0.0	0.24666	0.0	0.02702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.01623	0.11908	2.57999	0.118	0.04377	0	0.0	0.0	0.67811	0.0	0.03976	0.0457	0.89574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75785	0.0	0.11406	0.01862	0	0.17814	0.08629	0.39551
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae	0	0.0	0.0	0.0	0.0	0.0	0.11517	0.0	0.0	0.0	0.0	0.0	0.0	0.07247	0.0	0.0	0.0	0.02661	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.18118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	1.03576	0.0	0.08979	0.03854	1.16508	0.00412	0.0	0.05333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.02102	0.0	0.0021	0.0	0	0.01978	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.27488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3865	0.0	0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	0	0.0	0.0	0.0	0.21811	1.25248	0.0	0.0	0.50004	0.0	0.0	0.07182	0.0	0.0	5.763	0.86948	0.0	0.0	35.83297	0	0.0	0.0	0.0	0.0	0.0	0.0	0.24187	1.95384	0.0	0.0	0.02741	0.0	0.0	0.0	0	0	0.0	0.24135	0.01077	0.0	0.0	0.0	0.0	0.03009	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04009	0.0	0	0.0	0.0	1.62589
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	0.0	0.1636	0.01073	0.0	0.15032	0.01287	2.03288	0.0	0.03981	0.76512	0.40415	0.0	0.0	0.00245	1.24832	0.04172	0.43027	4.26055	0.36721	0.0	0.0	0.3066	0.04433	0.0	0.22627	3.26151	3.45329	0.71824	1.95207	0.03507	0.35392	0.0	0.00398	0.0	0.0	0.0	0.0	0.12125	0.01388	0.63069	0.0	0.0	0.05279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38224	0.6054	0.0	1.33048	0.0	0.0	0.0	0.0	0.1077	4.53448	0.03317	0.19354	0.12777	1.05598	0.01902	0.00843	0.01031	0.05832	0.0	0.02849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28618	0.76046	0.01278	0.79162	0.03365	0.0	1.2079	0.30025	0.81042
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	0.0	0.0	0.00976	0.00165	0.07551	0.57603	0.02341	0.0	0.11964	0.0	0.06135	0.0	0.0	0.0	1.37355	0.13311	0.15798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05557	0.43401	1.77907	0.18446	0.0	0.0	0.01241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02055	0.0	0.0	0.03602	0.0	0.0	0.0	0.0	0.02472	0.0	0.0	0.0	0.0	0.0	0.0	0.03452	0.27994	0.62252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26057	0.0	0.15874	0.04472	1.43819	0.01674	0.03921	0.05713	0.02807	0.0	0.03335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0201	0.72678	0.25507	2.03452	0.0	0.0	0.51104	0.28136	0.55782
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillales_unclassified	0.04107	0.0	0.0	0.0	0.0	0.02078	0.0	0.0116	0.03729	0.0	0.0	0.00728	0.01954	0.01504	0.0	0.0	0.0	0.0	0.0	0.00783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00669	0.0	0.0	0.0	0.02689	0.0	0.00871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09708	0.01007	0.0	0.0	0.04923	0.0	0.0	0.0	0.0	0.0	0.02442	0.0239	0.0	0.0	0.0	0.0	0.0	0.0	0.02957	0.0	0.0	0.0	0.0	0.0	0.0	0.83747	0.0	0.0	0.0143	0.0	0.04858	0.00512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03298	0.0	0.0	0.0	0.05309	0.0	0.0	0.0	0.0	0.01873
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
