dataset_name	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016
study_condition	control	control	CRC	CRC	CRC	CRC	CRC	control	control	CRC	control	control	CRC	control	CRC	control	CRC	control	control	CRC	control	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	control	control	CRC	CRC	control	control	control	CRC	control	control	CRC	control	CRC	control	CRC	control	control	CRC	control	control	CRC	control	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	control	CRC	control	control	CRC	CRC	control	control	CRC	CRC	control	control	control	CRC	CRC	control	control	CRC	control	CRC	control	CRC	control	control	control	control	control	CRC	CRC	control	CRC	CRC
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	0.55141	0.9727	0.43183	0.30015	0.19407	0.00074	2.0775	0.82364	0.44017	0.80172	1.17825	0.1775	0.38332	0.0	1.57742	0.00037	1.1692	0.81901	0.20693	0.51306	1.27207	0.1456	0.0	0.69542	0.19534	0.69262	0.49815	0.98429	0.0	0.0	0.39899	0.97623	2.3548	0.97818	0.44489	1.38033	0.38355	0.0	0.63466	1.30369	0.0	0.29887	1.858	1.37937	0.0	1.81297	1.18318	2.58398	0.0	1.18896	0.89584	0.90606	0.46898	0.0	0.81092	1.19908	0.02798	0.22616	0.0	4.20099	3.40581	0.65595	1.20409	0.12164	0.81727	0.49403	2.29965	0.0032	6.09719	0.00045	0.91833	2.05183	0.0	3.81187	0.0	0.38512	0.83109	1.03768	2.6141	0.61189	0.32608	0.90686	0.0	1.88685	3.16982	0.00446	0.64107	0.68016	2.01325	0.33862	0.00143	0.0	0.0379	0.54811	0.40887	0.86772	1.37886	1.73785	1.06672	1.38412	1.69358	3.19436	0.00103	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae	0.15282	0.28663	0.07851	0.23581	0.27556	1.14281	0.05739	0.26902	0.10804	0.24329	0.27294	0.3272	0.21756	0.14984	0.19292	0.11973	0.02939	0.08615	0.17218	0.21379	0.60771	0.00592	0.71648	0.16889	0.04466	0.59808	0.00785	1.55247	0.16563	0.53849	0.04699	0.10446	0.4536	0.52827	0.05418	0.40871	0.0718	0.15967	2.98759	0.04963	0.0	0.18783	0.45922	0.11776	0.17043	0.1128	0.15288	0.18024	0.17229	0.36516	0.41616	0.3619	0.18393	0.16341	0.10466	0.08613	0.11054	0.42283	1.09289	1.14765	0.61003	0.01867	0.05741	0.07559	0.07979	0.24781	0.65362	0.89734	0.69032	0.69011	0.10062	0.55969	0.07903	2.04883	0.3083	0.04037	0.53562	0.07256	0.5952	0.0247	0.13928	0.09974	0.17528	0.20911	1.38854	0.37546	0.22832	0.06743	0.09653	0.07409	0.75627	0.13222	0.0737	0.05949	0.12459	0.1095	0.19469	0.05772	0.0501	0.47509	0.19439	1.80796	1.17612	0.28831
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	39.54962	33.8465	49.3719	32.77063	31.48703	17.20974	29.18716	52.62827	45.82988	11.88039	30.57223	26.33387	60.48159	44.41755	25.77389	33.19136	66.04197	30.55058	47.1358	11.84641	14.98316	17.00985	24.60324	32.00304	34.10285	42.7911	7.68937	44.45974	51.99924	22.48796	67.50529	15.607	25.76626	39.90197	82.1001	9.92748	29.564	41.8621	11.03719	23.81596	0.20138	16.52896	5.11537	16.2698	49.25417	59.39058	22.91946	39.48101	64.0256	60.82608	47.59393	48.14464	15.60963	61.72753	11.49946	18.94721	7.05176	22.82789	0.04722	16.94467	22.63705	43.90189	48.83184	57.41866	44.1486	36.81134	37.533	26.28328	7.06953	16.08759	10.40339	16.42054	31.7335	18.84126	58.14757	57.22415	37.13092	8.46798	25.16343	11.33302	47.2632	28.19557	44.93707	52.53427	3.27454	16.15723	37.68916	50.21163	11.69554	31.11294	39.94097	55.85195	37.38965	26.45932	33.49585	15.92303	8.32346	12.32857	64.43887	30.44065	51.44255	13.90662	36.20302	23.83328
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	1.35847	1.74119	0.7073	0.0	0.03233	0.0	0.36247	2.30363	1.24657	1.34658	0.04115	0.0	3.25267	2.10363	4.09952	0.0	5.65761	3.17897	2.847	0.03291	2.43613	0.61232	0.14476	0.0	1.97116	0.0	0.76507	1.92421	0.89651	3.55492	0.26374	2.45417	0.02701	2.08593	0.06542	0.57418	2.78592	0.0	0.13073	2.06781	0.0	0.07074	0.49382	0.64024	0.15629	0.15593	0.26693	0.0	0.0	0.0	0.0	1.3731	0.3432	0.0	0.00084	0.15299	0.00608	2.13013	0.0	2.12953	1.36901	0.66007	0.85618	3.6058	1.89557	2.86967	0.26114	0.0	3.06085	0.0	2.60913	0.15111	1.32103	0.002	0.0	1.12203	4.47325	0.55497	0.0	0.83185	0.11687	1.81306	0.0	0.0	0.03268	1.82085	2.61101	3.35914	2.89393	2.12309	0.00197	2.49489	6.36385	0.11165	1.2993	0.0	1.26996	1.83086	0.38855	0.0	0.0	0.66043	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Dysgonamonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae	0.71401	0.92259	1.0638	0.0	0.38047	1.22466	1.01365	1.63097	0.59081	1.30927	0.81386	1.6287	0.0	0.82563	0.72338	1.01873	1.03888	0.38161	2.35817	0.41788	1.27858	0.62818	0.13587	0.49456	1.24843	1.35452	1.42195	0.0	1.83363	1.17419	0.84663	0.63927	0.6827	0.83104	0.08186	0.58149	0.70539	1.09069	0.3257	0.59285	0.0	2.0816	0.71142	1.74613	2.25193	0.31672	0.40802	1.58382	0.0	1.06723	0.0	0.49163	2.92319	1.49283	0.89287	0.71688	0.34666	1.44279	0.0	0.20603	0.59012	0.58638	0.38369	1.26657	1.4468	0.65757	0.8363	0.0	0.58104	0.06392	0.84671	1.01387	0.55147	1.50872	0.0	1.91109	2.01205	0.49252	0.0	0.3475	2.4507	1.0947	0.0	0.0	0.11852	0.0	0.20104	1.21346	1.19856	1.62105	0.26966	0.51527	1.90205	1.93223	1.09366	0.93262	5.21847	1.01907	0.06506	1.02125	1.3235	0.58253	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	0.0	0.07342	0.0289	0.05528	0.0	6.16043	0.0	0.0	0.0	0.08444	0.02088	0.01056	0.0	0.0	0.0	0.00016	0.0246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09917	0.0	0.0	0.0	0.02343	0.0	0.0	0.47606	0.0	0.0178	0.06422	0.0	0.01314	0.01632	0.0	0.04727	0.03948	2.41761	0.13807	0.0	0.00895	0.16295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02787	0.0	0.0	0.01975	0.00556	0.0	0.0	0.0	0.19746	0.0	0.0	0.01114	0.01621	0.0	0.01084	0.0	0.02363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07299	0.0	0.08153	0.0	0.02914	0.0	0.22263	10.18943	0.0062	0.18958	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	1.20283	0.00831	0.10914	0.00511	0.0001	0.00331	0.00153	0.17348	0.0	38.81377	7.56161	0.00419	0.02596	0.00899	0.00587	0.00283	0.5019	0.00338	0.00408	54.8739	1.31205	39.34292	0.0	0.00657	0.0022	0.01494	17.36656	0.00138	0.00203	0.053	0.00165	27.16956	0.00202	4.1146	0.08088	21.19443	0.59368	0.00223	15.60322	2.24034	0.09618	13.03915	53.68125	28.35069	0.02476	0.15734	1.47146	22.58778	0.02948	0.00389	0.01358	0.00188	22.83411	0.00531	51.94986	27.08305	21.87848	1.48649	0.06327	0.00811	0.0	0.00073	0.0039	0.10761	0.00367	11.09924	0.20034	0.00926	7.0934	0.94494	0.19412	26.7478	0.90511	0.31589	0.0041	5.60047	28.15771	23.28188	15.9416	4.04573	0.15423	0.04959	0.00496	0.00094	8.80023	0.03357	0.04229	0.00252	2.87645	0.10108	0.01567	0.00186	11.87159	15.33469	5.29385	4.26075	0.0	12.9142	0.80704	2.50847	0.1633	0.00633	0.11051	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	1.21229	3.71657	2.02301	6.05967	4.66631	4.74906	6.6279	18.47899	3.96996	6.70512	0.86846	8.01121	0.86815	5.76092	4.31329	3.53566	4.64356	3.06453	8.10756	1.60522	18.71908	3.73531	0.46625	4.71913	5.96487	1.4939	4.74989	3.82599	5.64687	9.06512	4.66719	4.05844	1.70681	2.58051	1.32543	9.21264	2.85228	4.92338	5.51071	1.68881	0.0	2.58529	3.30937	2.82477	6.55877	2.22331	2.3126	5.37278	5.19762	4.05211	0.0	3.09604	7.00131	11.0466	0.10814	0.49834	1.38095	3.50431	0.0063	10.10808	3.95324	4.10839	2.50288	6.36869	5.11567	1.64405	3.90703	0.15118	5.53585	7.82041	3.97591	3.90527	6.22716	16.28697	0.17047	2.53763	0.24366	1.70822	11.40174	1.93298	8.57121	6.66559	0.0004	3.91145	7.97596	11.99504	4.25253	4.32787	7.27508	3.44992	1.26376	6.7248	2.60867	2.91183	3.80425	4.94794	3.16831	2.51927	2.44735	6.52463	7.10723	19.22935	10.70928	0.20644
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	2.12967	1.7426	2.43516	1.24716	5.76245	9.99689	1.97449	1.37524	1.73349	1.1684	1.65965	14.17544	0.0022	2.51786	3.88752	4.36664	4.91304	2.63434	1.70744	2.11641	2.69028	1.28368	0.6553	1.18621	1.85066	9.55161	2.28919	0.70077	5.53543	2.19781	2.86593	2.29258	2.80066	7.61767	2.36595	1.99269	5.24684	14.46643	2.29716	1.0939	0.0	5.96781	0.93505	3.48649	3.4253	1.22159	0.58482	3.56011	6.09114	4.22501	0.0	2.59326	2.07678	1.3779	7.94639	0.24321	1.59557	2.24256	0.00266	1.72974	1.47717	3.04523	2.45242	9.61762	4.01659	2.22731	6.73939	0.0	2.16932	10.93401	3.57919	3.39434	3.16281	5.98415	0.00123	4.89383	2.50497	0.75352	11.74721	4.06244	5.89948	1.55701	19.46694	3.42033	0.24355	0.00416	0.82267	3.94601	2.25166	1.69191	4.63928	1.51286	14.33328	1.27198	3.22917	0.77758	1.08342	2.74674	5.93795	1.26796	1.90023	1.32127	0.0	39.72756
