dataset_name	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015
study_condition	CRC	control	control	control	control	control	CRC	control	CRC	control	CRC	control	CRC	control	CRC	CRC	control	control	control	control	control	CRC	control	control	control	CRC	control	control	CRC	CRC	control	control	control	CRC	control	control	CRC	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	CRC	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	control	CRC	CRC	CRC	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	0.41979	0	0	0	0	0.01898	1.24964	0	0.33047	18.2077	0	0	0	1.81116	0.00376	1.55288	0	0.61834	0	0	0.09187	0	0	0	0.00097	0	0	3.13592	0.03949	0	0.37588	0	2.95346	0	0.00146	20.40278	2.50721	0	0	0	1.90472	0	0	0.0194	18.16472	0.93615	0.00521	0	0.00348	0.05806	0.27973	0	0	0.04904	0	2.15906	0.69475	0	0.01617	3.44612	0	0	1.69584	0	0.14605	0	0	0	0	0	1.8781	0	0	0	17.59442	0	0.58322	0	0	8.71249	0	0	2.36198	0.08427	4.46525	0.02426	0.05471	0.08882	0.20173	0	0.00458	4.2924	0.02069	0.66969	0	0	0	0	0	0	0	0	0	1.00796	0	17.16474
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0.11053	0.05886	0.01206	0.17606	0.08141	0.06311	0.0654	0	0.01143	0	0.05167	0.00549	0.06856	0.13855	0	0.00099	0.0074	0.0057	0.02389	0.03734	0.1007	0.17831	0.40549	0.02089	0	0.00536	0.12774	0.03427	0.05459	0.1483	0.09181	0.0279	0.20718	0.08919	0.10629	0.06658	0.00589	0.13057	0.01803	0.0507	0.15836	0.14198	0.0946	0.06496	0.05192	0.01953	0.03975	0.13408	0.01024	0.00925	0.00796	0.02501	0	0.04343	0.00329	0.02279	0.05388	0.19912	0.10499	0.00794	0.0018	0.03576	0.07578	0.04313	0.12253	0.0229	0.08572	0.11322	0.29058	0.05123	0.06586	0.06052	0.00126	0.05379	0.04623	0.05958	0.0818	0	0.01469	0.03647	0.01023	0.00073	0.10712	0.21512	0.01823	0.03307	0.05958	0.007	0.02827	0.01574	0.02483	0.05387	0.01485	0.0047	0	0.00214	0.01075	0.68075	0.03613	0.00287	0.01064	0	0	0.00054	0.0241	0.0785	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	4.2611	4.54855	11.29527	16.38956	22.79514	25.64351	34.55667	0.00156	0.14713	5.9666	5.39887	12.70975	16.35503	4.11245	1.72652	0.00998	3.88054	2.21047	25.66484	55.6523	7.09178	0.93412	7.42723	7.91361	0.00186	0.1104	0.17862	10.24903	5.73386	2.46305	30.09221	1.74756	15.14645	5.23871	47.9711	15.55309	5.11555	13.77591	2.67259	49.38433	1.61148	15.47592	4.03835	0.05652	8.03595	0.42818	2.22445	27.69718	23.03095	23.57777	11.93528	5.06101	5.07451	6.69499	0.12923	1.02494	49.63256	1.63831	13.04073	0.85286	41.59526	3.77292	37.81116	14.91265	63.79759	1.03622	44.77854	30.60757	3.74093	1.72411	4.73495	43.8575	1.9958	0.20431	14.20091	19.5814	15.57964	3.77968	14.00574	20.47346	7.90648	0	13.30395	1.28658	6.05018	18.83317	3.1364	0.91698	0.27492	3.00911	13.92601	0.20916	4.04581	0.02161	1.50727	11.9076	16.91472	3.2005	0.0165	1.81378	0.00972	13.64694	1.07788	4.37611	3.43854	7.66936	13.70888
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00079	0.0074	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03193	0.0	0.0	0.0	0.0	0.00884	0.0	0.0	0.01195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00075	0.0	0.00169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115	0.0	0.0	0.01552	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.0	0.00671	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.00919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00669
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.00089	0.0	0	0.0	0.0	0.0	0.0	0.0	0.01357	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.00419	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Brevibacteriaceae	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.01275	0.0	0.0	0	0.0	0.0	0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0.12619	0.00863	0	0.0125	0	0.00157	0.01305	0.00883	0.0	0.00151	0	0.0	0.0	0.00929	0	0	0.03818	0.0794	0	0.01882	0	0.00439	0.11316	0.00036	0.01119	0.02813	0.0	0.02628	0	0.00718	0.00074	0.0	0.00404	0.00025	0.03834	0.05443	0	0.03188	0.01695	0.0	0	0.03878	0.0	0.0	0	0	0.00144	0.0527	0.0	0.02223	0	0.0	0	0.01479	0	0	0.0	0.01749	0.0	0.00235	0	0.00375	0	0	0.03561	0	0.00095	0.0678	0.31542	0.00431	0.00794	0.00177	0	0	0.05536	0.00324	0	0	0.0	0.00602	0	0	0.01048	0.02989	0	0.00465	0.00438	0.00435	0.0267	0	0.03359	0	0	0	0.01064	0.00507	0	0.0046	0.01146	0.00514	0.0	0	0.0	0.00074	0	0.00133	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.03278	0.0	0.0	0.15425	0.0	0.0	0.0	0.04237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03572	0.0	0.0	0.0	0.0	0.0	0.0	0.00191	0.0	0.57124	0.02171	0.00199	0.01525	0.0	0.0	0.0	0.00019	0.00112	0.0	0.0125	3.5745	0.006	0.0	0.0	0.0	0.0	0.01667	0.0	0.0	0.00709	0.0	0.0	0.0	0.0	0.02141	0.22093	0.00204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00755	0.00452	0.03484	0.0	0.0	0.0	0.0	0.0	0.0	0.08497	0.0	0.0	0.23899	0.34505	0.0	0.0	0.96143	0.02884	0.0	0.0	0.0	0.0	0.0	0.0	0.11368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.00042	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.00096	0.00061	0.0	0.0253	0.00114	0.00065	0.01577	0.07269	0.02395	0.0	0.00436	0.00019	0.03675	0.00132	0.00573	0.00147	0.00301	0.00663	0.00235	0.00032	0.00079	0.00263	0.0086	0.0	0.0	0.00407	0.00218	0.03811	0.00516	0.00172	0.0	0.0	0.00845	0.07189	0.00087	0.0	0.00227	0.0002	0.0	0.00145	0.0	0.04143	0.00208	0.00133	0.00061	0.0	0.0	0.00015	0.00109	0.00077	0.01198	0.0	0.00062	0.00209	0.0	0.00077	0.00633	0.95718	0.0296	0.0	0.00231	0.00125	0.00092	0.00112	0.04472	0.00096	0.001	0.0243	0.02575	0.0	0.0	0.0	0.0	0.0	0.04864	0.02695	0.00141	0.0	0.00118	0.0019	0.0	0.0	0.0244	0.02168	0.0023	0.03829	0.0	0.00627	0.02031	0.00038	0.0	0.0	0.0	0.0	0.0281	0.0	0.0	0.00481	0.0	0.0	0.0	0.0	0.0	0.00591	0.02193	0.0	0.19067
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	4.64484	3.76741	2.72326	8.1404	20.0964	29.86827	10.04089	4.64791	3.52081	3.49299	3.33635	5.55848	8.51226	8.03317	4.26392	6.47783	1.92036	7.23241	7.45229	0.00336	7.00126	2.24954	3.86714	1.47446	0.00352	0.65795	23.39101	1.31502	8.31513	13.92475	0.01414	1.89728	1.09041	9.61536	19.63617	0.01417	9.42686	8.02973	0.00544	7.54032	1.88278	11.08103	5.72857	0.00235	0.93733	0.09988	1.04868	7.77054	6.54453	8.17829	7.86125	0.90721	2.5372	1.57348	1.21281	1.91015	7.62091	0.38808	6.70648	0.06705	7.4741	5.7694	11.41584	3.06073	0.18501	5.73944	9.43261	0.0	7.83663	1.66412	0.01002	8.77882	0.00264	0.00097	7.06526	3.01328	26.5597	0.17645	12.88791	12.78193	0.00155	1.17926	18.54209	3.03634	6.01538	7.38368	2.28245	0.65002	0.05245	4.70041	1.40794	0.02781	5.9901	0.48033	0.13007	0.00691	0.1639	0.69007	0.01136	0.95249	0.00324	7.70236	0.36921	0.86956	1.82839	0.0	3.29414
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae	0.00263	1.03215	2.8931	3.66686	4.52792	0.32192	0.37352	3.32405	1.58018	2.25431	0.33725	1.12403	1.0013	1.09846	0.56786	0.59908	4.3501	1.52241	0.45654	0.56713	4.56487	0.4929	2.36375	4.91924	0.96982	0.47261	4.21349	0.63316	2.92687	0.26779	3.80266	2.02166	2.70245	4.81565	2.96861	1.02895	2.17097	0.17061	0.89854	1.16473	0.99894	2.02472	6.0128	5.80539	7.71158	2.53768	0.45477	2.13318	0.74245	4.05881	1.02167	0.07233	0.25733	0.21957	0.66916	1.92479	0.42783	0.54355	0.29762	0.53831	1.50417	0.89042	3.18212	3.41779	1.87864	1.45693	2.21768	0.0	3.41885	0.42998	5.7076	1.63331	0.77457	3.97443	1.22363	1.7797	1.3257	0.20428	6.7529	15.58678	0.15752	0.92438	0.63783	0.48933	0.3389	0.23474	1.42978	0.13496	0.0036	1.89012	0.23563	2.68316	2.56652	0.0223	0.45577	0.49939	2.39241	0.0	0.56536	0.37117	3.16369	0.61576	0.57701	0.31914	1.5818	1.45549	0.35749
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	16.4834	6.14209	2.44591	1.28088	0.91524	0.1022	0.71104	1.58602	5.5185	3.23898	1.63961	4.02319	0.08841	1.2285	1.92932	9.32833	6.81911	5.8148	0.964	4.29172	11.55965	1.1909	4.10612	0.23462	0.00538	28.57151	14.44583	1.90536	0.94718	0.73537	0.35684	4.64027	0.67356	1.80435	0.10801	0.04175	3.15572	2.44928	0.00325	0.0004	1.64683	1.94162	3.09913	1.09866	1.34096	5.50586	7.04008	0.37267	0.48919	7.24083	4.84292	33.65058	5.96033	19.27952	36.69772	21.03875	1.73167	42.35701	8.79305	27.96458	6.8868	16.42807	0.08776	3.63981	0.25809	4.42401	1.48381	0.0929	0.86701	6.85503	0.74825	1.04777	1.575	0.05179	1.945	3.03012	0.30172	10.07768	4.44542	0.98037	4.31212	16.92882	0.01395	0.68019	14.04783	9.446	2.01153	3.94812	0.48828	23.47078	1.07434	2.49615	14.33522	5.04254	58.88361	10.91554	12.02224	90.74535	21.69325	55.5446	1.95603	6.85243	20.63544	16.71781	8.52888	1.12073	18.59322
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	0.0	0.47085	0.37229	0.0	0.0	0.0	0.0	0.0	0.02499	0.13239	0.68014	0.0	0.04175	0.06476	0.07962	2.64503	0.36336	0.52111	0.002	0.4747	0.15183	0.14616	0.0	0.0	0.0	0.0	0.0	0.52202	0.20366	0.03649	0.0	0.39992	0.06528	0.11289	8e-05	0.0	0.32721	0.47499	0	0.0	0.11395	0.11293	0.68426	0.0	0.07953	0.0594	0.76331	0.0	0.00103	0.62143	0.84717	4.43443	1.12436	2.4781	2.81151	2.3633	0.04331	0.0	0.76466	0.03369	0.56131	1.34897	0.0	0.35354	0.0	0.09379	0.12244	0.0	0.0	0.37488	0.02148	0.02973	0.0	0.0	0.00126	0.13942	0.0078	3.14498	0.34056	0.0	0.63378	1.64125	0.00262	0.00196	0.46486	0.13592	0.5731	0.12485	0.0	0.34257	0.00595	0.00113	0.72024	0.57677	1.03149	0.76792	0.954	0.0	0.5837	0.11219	0.00771	0.30375	2.25015	2.18992	0.55093	0.0	1.38723
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
