dataset_name	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b
study_condition	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	CRC	control	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	control	CRC	CRC	CRC	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	CRC	control	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	3.62723	0.17269	0.10067	0	0.24287	7.03473	2.90302	0	1.35646	0	0	0	0.95707	0.17658	0.0121	0	2.18754	0	3.64012	0	0	2.18173	0.03032	0	0	0	0	0	0.71279	6.26791	0.31428	0	0.97207	0.67338	1.26395	0.81047	1.49031	0.43324	3.54576	2.65331	0	0	0	0.20632	0.16062	1.75904	0	0	0.01263	0	0	0	0	0	0.13739	0	0	0.05425	0
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0.45042	0.36247	0.13688	0.09778	0.07527	0.06273	0.02881	0.00505	0.99122	0.00613	0.01442	0.06779	0	0.0425	0.07816	0.04639	0.07113	0.07425	0.13736	0.06125	0.15289	0.022	0.01838	0.02491	0.01976	0.2497	0.2396	0.12604	0.06412	0.07476	0.04892	0.02917	0.03541	0	0.03617	0.0665	0.00664	0.07335	0.01133	0.15179	0.08268	0.0819	0.07625	0.10104	0.34174	0.118	0.00722	0.09318	0.10845	0.07722	0.02591	0.02418	0.02487	0.06557	0.04427	0.04957	0.02852	0.02683	0.02671	0.02183
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	0.24272	5.39271	12.55324	4.43617	4.83572	13.03933	6.64145	4.19047	10.87326	0.16869	13.90721	17.26291	6.015	17.59326	1.96197	0.63192	9.65333	2.43749	4.43642	22.81127	0.27619	4.83362	2.22243	1.59903	0.64874	13.82013	4.2958	3.00378	5.97808	3.95213	1.49866	14.03688	2.17731	37.51478	0.96631	20.96535	1.89288	5.19774	0.33101	1.93243	14.94743	0.20678	0.0	7.66076	8.20335	9.59703	8.95047	16.91552	1.3764	0.10405	8.0631	21.30607	1.39164	4.23811	13.46787	9.37454	37.62774	5.05345	0.46513	1.63698
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00545	0.0	0.0	0.00098	0.0	0.0	0.00058	0.0	0.0	0.0	0.0154	0.0	0.07351	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.00479	0.0	0.01679	0.0	0.00182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0.12845	0.00102	0.01555	0	0.00659	0	0	0	0.03085	0	0	0.0	0	0	0.00259	0	0.01642	0	0.03334	0	0.04395	0.02737	0	0.00744	0.00797	0.0	0	0.02362	0.0	0	0.0	0.01421	0.12273	0	0.01848	0	0	0	0	0.01115	0	0.02205	0.00199	0.03871	0	0.0073	0	0	0.00823	0.02425	0	0	0	0	0.00142	0	0.0005	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.00969	0.01165	0.00542	0.0	0.0	0.11684	0.0	0.00604	0.00351	0.00469	0.0	0.0	0.0	0.0	0.00039	0.00656	0.00888	0.00683	0.00306	3.32741	0.01721	0.0	0.0	0.00292	0.0	0.00225	0.05486	0.07565	0.0	0.00631	0.00145	0.0	0.00044	0.00853	0.04328	0.00073	0.0	0.00959	0.00271	0.0	0.00598	0.00889	0.0	0.00014	0.11491	0.36827	0.03953	0.0	0.0	0.02661	0.0	0.0	0.0	0.0	0.00315	0.0	0.0	0.0	0.0	0.00042
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	1.88064	2.83542	13.81091	0.0	5.88097	3.44207	0.54309	2.46828	6.49852	0.39513	3.70274	0.01087	4.59042	6.1778	1.9801	3.92638	0.94454	1.24358	1.27433	7.31031	2.21922	2.56547	3.51163	2.52078	0.57527	2.21013	2.16089	3.17257	2.78682	7.71743	4.57601	3.20396	2.66247	3.92744	2.5204	6.70968	3.37221	4.24795	0.53589	1.984	2.54949	1.50909	0.0	2.1304	4.29616	2.80496	6.87893	6.66536	0.0	3.30213	1.53858	4.98231	3.51445	2.58232	4.68426	1.07094	3.45081	0.0	1.91056	1.908
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae	1.66341	0.16031	2.45656	1.27129	0.47756	0.40329	0.09833	0.09354	1.55719	0.07835	0.16646	0.2948	0.08305	0.76163	0.27675	0.15771	0.15944	0.27728	0.13941	0.0127	0.13936	0.04376	0.3378	0.16915	0.48578	1.89128	0.42714	0.31326	0.27076	0.14846	0.18047	0.10932	0.0524	0.2619	0.17266	0.15937	0.29947	1.04241	0.20059	0.54886	0.80521	0.56628	1.72121	0.43172	0.05462	0.00287	0.36499	0.39635	1.26189	0.41932	0.34359	0.17136	0.85463	0.26015	1.85548	0.64856	1.05823	1.11249	0.00277	0.36426
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	14.58079	7.79765	10.84708	2.76263	36.5818	5.98451	23.77687	8.66578	34.5353	5.70745	11.40668	43.85789	37.00962	9.81068	21.53039	15.25052	0.57837	4.80143	25.93641	6.50957	17.24153	13.05506	21.32627	3.127	21.55281	13.43642	3.45699	7.37741	20.11389	2.88758	13.28064	26.65043	4.70786	9.19228	1.15763	8.35591	13.40275	12.31395	2.06349	10.5857	12.75824	9.79518	21.34742	43.21839	17.24169	11.50224	5.89008	10.08904	38.11575	14.04432	17.26816	9.3364	16.60825	33.24177	9.837	15.83614	31.39426	31.23022	3.46769	30.71393
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	0.88903	0.31153	0.05254	0.25806	0.78197	0.52989	0.15092	0.11379	0.0	0.83654	0.81839	1.53601	0.0	2.75037	0.69582	0.70325	0.0	0.2063	1.77325	0.56528	0.17973	0.75846	2.52509	0.00693	0.10297	0.08233	0.55581	0.37156	0.0	0.35145	1.23633	0.23082	0.2511	1.79479	0.01613	0.44916	0.00096	0.25969	0.0	0.30743	0.85527	0.6429	0.02592	1.05549	0.07683	0.06931	0.47371	0.5257	0.32047	0.10203	0.30552	1.33506	1.70788	0.47268	1.07714	0.06059	0.08218	0.0	0.11078	0.48217
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae	1.65366	0.4427	0.04944	0.20128	0.33322	0.28517	0.7568	0.29874	0.15163	0.1992	0.47643	0.47954	0.13355	0.50455	0.37335	0.37612	0.04499	0.29303	0.56587	0.4902	0.79983	0.46416	1.41297	0.11475	0.22895	0.28559	0.06286	0.0	0.39241	0.5677	1.30348	0.2931	0.34561	0.6138	0.56954	0.51215	0.73976	0.66825	0.18442	0.33065	0.22031	0.28127	0.45659	0.63306	0.60125	0.026	1.37403	0.23569	0.10324	0.14102	0.29253	0.22157	0.84423	0.75431	0.19458	0.23863	0.34704	0.0	0.4027	0.56578
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	0.0	0.01633	0.0	0.0	0.0	0.0	0.02282	4.43255	0.0	0.00682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02693	0.0	0.0	0.0671	0.0	0.34832	0.0	0.0	0.0	0.0	0.0	0.0	0.0431	0.05992	0.0	0.0	0.06773	0.01114	0.00359	0.0	0.0	0.00506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	0.96279	0.0	31.71948	0.0	0.40564	1.4721	16.9788	18.77935	0.1083	0.86491	0.16595	0.03189	0.0	0.0	0.0	0.0	19.281	0.51192	0.0	26.99837	1.07574	17.94557	0.26661	1.92311	0.0	0.0	21.20492	21.99318	0.04132	5.72018	5.11434	0.00248	33.91599	4.43439	42.14846	1.06923	12.01744	0.50489	22.94624	0.56039	0.0	33.10666	0.0665	0.06717	0.69298	0.0	22.36343	0.16891	0.0	0.27759	0.8345	0.79975	0.0	0.0	0.0	1.32821	0.0	0.59898	41.7072	2.08326
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	9.11661	4.57575	0.10166	4.31171	2.32343	1.44426	2.04274	4.04494	4.52221	1.02137	3.53293	6.56327	6.02107	7.56323	1.61789	4.01255	0.00948	2.12176	0.05682	1.44033	4.03859	7.29513	6.63339	0.48464	3.15931	4.59501	1.2625	3.36571	0.0	1.7703	6.5571	2.91559	1.66264	5.98269	0.07616	7.72753	0.50188	2.22988	0.85364	1.46765	2.83483	2.62165	6.42625	2.90771	3.28491	0.26746	0.46224	2.71346	1.4777	1.48697	1.85962	4.86302	8.58552	4.82194	4.20339	1.0299	4.22546	0.03415	0.42463	2.32211
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	0.32209	1.23115	3.17381	2.43024	2.79605	0.86704	3.92453	1.15302	0.83944	1.07084	0.93182	10.77795	2.67689	7.56416	0.55402	1.27899	0.39831	1.49055	2.53619	2.2389	1.9162	1.51724	6.60498	0.38955	0.913	2.39311	0.5303	0.73491	2.12695	0.74012	0.47284	2.09781	0.97815	1.22033	0.54349	0.95644	2.47006	0.66351	0.26465	2.0826	0.58601	1.6282	0.43511	1.74697	1.24251	0.34241	1.33224	0.89344	1.8929	2.27069	0.83497	1.06242	13.82881	0.0	1.035	1.21737	1.35289	1.87142	0.66101	1.19947
k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified	0.0	0.0	0.0	0.00788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14962	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillales_unclassified	0.05808	0.16104	0.02166	0.00925	0.00747	0.00477	0.56395	0.03501	0.03101	0.02199	0.01757	0.01323	0.00319	0.09043	0.0	0.00939	0.04043	0.01273	0.17301	0.00725	0.01368	0.06904	0.00193	0.0	0.0	0.19522	0.00295	0.01043	0.0081	0.12817	0.83775	0.00227	0.06971	0.00227	0.00808	0.03354	0.0	0.0	0.0	0.0	0.0	0.06741	0.07777	0.02342	0.101	0.02757	0.0	0.0	0.0	0.01327	0.00943	0.09676	0.0	0.01473	0.0087	0.00517	0.02228	0.0	0.01636	0.02278
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00968	0.0	0.00736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae	0.0	0.0	0.00143	0.0	0.0	0.0	0.0	0.0	0.00614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00188	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.07278	0.0	1.12221	0.96629	0.0	0.03638	0.0	0.0	1.50863	0.0	0.0	0.0	0.0	0.00338	2.05847	2.39099	0.03872	0.16697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00726	0.66133	0.0	0.00979	0.04969	0.0	0.0	0.0	0.00546	0.0	0.1391	0.0	0.0	0.02406	0.0	0.0	0.0	0.0	0.00673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	0.0	0.32507	0.0045	0.03109	0.0	0.0	0.0	0.01982	0.27561	0.32826	0.03802	0.0	0.0	0.08972	0.00249	0.0023	0.02627	0.03671	0.27872	0.00486	0.79914	1.74187	0.00255	1.24099	0.0	0.0	0.22204	0.71022	0.01627	0.00084	0.04297	0.20873	3.85201	0.0	0.91759	0.02283	0.06578	0.31052	8.87663	0.10672	0.03632	0.04244	0.06545	0.28746	0.18724	0.34614	0.15905	0.01673	0.0	0.13911	0.04544	0.05869	0.02065	0.0143	0.0	0.0	0.00211	0.0	0.0974	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00623	0.0315	0.0	0.0	0.0	0.0	0.00112	0.0	0.01055	0.0	0.00775	0.0	0.04637	0.28848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01792	0.00334	0.0	0.0	0.03574	0.0	0.0	0.0	0.00843	0.0	0.0	0.0	0.0148	0.0	0.00181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01414	0.0	0.0026	0.0	0.03502	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	2.84423	14.50477	0.28425	0.17835	4.95377	0.28392	0.23689	0.1157	8.91545	0.98645	0.55302	2.08248	0.58196	0.50214	0.24668	0.4735	7.7589	0.02989	4.51337	0.65558	1.50559	2.57082	0.44076	0.69606	0.45153	1.23728	0.43701	0.33785	1.68631	1.21033	0.96202	0.61075	10.80836	0.27477	1.63826	0.23036	0.99586	0.59885	6.84812	3.81298	0.04605	1.1352	1.45491	14.15413	2.00246	1.35751	0.88361	8.00372	0.35802	3.38346	0.30827	1.0083	0.25168	6.79374	0.22348	0.66345	0.65747	0.30015	3.15341	0.10549
