dataset_name	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013
study_condition	control	control	control	control	control	control	control	control	control	control	T2D	control	control	control	control	control	T2D	control	control	control	T2D	T2D	T2D	T2D	T2D	control	control	control	T2D	control	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	control	control	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	control	control	T2D	T2D	control	T2D	T2D	T2D	T2D	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	0	3.83878	0.83912	9.28705	0.0667	0.70695	0	0	0.31143	0.16602	0.73986	4.20148	0	0	0.69907	0	3.69241	0	9.67792	0	0	0	0	17.74674	3.41586	0	0	0.32707	0	0.22899	0	0	0	5.40979	0	1.19069	1.88593	3.50291	0	0	0.00319	0.73967	0	0	8.6589	0	0.99471	0	0	5.43113	1.21708	0.3941	0.55149	0.23238	0	0	0	0.96594	0	0	0	3.29571	0.10796	2.56175	0.71723	0	2.0261	0.33165	1.39872	0.09652	0	0	1.63319	0.0724	0	1.17608	2.38071	0	0	0	4.91214	0.07946	1.17256	0	0	0	0.89534	0	2.36439	6.92651	0.00136	2.48848	2.07333	7.78051	0
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae	0	0	0.09549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0	0	0	0	0	0.00484	0	0.01732	0.01074	0.03938	0	0.05552	0.00262	0.01095	0.02104	0.03712	0.02178	0.02563	0	0.0401	0.001	0.01407	0.01016	0.00059	0.03719	0	0	0.07072	0	0.09748	0	0.04333	0.01622	0.02989	0.02361	0.00523	0	0.03354	0.00488	0.0167	0.00248	0.01776	0.03878	0.10805	0.13024	0	0.00494	0.00934	0.00485	0.05251	0.03157	0.00391	0.00444	0.22591	0	0	0.13758	0.07204	0.07006	0.00616	0.04002	0.09328	0.03772	0.00611	0.06982	0.10408	0.05286	0	0.05551	0.03425	0.00925	0.01856	0	0.01482	0.03859	0	0.00335	0.00123	0.09825	0.02712	0.06294	0.09292	0.01565	0.01066	0	0.14232	0.00087	0	0	0	0.07404	0	0.00121	0	0.02963	0.00895
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	0.73987	3.30089	5.8362	1.75903	1.89125	2.88455	5.39971	1.94677	1.68112	3.20574	0.99716	3.56033	3.96157	0	1.71688	3.7689	0	0.37783	3.01616	0.18275	17.61561	2.48568	9.35997	3.22057	1.74199	3.06871	5.63126	1.16265	8.62218	0	6.88371	13.77688	1.11066	3.09763	0.78559	1.80079	0.42511	1.54102	4.10911	3.97467	4.98351	3.00097	1.66941	0.03943	0.30918	0.03654	1.31702	0	4.55264	1.39142	21.67921	0.05268	14.81697	3.26552	5.54366	3.13288	3.54686	6.32059	3.17621	0.56237	0	4.9212	3.12994	1.57053	7.30881	0.99672	14.18596	5.97656	11.44181	8.1702	1.8282	4.75021	2.21031	13.1556	0.49069	7.54115	1.85167	7.1927	3.12465	2.32553	4.4203	2.27063	1.75007	16.30219	2.73515	2.92983	3.83794	1.33361	6.48627	3.04041	1.46753	28.51309	0.0	7.50611	2.41126	0.04977
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.01033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00911	0.0	0.04188	0.02357
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0	0	0	0	0	0.00319	0	0	0.0	0	0	0.01969	0	0	0.0	0.0	0.0025	0	0	0	0.0	0	0.04467	0	0	0	0	0.01366	0	0	0	0.0	0	0	0	0.19834	0	0	0	0	0	0	0.01471	0.00698	0.0	0	0	0	0.0	0	0	0.0	0	0.0827	0	0	0.01564	0	0.00461	0	0.0644	0	0.01277	0.00088	0.0057	0.01061	0	0	0.00032	0.00527	0	0.05629	0	0	0.00735	0	0.0	0	0.0566	0	0	0	0	0	0	0.6442	0	0.0	0.0	0.01651	0	0	0.02322	0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0361	0.0	0.0	0.0	0.0	0.0	0.1031	0.03275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02406	0.03354	0.04943	0.0	0.0	0.0	0.02226	0.0	0.0	0.01029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04052	0.0	0.00256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27523	0.0	0.00211	0.01444	0.0	0.0	0.0	0.0	0.0	0.17796	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.0	0.0	0.03151	0.01891	0.0	0.0	0.0	0.0	0.03139	0.00174	0.0	0.00463	0.00136	0.00691	0.0	0.00232	0.0	0.0	0.0	0.0	0.13875	0.0	0.00548	0.0	0.00234	0.0	0.0	0.0	0.0	0.0	0.0	0.01084	0.0	0.0	0.0	0.01043	0.0	0.0	0.0	0.0	0.0	0.00225	0.0023	0.00777	0.0	0.02586	0.0	0.0	0.00392	0.0	0.01878	0.03159	0.03833	0.1329	0.03184	0.04203	0.0	0.00313	0.00569	0.00393	0.00278	0.00346	0.01836	0.0	0.00279	0.00824	0.0089	0.00396	0.00591	0.01326	0.02034	0.0	0.0	0.00761	0.0	0.00094	0.07581	0.0	0.00678	0.004	0.01391	0.0	0.00976	0.29143	0.00117	0.00217	0.0	0.04353	0.0	0.0	0.03463	0.0	0.0	2.31148	0.04379	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	0.31303	2.38671	3.91878	1.96598	1.27184	2.1138	0.95223	2.26088	4.79381	2.83625	1.5245	3.94329	3.85177	0.78417	0.01384	1.98733	0.0	0.31467	1.23102	3.72787	1.74021	2.91624	2.93602	2.1963	1.47602	2.93	2.9011	0.0	1.95194	2.54489	1.81865	4.89327	2.25415	0.8799	0.91556	0.87868	0.58528	4.93098	3.4645	4.15086	0.0	1.61654	1.89838	6.82869	0.02124	4.06678	0.00129	0.01305	4.02225	2.8284	8.52359	0.71515	6.5628	4.01024	2.13546	1.9094	0.03393	7.00263	7.15969	2.42187	4.9818	9.42946	2.46147	1.05917	4.81178	6.4274	8.1711	0.40147	5.21277	14.34721	3.09802	4.81926	0.01134	7.48939	0.7647	3.77297	1.85344	2.66414	4.93056	4.40381	7.02364	0.83832	1.48632	6.18924	4.02885	0.00236	5.69468	0.20078	1.67964	1.65596	3.55622	1.66309	0.66297	2.73296	3.1819	3.05882
