dataset_name	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018
study_condition	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0.02919	0	0	0	0	0	0	0	0	0.03126	0.05345	0	0	0	0	0	0	0	0	0.06151	0	0	0	0	0	0	0	0.01956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	0.05745	6.42352	0.01056	0.20816	0.06462	1.04606	0.13145	0	0.01645	2.74917	13.20756	0.00221	0.55853	0.72688	0	0.3332	0.00837	1.03214	0.78803	30.92287	2.4788	0.03968	0.14554	0.04975	0.14259	0.05039	0.04973	5.9934	1.64604	0.19868	0	0	0.02524	0.20914	0.07454	0.0666	0.20469	0.19785	0.18721	0	0.01313	0.00382	0.64705	0	0	0.18096	0.04359	0.01485	0.93491	20.64485	0.06584	0	0.41471	0.02611	0.69046	0	0.05772	3.6127	0.17764	0.04951	2.369	0.01045	0.01157	0.89643	0.01888
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.00232	0	0	0	0.00284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	2.91855	2.23136	0.03072	0.66571	0.42189	0.2655	0.15043	0.04259	0.0	6.05667	6.96606	0.15338	0.04529	0.32936	0.26569	0.05986	0.25678	0.24697	0.25529	18.77074	0.56122	0.19148	0.0633	0.04756	0.71344	0.19829	0.00121	0.78252	0.25695	0.75628	0.01957	0.64442	0.07927	0.05517	0.63064	0.00509	0.08659	0.0	0.03221	1.62326	0.02087	0.0	0.05843	0.05736	0.00981	0.0	0.02231	0.00163	0.0	0.33529	0.13255	0.05169	1.2562	0.00159	0.23716	0.0	0.08563	0.02029	0.20804	0.0	0.41589	0.14096	0.03656	0.606	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae	0.0767	0.07316	0.0023	0.01171	0.00428	0.01064	0.22248	0.0	0.0	0.1808	1.13613	0.0	0.00181	0.0	0.02926	0.02616	0.01266	0.01008	0.0	0.75847	0.00426	0.0	0.0	0.03154	0.0144	0.00056	0.01213	0.202	0.0	0.0	0.0	0.0	0.04818	0.00321	0.00139	0.0	0.0	0.0	0.0	0.01984	0.0	0.0	0.0	0.0	0.0	0.00805	0.0	0.0	0.0	0.00556	0.0	0.00249	0.07733	0.0	0.09457	0.0	0.0	0.0	0.1447	0.0463	0.00436	0.01501	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	2.89094	71.16209	91.56426	46.87569	48.59307	19.3445	32.04564	31.58416	44.17774	22.34389	38.31396	33.77931	71.79149	82.86406	60.92573	56.97505	3.0797	5.83824	57.91878	18.35774	89.44095	13.45995	79.63592	46.54702	8.37578	58.35012	82.64163	60.03249	73.55811	8.01873	0.64283	83.36629	65.6968	26.29516	79.56207	64.47016	80.789	91.02426	39.78741	44.9187	1.21708	41.72269	9.28093	0.60933	49.62074	54.46179	58.38081	0.23668	49.82227	13.10801	1.30422	55.12272	8.20377	0.94997	74.41264	2.84849	7.07603	5.81141	17.26673	49.18008	75.11427	2.70881	8.17366	34.65877	86.35569
