dataset_name	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016
study_condition	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	control	control	AD	AD	AD	AD	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Williamsiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Brevibacteriaceae	0.00328	0.0	0.0	0.0	0.26217	0.17049	0.36062	0.0	0.0	0.01308	0.06611	0.02836	0.0	0.0	0.07035	0.40638	0.0	0.0	0.0	0.0	0.01026	0.0	0.0	0.0	0.0	0.0	0.0	0.13509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22721	0.28857	0.0	0.0	0.0	0.02509	0.1468	0.74413	0.00431	0.0	0.04443	0.01173	0.00317	0.0	0.01772	0.0	0.0	0.0	19.7033	22.53671	0.0	0.0	0.13595	0.08241	0.09948	0.0	0.00108	0.01794	0.26363	0.00591	0.6336	2.90734	0.04196	0.27718	0.25879	0.40636	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermabacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04001	0.0	0.0	0.0	0.03632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01878	0.0	0.0	0.0	0.06843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00204	0.03987	0.01795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02824	0.00447	0.0	0.07114	0.10581	0.12846	0.0	0.0	0.0	0.0	0.03748	0.19575	0.0	0.0	0.0	0.0	0.83899	3.54194	0.0	0.01673	0.04786	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermacoccaceae	0.01927	1.10296	0.32846	0.6133	4.18081	1.83189	0.52135	0.67549	0.0	0.03635	0.43727	1.38153	3.21177	4.51832	0.0	0.17377	2.7717	5.992	0.0	0.0	0.04484	0.00681	0.0	0.0	4.3138	2.24143	0.0	0.15077	3.74826	5.26235	0.0	0.0	0.0	0.0	3.79612	2.34789	0.3153	1.01705	0.46564	0.85431	0.10405	0.0	0.0	0.05204	0.0	0.0	1.22013	1.09466	2.38529	1.57417	0.0	0.04744	1.86991	1.41362	0.756	0.46032	1.8456	0.63246	0.24745	0.1418	1.72238	2.11155	1.66689	2.14513	0.14328	0.07361	1.08116	1.29645	0.50662	0.1413	3.67839	2.4222	0.0	0.20201	9.90052	7.4191	0.10103	0.30156
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae	0.0	0.04208	0.01148	0.01326	0.0	0.0	0.2683	0.37015	0.0	0.00948	0.08584	0.34325	0.20031	0.08183	1.34257	1.62199	0.92818	0.60848	0.0	0.07036	0.0	0.0	0.06815	0.0	1.10225	0.58653	0.22911	0.27942	0.29594	0.0	0.0	0.0	0.89498	0.4448	0.27465	0.27295	0.6719	1.01013	0.0	0.0	0.0	0.0	0.0	0.0	0.09997	0.13666	0.07524	1.44377	0.0	0.0	0.0	0.0	0.0	0.0	0.00468	0.0	0.0	0.0	0.1213	0.22443	0.0	0.0	0.0	0.0	0.0	0.0	0.0347	0.08422	0.0	0.0	0.0	0.0	0.0	0.0	1.98432	1.88875	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	0.0	0.02656	0.0	0.0	0.86693	0.65093	0.0191	0.0	0.0	0.0	0.0	0.00305	0.0	0.0	0.0	0.0	0.54665	0.14575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18164	0.0	0.0	0.0	0.0	0.05677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01902	0.12098	0.09171	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	1.35602	1.28766	11.31206	3.90161	5.04644	6.76379	17.32888	16.41274	0.89336	0.27617	0.68922	0.70728	3.83953	4.74475	11.64856	18.3042	0.31794	0.14618	0.47436	0.5756	2.06027	1.50388	0.85377	0.19935	20.78624	13.06478	27.56241	29.65259	2.41156	2.1451	2.24338	2.99793	8.65482	6.6316	1.2864	0.65491	21.99779	19.37863	4.12954	2.88201	5.52901	0.01935	3.1074	0.5645	2.72469	2.83282	8.8925	8.7859	2.54738	2.27087	1.88224	0.88467	1.81687	0.4373	1.25004	1.43898	5.25494	4.12958	36.6761	38.82106	0.03545	1.25701	0.27562	3.39649	21.31448	12.36349	25.08575	31.92757	3.85869	6.9651	0.23807	0.01904	0.39317	2.3812	22.52916	17.21399	2.85562	4.20775
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	41.24365	60.01147	58.5174	65.52291	45.47651	43.05746	42.3391	37.13907	66.0277	74.70312	78.21566	76.98719	55.20797	42.71805	63.17397	57.57197	22.09059	51.75688	75.6332	70.84878	76.49943	76.71416	87.21314	94.45214	53.64971	74.05409	25.99352	16.58922	78.81152	79.5719	55.61625	72.40651	64.81021	63.73376	86.25726	89.92949	44.719	36.61495	59.06485	45.00927	32.37378	42.53512	53.77348	79.75427	88.52174	83.43899	66.90921	57.59016	67.23686	68.2899	87.15962	91.47634	79.89455	82.63511	78.45964	84.34077	36.23893	52.10178	10.06622	8.41303	39.09785	39.17087	74.76219	36.8332	5.38276	4.33747	55.35182	49.76933	45.23716	21.81503	55.9518	44.49294	94.10967	81.96263	33.85758	50.20932	33.87157	48.13511
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0315	0.0	0.0	0.0	0.00384	0.00253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
