Castro-NallarE_2015	auc	0.60875	0.3039608321807269
ChngKR_2016	auc	0.85125	0.1414833372599834
FengQ_2015	auc	0.8946964285714286	0.1125876168953522
GhensiP_2019_m	auc	0.681875	0.2439990714633972
GhensiP_2019	auc	0.8888333333333334	0.1175249382518923
GuptaA_2019	auc	0.8605555555555557	0.1775163007642876
HanniganGD_2017	auc	0.4783333333333333	0.0872752846379888
Heitz-BuschartA_2016	auc	0.8486111111111111	0.1755447869411741
HMP_2012	auc	1.0	0.0
IjazUZ_2017	auc	0.91125	0.0982512015759151
JieZ_2017	auc	0.804724025974026	0.071495283570308
KarlssonFH_2013	auc	0.6271666666666667	0.192074276720694
KosticAD_2015	auc	0.7571180555555554	0.1486366976178138
LiJ_2017	auc	0.5567416666666667	0.1345770085373124
NielsenHB_2014	auc	0.8370890476190476	0.0622697094029431
QinJ_2012	auc	0.6741955017301038	0.0851735452022185
QinN_2014	auc	0.8708723047785548	0.0663772541402343
RaymondF_2016	auc	0.7111111111111111	0.194875514237635
ThomasAM_2018a	auc	0.70875	0.2295993810348907
ThomasAM_2018b	auc	0.812638888888889	0.1983437886288711
VogtmannE_2016	auc	0.5649527777777779	0.1374557479576788
WirbelJ_2018	auc	0.8043353174603175	0.1253656904378976
YachidaS_2019	auc	0.6527500887573965	0.0649062878892475
YeZ_2018	auc	0.5169375	0.183936544340025
YuJ_2015	auc	0.8659494047619047	0.1069289207957176
ZellerG_2014	auc	0.7896547619047621	0.1320218027791057
