study_condition	nonNASH-OB	nonNASH-OB	H	H	H	H	nonNASH-OB	H	H	H	H	H	nonNASH-OB	H	H	H	H	nonNASH-OB	H	nonNASH-OB	nonNASH-OB	nonNASH-OB	H	nonNASH-OB	H	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0.009907120743034056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005925925925925926	0.0	0.0	0.0	0.0	0.0	0.0	0.00026143790849673205	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.0	0.0	0.003600464576074332	0.0005586592178770949	0.0014058106841611997	7.536930961712391e-05	0.0010346611484738748	0.0002415264471459625	0.0	0.00029276147259020715	0.0	0.00014665982254161473	0.0	0.001211631663974152	0.0003719407870267054	0.0001128158844765343	0.0	0.0	0.0	0.0	0.0	6.041565973900435e-05	0.00023573785950023574	0.00014851117546595382	0.000566197980560536	0.0	0.0003337783711615487	0.0	0.0	0.0	0.00010128633647320976	9.876543209876543e-05	0.0002443494196701283	0.0014722722067724522	0.0	0.0	0.0	9.935419771485345e-05	0.0	0.0	0.00013229263130043657
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0.002848297213622291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002199897338124221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0	0.003852739726027397	0.0022067363530778165	0.002932960893854749	0.0010710938545990091	0.0	0.0	8.050881571532083e-05	0.0003522367030644593	0.00029276147259020715	0.000315955766192733	0.0004399794676248442	0.0	0.002423263327948304	0.0019340920925388677	0.0	0.0	0.0	0.0	0.0005917548819777764	0.0	0.00018124697921701306	0.000942951438000943	0.0008910670527957229	0.002642257242615835	0.0002081165452653486	0.0013351134846461949	0.0	0.0009204336265084885	0.0	0.00030385900941962927	0.0023703703703703703	0.0002443494196701283	0.0017994438082774415	0.0	0.000159821000479463	0.0	0.0018877297565822156	6.535947712418301e-05	0.0	0.00013229263130043657
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.0	0.0008561643835616438	0.0003484320557491289	0.0	0.0002008300977373142	0.0007536930961712391	0.0010346611484738748	0.0	0.0	0.0	0.0	0.0	0.0	0.00010096930533117933	0.0	0.0	0.0	7.335680751173709e-05	0.0	6.575054244197515e-05	0.00014988009592326138	0.0	0.0	0.00014851117546595382	0.0	0.0	0.00022251891410769915	0.0013774104683195593	0.00020454080589077522	0.0	0.0	0.0	0.0	0.0	0.0	0.000319642000958926	0.0	0.0	0.0	0.0	0.0003968778939013097
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella	0.0001238390092879257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001208313194780087	0.0	7.425558773297691e-05	0.0	0.0	0.00011125945705384957	0.0	0.0	7.695859627520394e-05	0.0	0.0	0.0	0.0	0.00016020506247997436	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014988009592326138	0.004893668438859352	0.0	0.0	0.0	0.0	0.0	0.0001147842056932966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005228758169934641	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032020299661672308	0.0	7.425558773297691e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000718954248366013	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.02860681114551083	0.5158390410958901	0.0423925667828107	0.24385474860335243	0.09405542910697559	0.23047934880916515	0.04389919444239157	0.5997101682634237	0.03909827404015499	0.21700944155749097	0.2069510268562402	0.09298232749138365	0.02965479959842461	0.2879644588045236	0.07795878896079751	0.20182761732852006	0.44535519125683065	0.5971977699530525	0.001347900113507378	0.6746005654546643	0.7604916067146291	0.19115514741420966	0.2677982083922678	0.14702606371129442	0.5197697461545718	0.017273673257023933	0.5836671117044947	0.4325068870523416	0.666905297606874	0.00023087578882561183	0.3630102299199843	0.22409876543209875	0.030299328039095914	0.043186651398658606	0.0036847164370394105	0.16765222950295675	0.07737397420867526	0.11952309985096876	0.0008496732026143792	0.1899572649572649	0.3573223971424788
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002901138138808302	0.0	0.015482695810564663	0.0	0.0	0.0	0.0	0.004108264862252296	0.0	0.0	0.0	0.0	0.0	0.0001147842056932966	0.0012272448353446513	0.0	0.0	0.0	0.002199144777031155	0.0	0.0	0.0	0.002214406669271851	9.935419771485345e-05	0.00823529411764706	0.00021367521367521368	0.0
