study_condition	NASH	NASH	NASH	NASH	H	H	NASH	H	H	NASH	NASH	NASH	H	H	H	H	H	H	H	H	H	NASH	NASH	NASH	NASH	H	H	H	NASH	NASH	NASH	NASH	NASH	NASH	NASH	NASH	NASH	NASH
k__Bacteria;p__;c__;o__;f__;g__	0.0	0.0	0.0074046649389115145	0.0007327617791455998	0.00023228803716608595	0.0	0.0026909378709932723	0.00013388673182487614	0.0002261079288513717	0.0	0.0014694508894044856	0.0	8.050881571532083e-05	0.0	0.0	0.0	0.0003666495563540368	0.000302907915993538	0.0	0.0004512635379061372	0.0	0.00014381246854102252	0.0005809610756079343	0.000478049557804159	0.0	0.00673950056753689	0.0	0.0003774653203736907	0.002012612370857373	0.0	8.985533291400844e-05	0.0	0.003510777269758328	0.0005339503426181365	0.0002799552071668533	0.0002957704821058858	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.0006605019815059445	0.0006360311655271108	9.255831173639393e-05	0.0018319044478639994	0.0	0.0	0.0030866640284922834	0.0	0.0	0.0	0.0003866976024748647	0.0	0.0	0.0	0.0	0.0	0.00014665982254161473	0.0	0.0	0.0	0.0	0.00014381246854102252	0.0	0.00326667197832842	0.008031470250778562	7.094211123723042e-05	0.0	0.0	0.0002683483161143164	0.0	0.0009884086620540928	0.00040899795501022495	8.164598301763554e-05	0.0045385779122541605	0.0	0.0001478852410529429	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	0.0	0.0	7.327617791455998e-05	0.0	0.0	0.006252473288484369	6.694336591243807e-05	0.00030147723846849563	0.0	0.00015467904098994585	0.0009620318111852233	0.0	0.0	7.319036814755179e-05	0.0	0.0	0.00020193861066235866	0.0	0.0	0.0	0.0017257496224922703	0.0006639555149804963	0.0003186997052027727	8.195377806916898e-05	0.0	0.0	0.00018873266018684534	0.0001341741580571582	0.0	0.0	0.00040899795501022495	8.164598301763554e-05	0.00026697517130906825	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0003957261574990107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014381246854102252	0.0	0.0	0.0009014915587608589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005339503426181365	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	0.0	0.0	0.0	0.0015387997362057595	0.0	0.0	0.0008705975464978235	0.0	0.0	0.0	7.733952049497293e-05	0.0	0.0	0.0	0.0	0.0	0.00014665982254161473	0.0	0.0	0.0	0.0	0.00021571870281153377	0.0	0.00039837463150346584	0.0009834453368300277	0.0	0.0	0.0	0.0067087079028579095	0.0	0.001437685326624135	0.00245398773006135	0.004327237099934683	0.00026697517130906825	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0.0	0.0	9.255831173639393e-05	0.0013922473803766396	0.0	0.0	0.00110803324099723	0.0	0.0	0.0	0.0013147718484145397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005824404975911412	0.0	0.0035853716835311925	0.004097688903458449	0.0007094211123723042	0.0	9.436633009342267e-05	0.002146786528914531	0.0	0.00035942133165603376	0.0028629856850715747	0.0022044415414761596	0.00017798344753937884	0.0011198208286674132	0.0010351966873706005	0.0	0.00014222727919214906
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04795686719636776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.0001590077913817777	0.0	0.004762951564446397	0.0	0.0	0.00015829046299960426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002390247789020795	0.0004097688903458449	0.009790011350737798	0.0	0.0	0.0	0.0	0.0002695659987420253	0.00040899795501022495	8.164598301763554e-05	0.00026697517130906825	0.0	0.0	0.0	0.00014222727919214906
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006313847900113507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.005449141347424042	0.0001590077913817777	0.0	0.004030189785300798	0.03623693379790941	0.0329608938547486	0.0002374356944994064	0.005422412638907484	0.0	0.0	0.0	0.03783991790661878	0.0008050881571532082	0.027122226135963372	0.04435336309741637	0.06729857819905212	0.002126567426853413	0.0707794830371567	0.05794837461876069	0.0050767148014440435	0.01366120218579235	0.004314374056230676	0.0009959332724707444	0.0	0.00024586133420750693	7.094211123723042e-05	0.013201320132013205	0.046145135415683686	0.0	0.0061344076176524445	0.0002695659987420253	0.0008179959100204499	0.012818419333768778	0.004449586188484471	0.04339305711086226	0.0	0.0	0.027023183046508317
