study_condition	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	nonCDI	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	0.0	0.0	0.0	0.001272264631043257	0.0	0.0003729951510630362	0.0004389815627743635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019242155121373592	0.0	0.0	0.0	0.0	0.005467996140238018	0.0	0.17252270035530992	0.0	0.0	0.0	0.0	0.0	0.0	0.024848891873740765	0.0	0.005842259006815969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007276255154014067	0.0001763668430335097	0.010284463894967177	0.0	0.0	0.0	0.018586601307189542	0.00037537537537537537	0.0	0.0	0.0	0.0	0.0	0.0	0.00034322979234597563	0.0	0.0	0.0	0.0003784295175023652	0.2297568592460406	0.0	0.0	0.0	0.0	0.008429672447013488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022701475595913734	0.0	0.0	0.00023691068467187872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03111111111111111	0.0	0.0001719986240110079	0.0007551729346020239	0.0	0.0	0.0	0.0013958125623130609	0.0	0.0018155410312273056	0.00018885741265344664	0.00014402995823131211	0.0	0.0	0.05967591149890932	0.00013116474291710389	0.0	0.24155797748793997	0.0	0.0005389092476826902	0.00012627857052658164	0.0	0.0044652349564108015	0.002799694578773225	0.0	0.00034234851078397807	0.00021101498206372652	0.3109413614917996	0.0	0.0	0.00039643211100099106	0.0	0.03201347935973041	0.0	0.3912944910451145	0.0	0.017376681614349774	0.0	0.0	0.0	0.0	0.0	0.0	0.005566723364775011	0.0	0.03417701112364985	0.0007582938388625592	0.03750302443745464	0.017322097378277154	0.0	0.00015067048365225252	0.0	0.0	0.0	0.0	0.0	0.0004940711462450593	0.0	0.0	0.0	0.0	0.02566964285714286	0.0	0.0	0.0	0.0	0.0	0.3201588877855015	0.0	0.14087759815242495	0.0	0.0	0.0011280315848843769	0.0	0.0017027487229384578	0.0012126111560226355	0.0906509835733117	0.0	0.0	0.4800721009413178	0.0033203406958279193	0.0	0.0	0.0	0.4823462414578588	0.0	0.0	0.0	0.0	0.00962187711006077	0.08453776929370058	0.0	0.0	0.013302294645826405	0.2916920576884014	0.0	0.015460910151691949	0.0	0.0	0.014232342999466286	0.0	0.0	0.0	0.0	0.003780168653678395	0.0	0.00016431153466973383	0.049810749432248294	0.048935839676868105	0.0	0.0010314595152140279	0.00243531202435312	0.0007876496534341526	0.0	0.0	0.0009080590238365494	0.0002101281781886951	0.0	0.0	0.3965341488277268	0.12623525661459994	0.0	0.016619452313503306	0.0	0.0	0.019205869659041863	0.0	0.0	0.0	0.00044603033006244426	0.0	0.0	0.0	0.00013885031935573453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19545606414968258	0.00020768431983385254	0.07344262295081967	0.0	0.0	0.0	0.0	0.0	0.00014208581983518045	0.049320036264732546	0.0	0.0	0.0	0.42391304347826086	0.15468141774226593
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Xylanibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003418803418803419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016080042880114345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05077510671759155	0.0	0.0	0.0	0.0	0.00016849199663016007	0.0	0.0004534119247336205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016121231662098983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005958291956305859	0.0	0.0007698229407236336	0.0	0.0	0.0	0.0	0.0	0.0	0.00020279862096937742	0.0	0.0	0.0014019627478469858	0.0	0.0	0.0	0.0	0.002277904328018223	0.0	0.0	0.0	0.0	0.001012829169480081	0.0	0.0	0.0	0.0	0.0006093845216331506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015535187199005747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002038735983690112	0.0001593879502709595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010023387905111927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001358695652173913	0.0004097520999795124
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0	0.002686108979278588	0.024532224532224534	0.0016429353778751369	0.0	0.07105263157894738	0.0	0.0	0.030038230475150193	0.0	0.024748201438848913	0.07227891156462586	0.0	0.010824742268041237	0.0	0.006186909801367632	0.0	0.0	0.0029106029106029108	0.1278863232682061	0.0	0.3271028037383179	0.14531802120141346	0.00042265426880811494	0.05628819556127374	0.004889975550122249	0.10501381760757998	0.000429000429000429	0.0004329004329004329	0.0066733400066733405	0.34466230936819203	0.003780718336483932	0.000502008032128514	0.04701141705842847	0.01473384030418251	0.015579357351509249	0.04024051803885293	0.0358953559115798	0.0007396449704142012	0.0	0.0006325110689437065	0.0	0.007138001359619305	0.06281833616298813	0.001058201058201058	0.0037199124726477024	0.0002834467120181406	0.0	0.0034559869892254523	0.08966503267973855	0.13269519519519501	0.0	0.0	0.3520829956232774	0.00728807057920982	0.0	0.009762202753441801	0.3080487386305137	0.0	0.0011046672190002762	0.0	0.15193945127719977	0.11710907874191392	0.0	0.0	0.0	0.1389543099387659	0.0	0.0003350644999162339	0.0	0.0011394712853236098	0.02437981180496151	0.08635558180744234	0.0	0.0006594856012310398	0.12485811577752559	0.0	0.0	0.037905709547500596	0.0	0.0	0.06573248407643308	0.0	0.00020742584526031943	0.0	0.016818751118268024	0.0022859152452962897	0.05538461538461542	0.0	0.02029583763329893	0.08170971152393904	0.005032907471931862	0.11349069876504615	0.003108003108003108	0.00638085742771685	0.050556586270871985	0.1931735657225854	0.08083097261567503	0.0	0.12228376651043887	0.0	0.17482081645372377	0.0	0.13200766650694773	0.05699481865284976	0.09231676743843092	0.09387799094632471	0.04091425685061248	0.0006685981724983285	0.024027216670210513	0.03563247645711377	0.0	0.03971242725094146	0.019413378349862842	0.0006740058413839587	0.00844550013196094	0.18396909705456285	0.009910802775024779	0.11898374625216981	0.2254422914911542	0.10972790325449032	0.06687825889820902	0.0	0.19674887892376655	0.07325383304940375	0.05503380916604055	0.067270826071802	0.06088643486046861	0.1158575031525852	0.04557491289198604	0.045925467759393886	0.1427781871775975	0.022730936643559577	0.028056872037914685	0.12073554318896672	0.021301498127340827	0.04232804232804232	0.0	0.0	0.0	0.023433454168824443	0.0	0.06264916467780425	0.014163372859025032	0.05388967468175391	0.04018711460769723	0.0	0.016351319785096942	0.048735119047619034	0.008706467661691543	0.04233141884705377	0.03541628036343408	0.02751959176234736	0.0	0.07864945382323742	0.0	0.04372594303310239	0.07093425605536331	0.01524008350730689	0.0002820078962210942	0.0	0.11603016297737785	0.0032336297493936943	0.012167917258162644	0.20668537892319463	0.05089820359281438	0.0016022431403965552	0.0537029016890429	0.05764599638771819	0.0617021276595745	0.0070470561491248005	0.01907744874715262	0.007106373528758605	0.01455633100697906	0.02328675981370592	0.0273892773892774	0.08389601620526663	0.013226070357240249	0.005768578215134035	0.4414114513981354	0.009145327569005653	0.048953889904529736	0.12904290429042908	0.048570595099183225	0.048434925864909405	0.09259586499381532	0.2191780821917813	0.04761200650598845	0.014144084600132188	0.08209069946195227	0.05486885740126615	0.05306775225356207	0.058661904107707094	0.09119290174170237	0.027403482210446636	0.09305577132204446	0.0023402076934327925	0.1425992779783393	0.027853881278538804	0.011814744801512286	0.04520795660036171	0.06607724523033968	0.0812712826333712	0.1519226728304264	0.1740671956778656	0.03136561042303363	0.05484199796126405	0.021357985336308574	0.02317880794701987	0.04985835694050991	0.15487999999999974	0.04373324396782842	0.07250755287009063	0.049116676373519685	0.0	0.0639253628196269	0.11708296164139152	0.06506066467381748	0.2260357080949905	0.003986989822683874	0.004026659261316301	0.14261838440111435	0.07300952966492462	0.05784418356456779	0.04794622852875281	0.040486637415237337	0.04355900725983456	0.11761442441054096	0.03107250250584697	0.08951194184839048	0.10393442622950816	0.06616379310344826	0.08217374952989832	0.046239837398373965	0.0032689450222882616	0.03518402994385526	0.09377664109121918	0.09682683590208521	0.03520770010131714	0.007006071929005138	0.040022979701263894	0.022758152173913058	0.019053472649047328
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010566356720202874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017161489617298782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018601190476190475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017765933821896514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005275189027606822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Sediminibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001719986240110079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013116474291710389	0.0007187350263536176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018782870022539445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004232804232804233	0.0	0.0002226179875333927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015396458814472672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025516713447307985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria/Chloroplast;c__;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027874564459930314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003708511032820323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006653359946773121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004542013626040878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003340953050817654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013114754098360656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria/Chloroplast;c__Chloroplast;o__;f__Chloroplast;g__Streptophyta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011235955056179775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022336385972749609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017533606078316774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015103458692040478	0.0	0.0014069094888228856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005090353779587681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011181513231457323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015463120457708364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002487562189054726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria/Chloroplast;c__Cyanobacteria;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007544729467557663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009211495946941784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006540527914038776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004411265693926026	0.0	0.0	0.0	0.0	0.0	0.0	0.00017670966601873123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025786487880350697	0.0	0.0	0.007233273056057866	0.0	0.0	0.0	0.0	0.0	0.0	0.0004781638508128785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002048760499897562
k__Bacteria;p__Firmicutes;c__;o__;f__;g__	0.0	0.0	0.0008316008316008316	0.0	0.0	0.0	0.0	0.0	0.006007646095030038	0.0	0.0008633093525179855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000671591672263264	0.0004752851711026616	0.0004868549172346641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007276255154014067	0.0	0.0	0.0	0.0	0.0	0.0002042483660130719	0.0	0.0017533606078316774	0.0	0.0	0.0	0.0	0.0	0.01664664492877982	0.0	0.00027616680475006904	0.0	0.0001892147587511826	0.00022306491188935982	0.0	0.0	0.0	0.0012560841576385617	0.0	0.0	0.0	0.0	0.0	0.00011813349084465446	0.0	0.0	0.0	0.0	0.0	0.00023691068467187872	0.00023413720440177945	0.0	0.00025477707006369424	0.0	0.0	0.0004425757911042266	0.0001789228842368939	0.0008791981712678038	0.0	0.0	0.0001719986240110079	0.0	0.0009033423667570009	0.0	0.0	0.0019940179461615153	0.0	0.0	0.004532577903682719	0.0	0.0	0.0	0.0	0.0	0.012218495448011499	0.0	0.0011797669960182864	0.012933821944384567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04381037968995731	0.0	0.005311443746982134	0.0	0.001262427015938141	0.00016849199663016007	0.01760626000355682	0.00022670596236681024	0.0	0.0016816143497757848	0.00021294718909710392	0.00018782870022539445	0.016730568142209832	0.0	0.011034047919293822	0.013379790940766552	0.00046389361373125093	0.004421518054532056	0.00016121231662098983	0.006635071090047393	0.012823614807645777	0.12617041198501872	0.0	0.0	0.0	0.0	0.0042723977213878815	0.00012746160219233955	0.015115354017501989	0.00230566534914361	0.0	0.005953646608547736	0.0	0.05419294557346415	0.005208333333333334	0.0808457711442786	0.011274196979366092	0.0029668088262562583	0.0	0.0	0.004965243296921549	0.00017580872011251758	0.0006158583525789069	0.0	0.0016701461377870565	0.04822335025380711	0.0	0.0034054974458769156	0.0006063055780113178	0.0	0.0	0.09809792180345192	0.0	0.0	0.00030102347983142685	0.0	0.0	0.0011389521640091116	0.00044414834554741284	0.0	0.06276336216455977	0.0009712509712509713	0.02464550979068197	0.0	0.0	0.0004438526409232135	0.0	0.0	0.00033003300330033004	0.0	0.015815485996705108	0.0007068386640749249	0.0014232342999466287	0.0001478633742422002	0.0	0.005073020753266717	0.0010551703346397348	0.0	0.0015111965929385904	0.00016431153466973383	0.0	0.01693335404691627	0.0001462629808395495	0.02784940691077875	0.0	0.0023629489603024575	0.00575373993095512	0.00015511090429657206	0.003178206583427923	0.0031519226728304265	0.00033766672294445384	0.0	0.0	0.000637551801083838	0.0	0.00018885741265344664	0.0016	0.0005026809651474531	0.003884333189469141	0.0	0.0	0.0	0.00044603033006244426	0.002110075611042729	0.0	0.0	0.0	0.009192200557103064	0.0036889025514909315	0.0006403415154749199	0.0002987303958177745	0.0	0.0	0.00027739251040221914	0.001670564650851988	0.0	0.001639344262295082	0.0004310344827586207	0.010906355772846935	0.0	0.0	0.017592014971927635	0.00014208581983518045	0.0815956482320943	0.0	0.0	0.007276905400229797	0.0	0.0018438844499078057
