SampleType	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Organism	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human
Amplicon	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	0.025906736	0	0	0	0	0.013245033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015037594	0	0	0	0	0	0	0.007352941	0	0	0	0	0	0	0	0.011695906	0	0	0	0.016877637	0	0	0	0	0	0	0	0	0	0	0.021621622	0	0	0	0	0	0.013100437	0	0	0	0	0	0.01863354	0	0.005952381	0.018957346	0	0.013986014	0	0.005524862	0.00990099	0	0	0.009661836	0	0.00913242	0.017857143	0	0	0	0.007142857	0	0	0	0	0	0	0.006410256	0	0.006666667	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.041450777	0	0.014234875	0.008368201	0.0125	0.006622517	0.005494505	0.005208333	0.005617978	0.00990099	0	0.006993007	0	0	0.090225564	0	0	0	0	0.010526316	0	0	0	0.044025157	0	0	0.030075188	0	0.003937008	0	0.138121547	0.007042254	0.00877193	0.007352941	0	0.047244094	0	0.02020202	0	0	0	0.14619883	0	0	0.027906977	0	0	0	0	0	0.014814815	0	0.01010101	0	0	0.010810811	0.010810811	0	0.009009009	0	0.011904762	0	0.004366812	0.014184397	0	0	0.008403361	0	0.01242236	0.028735632	0.023809524	0.004739336	0.013513514	0.034965035	0.00621118	0.005524862	0	0	0	0.009661836	0	0.00913242	0	0.012820513	0	0.007407407	0.021428571	0.022988506	0.02189781	0	0	0	0.006369427	0.006410256	0.04	0	0	0	0.00952381
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0	0	0	0.322175732	0	0	0	0	0	0.00990099	0	0	0	0	0	0	0	0	0.710679612	0	0.009389671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007874016	0	0.005050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045248869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040935673	0	0	0	0	0	0	0	0	0	0	0	0.007352941	0	0	0	0.037735849	0	0	0	0	0	0	0	0	0	0	0.01242236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006060606	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0	0	0	0.029288703	0	0	0.010989011	0	0.258426966	0	0	0	0	0	0	0.067873303	0	0	0	0	0	0	0.006060606	0.031446541	0	0	0.007518797	0.070588235	0.346456693	0	0	0.098591549	0.043859649	0	0	0	0	0	0	0	0	0.210526316	0	0	0	0.016877637	0.313364055	0.009661836	0.217877095	0	0	0	0.04040404	0.235294118	0	0	0.118918919	0	0	0.155555556	0	0.009615385	0.15720524	0.446808511	0	0	0	0	0.00621118	0	0.244047619	0	0	0	0	0	0	0	0	0.338164251	0.435897436	0	0	0.006410256	0	0	0	0	0	0	0	0.2	0	0	0	0.04	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.005181347	0	0.017793594	0.020920502	0	0	0.005494505	0.010416667	0.134831461	0.02970297	0	0.034965035	0	0.032467532	0.030075188	0	0.007407407	0	0	0	0	0	0.012121212	0.044025157	0	0	0	0.064705882	0	0.038888889	0	0	0.052631579	0.279411765	0	0	0	0	0.02991453	0	0.015267176	0.087719298	0.02811245	0.021276596	0	0.101265823	0.152073733	0	0.011173184	0	0.148148148	0	0.070707071	0	0.066666667	0	0.081081081	0.037735849	0	0.007407407	0.017857143	0.009615385	0.131004367	0.028368794	0.01010101	0.008264463	0.042016807	0	0.105590062	0.034482759	0.017857143	0.033175355	0.006756757	0.027972028	0.00621118	0.099447514	0.074257426	0	0.009661836	0.057971014	0	0.00456621	0.080357143	0.051282051	0.050458716	0	0.028571429	0	0.02189781	0.039473684	0	0.066666667	0	0.038461538	0.026666667	0.026666667	0	0.140740741	0
k__Bacteria;p__Firmicutes;c__;o__;f__;g__	0.005181347	0	0	0	0	0	0.010989011	0.015625	0	0.00990099	0	0.006993007	0.018450185	0.025974026	0	0	0.007407407	0	0	0.010526316	0	0	0.018181818	0.056603774	0	0.006802721	0	0.005882353	0	0.022222222	0	0	0.01754386	0	0.006451613	0	0	0.01010101	0.004273504	0	0	0	0.004016064	0.007092199	0.018604651	0	0.055299539	0	0	0	0.022222222	0	0	0.007352941	0.014814815	0.010810811	0.005405405	0	0	0	0	0	0.017467249	0	0.015151515	0	0	0	0	0.011494253	0.035714286	0	0	0	0.00621118	0.044198895	0	0	0	0.004830918	0.006410256	0.00913242	0.004464286	0.044871795	0.018348624	0.02962963	0.021428571	0	0	0.006578947	0	0.048484848	0.006369427	0.019230769	0	0.02	0.013245033	0.044444444	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0	0.016806723	0	0	0	0	0	0	0	0	0.809623431	0	0	0	0.007518797	0.013574661	0	0.133802817	0	0	0	0	0	0	0.396396396	0.006802721	0	0	0	0	0.508287293	0	0.026315789	0.007352941	0.012903226	0	0	0.015151515	0	0.285185185	0	0.076023392	0.365461847	0.014184397	0	0	0	0	0	0	0	0	0	0	0.014814815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115183246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294117647	0	0.007042254	0	0	0.004694836	0.033057851	0	0	0.408408408	0.034013605	0	0	0	0.122222222	0	0	0	0	0	0	0	0	0.034188034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009433962	0	0.014814815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036649215	0	0	0	0	0	0	0	0	0	0	0	0.006578947	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0	0.008403361	0.028469751	0.008368201	0	0.01986755	0.010989011	0	0	0.00990099	0.00209205	0.006993007	0.003690037	0.006493506	0.015037594	0.085972851	0	0.021126761	0.033009709	0.005263158	0	0	0	0.006289308	0	0.047619048	0.082706767	0.005882353	0.019685039	0.011111111	0	0.056338028	0	0	0.019354839	0	0	0.01010101	0.021367521	0.014814815	0.045801527	0.005847953	0.012048193	0	0	0.021097046	0	0.004830918	0	0	0.02962963	0.007633588	0	0	0	0.005405405	0	0	0	0	0.011904762	0.004807692	0	0	0.01010101	0.016528926	0	0.004587156	0.01242236	0.011494253	0	0.009478673	0.027027027	0.006993007	0	0	0.014851485	0.010471204	0	0	0	0.164383562	0.008928571	0.006410256	0.004587156	0.007407407	0	0.017241379	0	0.006578947	0	0.012121212	0	0	0	0	0	0.081481481	0.00952381
