SampleType	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Organism	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human
Amplicon	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3	v3
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037735849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004608295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013761468	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto	0	0	0	0	0	0	0.010989011	0	0	0	0	0.06993007	0	0	0	0	0	0	0	0	0	0.008264463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004273504	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01010101	0	0	0	0	0	0	0	0	0	0	0.007092199	0.005050505	0	0	0	0	0	0	0.009478673	0	0	0	0	0	0.104712042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	0	0	0.010676157	0	0.01875	0	0.005494505	0	0	0	0	0	0	0	0	0.027149321	0.014814815	0	0	0.005263158	0.112676056	0	0.012121212	0	0	0	0	0.017647059	0.011811024	0.022222222	0	0.049295775	0	0.022058824	0	0	0	0	0	0	0	0	0.008032129	0	0.018604651	0.004219409	0	0	0.016759777	0	0	0	0.04040404	0	0.007407407	0.010810811	0.010810811	0	0	0.007407407	0.005952381	0.004807692	0.03930131	0.007092199	0.005050505	0	0	0	0.01242236	0	0	0	0	0.006993007	0	0.011049724	0	0	0	0.004830918	0.012820513	0	0	0	0	0	0.035714286	0	0	0	0	0	0	0	0	0.006666667	0.006622517	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	0.015544041	0.033613445	0.039145907	0.008368201	0.05	0.086092715	0.032967033	0.03125	0.016853933	0.01980198	0	0.041958042	0.044280443	0.032467532	0.037593985	0.004524887	0.022222222	0	0	0.042105263	0.018779343	0.090909091	0.024242424	0.018867925	0.003003003	0.034013605	0.022556391	0	0.027559055	0.033333333	0.011049724	0.063380282	0	0.022058824	0.058064516	0.086614173	0.090909091	0.055555556	0.004273504	0.033333333	0	0.011695906	0.13253012	0.085106383	0.055813953	0.025316456	0.004608295	0.009661836	0.156424581	0.113043478	0.022222222	0.267175573	0.02020202	0.007352941	0.014814815	0.059459459	0.075675676	0.028301887	0.288288288	0.014814815	0.077380952	0.033653846	0.026200873	0.134751773	0.04040404	0.099173554	0.025210084	0.050458716	0.02484472	0.051724138	0.017857143	0.075829384	0.094594595	0.06993007	0.031055901	0.005524862	0.044554455	0.036649215	0.033816425	0.111111111	0.025641026	0.03196347	0.03125	0.141025641	0.036697248	0.014814815	0.092857143	0.252873563	0.03649635	0.019736842	0.044444444	0.036363636	0.159235669	0.012820513	0	0.006666667	0.105960265	0.007407407	0.00952381
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	0.176165803	0.31092437	0.035587189	0.025104603	0.2125	0.158940397	0.082417582	0.020833333	0.02247191	0.168316832	0	0.083916084	0.073800738	0.071428571	0.015037594	0.07239819	0.281481481	0	0	0.042105263	0.046948357	0.123966942	0.109090909	0.075471698	0	0.095238095	0.218045113	0.070588235	0.062992126	0.038888889	0.005524862	0.11971831	0.052631579	0.058823529	0.2	0.070866142	0.145454545	0.045454545	0.034188034	0	0.450381679	0	0.080321285	0.09929078	0.065116279	0.033755274	0.02764977	0.038647343	0.022346369	0.252173913	0.037037037	0.015267176	0.070707071	0.014705882	0.081481481	0.059459459	0.07027027	0.075471698	0	0.051851852	0.011904762	0	0.03930131	0.014184397	0.035353535	0.305785124	0.117647059	0.055045872	0.055900621	0.040229885	0.035714286	0.023696682	0.047297297	0.090909091	0.086956522	0.049723757	0.084158416	0.015706806	0.057971014	0.024154589	0.025641026	0.063926941	0.017857143	0.025641026	0.032110092	0.044444444	0.014285714	0.045977011	0.058394161	0.052631579	0.088888889	0.066666667	0.076433121	0.032051282	0.133333333	0.046666667	0.092715232	0.044444444	0.00952381
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa	0.031088083	0.008403361	0.028469751	0.016736402	0.05625	0.17218543	0.005494505	0.015625	0	0.01980198	0	0.041958042	0.029520295	0.038961039	0.015037594	0.013574661	0.02962963	0.253521127	0	0.015789474	0.018779343	0	0.006060606	0.056603774	0	0.013605442	0.015037594	0.005882353	0.011811024	0	0.016574586	0.035211268	0	0	0.103225806	0.141732283	0.381818182	0.04040404	0.008547009	0.222222222	0.167938931	0.128654971	0.016064257	0	0.051162791	0.025316456	0.01843318	0.048309179	0.083798883	0.12173913	0.014814815	0	0.01010101	0.014705882	0.02962963	0.032432432	0.027027027	0.018867925	0.054054054	0.007407407	0.005952381	0	0.017467249	0	0.045454545	0.024793388	0.025210084	0.068807339	0.00621118	0.057471264	0.035714286	0.033175355	0.067567568	0.048951049	0.01242236	0.011049724	0.059405941	0	0.062801932	0	0.051282051	0.03196347	0.03125	0.006410256	0.02293578	0.007407407	0.021428571	0.011494253	0.04379562	0.039473684	0.066666667	0.012121212	0.025477707	0.025641026	0.073333333	0.013333333	0.039735099	0.007407407	0.038095238
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	0.031088083	0	0.014234875	0.008368201	0.0875	0.006622517	0.005494505	0	0.016853933	0.01980198	0	0	0.007380074	0.038961039	0	0.013574661	0	0	0	0	0.051643192	0.123966942	0.03030303	0.044025157	0	0.034013605	0.007518797	0.035294118	0.019685039	0.055555556	0	0.035211268	0.026315789	0.029411765	0	0.023622047	0	0	0.021367521	0	0	0	0.024096386	0.09929078	0.018604651	0.016877637	0	0.057971014	0.027932961	0.043478261	0.014814815	0	0.03030303	0.014705882	0	0.032432432	0.010810811	0.094339623	0	0.022222222	0.011904762	0.009615385	0.021834061	0	0	0.05785124	0.033613445	0.02293578	0.055900621	0.005747126	0.011904762	0.004739336	0.047297297	0	0.00621118	0.011049724	0.034653465	0	0	0.009661836	0.012820513	0.01826484	0.008928571	0.019230769	0.004587156	0	0	0	0.03649635	0	0	0.018181818	0.01910828	0.019230769	0.013333333	0.02	0.006622517	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	0.015544041	0	0.010676157	0.0041841	0.0125	0	0.049450549	0	0	0.00990099	0	0.013986014	0.014760148	0	0	0	0	0	0	0.010526316	0	0	0	0	0	0	0	0	0.003937008	0.005555556	0	0.021126761	0	0	0.025806452	0	0	0.01010101	0.004273504	0	0	0	0	0.028368794	0.046511628	0.021097046	0.004608295	0	0.078212291	0	0.022222222	0	0	0.007352941	0.007407407	0.037837838	0	0	0	0.007407407	0.05952381	0.043269231	0.026200873	0.028368794	0.02020202	0.016528926	0.050420168	0.018348624	0.01242236	0.005747126	0.05952381	0.042654028	0.033783784	0.027972028	0	0.049723757	0	0	0	0.09178744	0.012820513	0	0.044642857	0	0.050458716	0	0.035714286	0.114942529	0.051094891	0	0	0.018181818	0.038216561	0	0.006666667	0.113333333	0.046357616	0.014814815	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea_incertae_sedis	0.020725389	0	0.021352313	0.025104603	0.01875	0	0.17032967	0.088541667	0.157303371	0.00990099	0	0.027972028	0.147601476	0.155844156	0.082706767	0.022624434	0.037037037	0	0.001941748	0.126315789	0.075117371	0.016528926	0.072727273	0.012578616	0	0.040816327	0	0.158823529	0.007874016	0.005555556	0	0.049295775	0.061403509	0.007352941	0	0	0	0.035353535	0.034188034	0.288888889	0	0	0.008032129	0.04964539	0.018604651	0.042194093	0.013824885	0	0.027932961	0.008695652	0.096296296	0	0.01010101	0.051470588	0.103703704	0.113513514	0.081081081	0.047169811	0	0.140740741	0.053571429	0.221153846	0.131004367	0.09929078	0.146464646	0.008264463	0.100840336	0.027522936	0.01863354	0.040229885	0.023809524	0.037914692	0.027027027	0.083916084	0.142857143	0.116022099	0.03960396	0	0.019323671	0.038647343	0.038461538	0.255707763	0.205357143	0.083333333	0.26146789	0.088888889	0.078571429	0.155172414	0.058394161	0.052631579	0	0.206060606	0.025477707	0.217948718	0.1	0.04	0.158940397	0.088888889	0.019047619
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	0	0	0.302491103	0.025104603	0	0	0.071428571	0.041666667	0.06741573	0	0	0	0.332103321	0.155844156	0	0.07239819	0	0	0	0.031578947	0.009389671	0	0.127272727	0	0	0.115646259	0.067669173	0	0.283464567	0.011111111	0	0	0.01754386	0	0	0	0	0	0	0	0	0	0.008032129	0	0	0.139240506	0.004608295	0	0.016759777	0	0.044444444	0	0.161616162	0.132352941	0.02962963	0.021621622	0.054054054	0	0	0.17037037	0.136904762	0.100961538	0.030567686	0.028368794	0	0	0	0.142201835	0.211180124	0.183908046	0.017857143	0.056872038	0.040540541	0	0	0.093922652	0	0	0	0	0	0.00913242	0	0.301282051	0.036697248	0	0.035714286	0	0	0	0	0.042424242	0	0.08974359	0.053333333	0.04	0.013245033	0.007407407	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	0	0	0.003558719	0	0.04375	0	0.043956044	0.010416667	0.005617978	0.089108911	0	0	0	0	0	0.036199095	0	0	0	0.036842105	0.037558685	0.041322314	0	0	0	0.034013605	0	0.035294118	0.023622047	0.005555556	0	0.021126761	0	0	0	0	0	0.025252525	0.004273504	0	0.007633588	0	0.016064257	0	0.018604651	0.004219409	0.01843318	0	0.005586592	0	0.014814815	0	0.04040404	0.058823529	0.051851852	0.102702703	0.021621622	0.018867925	0	0.007407407	0.083333333	0.086538462	0.013100437	0.007092199	0.090909091	0.008264463	0.092436975	0.036697248	0.00621118	0.005747126	0.017857143	0.042654028	0.027027027	0.006993007	0.043478261	0.005524862	0.004950495	0	0	0.004830918	0.051282051	0.03196347	0.071428571	0.006410256	0.077981651	0.007407407	0.042857143	0.114942529	0.02919708	0.046052632	0	0.012121212	0	0.025641026	0.026666667	0.013333333	0.039735099	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus2	0	0	0	0.008368201	0	0	0	0	0	0.00990099	0	0	0	0	0	0	0.007407407	0	0	0.005263158	0	0.016528926	0	0.031446541	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005050505	0	0	0	0	0.008032129	0	0.013953488	0	0	0	0	0	0	0	0.02020202	0	0	0	0	0.037735849	0	0	0	0.004807692	0.008733624	0	0.01010101	0	0.016806723	0	0.00621118	0	0	0.009478673	0.013513514	0	0	0	0.004950495	0	0	0.004830918	0.019230769	0	0	0	0	0	0	0.011494253	0.02919708	0.006578947	0	0	0	0	0.02	0	0	0.014814815	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium_XI	0	0.016806723	0	0	0	0	0.016483516	0.015625	0.005617978	0.01980198	0	0.006993007	0.003690037	0.025974026	0	0.013574661	0	0.007042254	0	0.005263158	0.0657277	0.041322314	0.012121212	0	0	0.088435374	0	0	0	0.088888889	0	0	0.01754386	0	0.032258065	0	0.018181818	0.015151515	0.047008547	0	0.022900763	0	0	0	0.013953488	0	0	0	0.027932961	0.008695652	0	0	0	0	0.007407407	0.021621622	0.005405405	0	0	0.007407407	0	0.004807692	0.004366812	0	0	0.008264463	0	0.100917431	0	0.034482759	0	0	0	0	0	0	0.014851485	0.015706806	0	0	0	0.00913242	0.004464286	0.025641026	0.004587156	0	0	0.005747126	0.01459854	0.006578947	0.007407407	0	0.025477707	0	0.026666667	0	0	0.044444444	0.114285714
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus	0.020725389	0	0	0.008368201	0	0	0	0	0	0.00990099	0	0	0	0.038961039	0.007518797	0	0	0	0.073786408	0	0.018779343	0.041322314	0	0	0	0	0.067669173	0.017647059	0	0	0	0.021126761	0.00877193	0	0	0.039370079	0	0.01010101	0	0.003703704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00729927	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	0.046632124	0	0.010676157	0.0041841	0.0125	0	0.10989011	0	0.011235955	0.01980198	0	0	0.011070111	0.051948052	0	0	0.022222222	0.021126761	0	0.015789474	0.046948357	0	0.024242424	0.06918239	0	0.006802721	0	0.023529412	0	0.061111111	0	0.007042254	0.035087719	0	0.012903226	0	0.027272727	0.04040404	0.047008547	0	0	0.011695906	0.004016064	0.028368794	0.004651163	0.025316456	0.036866359	0	0.011173184	0	0.074074074	0	0.080808081	0.022058824	0.044444444	0	0.075675676	0.037735849	0	0.081481481	0	0.004807692	0.034934498	0.028368794	0.015151515	0.05785124	0	0	0.074534161	0.022988506	0.017857143	0.028436019	0.006756757	0.020979021	0	0.027624309	0.118811881	0	0.009661836	0.033816425	0.012820513	0.03196347	0.008928571	0.057692308	0.02293578	0.014814815	0	0	0.00729927	0	0	0.048484848	0	0.019230769	0.02	0.026666667	0.079470199	0.081481481	0.019047619
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	0.10880829	0	0.28113879	0.184100418	0.14375	0.145695364	0.054945055	0.291666667	0.101123596	0.247524752	0.008368201	0	0.188191882	0.220779221	0	0.194570136	0.42962963	0	0.001941748	0.452631579	0.384976526	0.363636364	0.339393939	0.132075472	0	0.278911565	0	0.223529412	0.145669291	0.238888889	0	0.126760563	0.157894737	0.044117647	0.180645161	0	0	0.378787879	0.388888889	0	0	0	0.008032129	0.163120567	0.23255814	0.29535865	0.188940092	0.169082126	0.117318436	0	0.177777778	0	0.181818182	0.183823529	0.251851852	0.189189189	0.178378378	0	0	0.081481481	0.291666667	0.365384615	0.082969432	0.028368794	0.404040404	0.148760331	0.109243697	0.119266055	0.080745342	0.126436782	0.083333333	0.274881517	0.101351351	0.160839161	0.335403727	0.17679558	0.024752475	0	0.004830918	0.111111111	0.173076923	0.063926941	0.160714286	0.076923077	0.055045872	0.214814815	0.121428571	0	0.02919708	0.309210526	0	0.096969697	0.114649682	0.173076923	0.22	0.246666667	0.099337748	0.259259259	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor	0	0	0	0	0	0	0.005494505	0	0	0	0	0	0.007380074	0	0.007518797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005524862	0	0	0.007352941	0.006451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009433962	0	0	0	0	0	0	0	0	0	0	0.049689441	0	0	0	0	0.006993007	0	0	0	0	0.004830918	0	0	0.00456621	0	0	0	0	0	0	0	0	0.007407407	0	0	0	0	0	0.013245033	0	0.019047619
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger	0	0	0	0.0041841	0.025	0	0.010989011	0	0	0	0	0.006993007	0.007380074	0.006493506	0	0	0.014814815	0	0	0.005263158	0.009389671	0.024793388	0.018181818	0	0	0.013605442	0	0.005882353	0	0.016666667	0	0	0.01754386	0	0	0	0	0.02020202	0	0	0.007633588	0	0	0.021276596	0.03255814	0.004219409	0.036866359	0.004830918	0	0	0.014814815	0	0.03030303	0	0.007407407	0	0.005405405	0	0	0	0.011904762	0.004807692	0	0	0	0.016528926	0.008403361	0	0	0	0.011904762	0.004739336	0.006756757	0	0	0	0.00990099	0	0	0.004830918	0	0	0.017857143	0	0	0	0.007142857	0	0	0	0	0	0	0.006410256	0.013333333	0.013333333	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter	0.010362694	0	0	0	0	0.006622517	0	0	0	0	0	0	0.003690037	0.012987013	0.007518797	0.004524887	0	0	0	0.005263158	0.004694836	0	0	0.006289308	0	0	0	0	0	0.005555556	0	0	0	0.007352941	0	0	0	0	0	0	0	0.005847953	0	0	0	0.008438819	0	0	0	0	0	0	0	0	0	0	0	0.009433962	0	0.007407407	0	0	0	0	0.005050505	0.016528926	0.016806723	0	0.01242236	0	0.017857143	0.009478673	0	0.006993007	0	0.005524862	0.00990099	0	0	0.004830918	0	0.00913242	0.017857143	0.012820513	0	0	0	0	0	0	0	0	0	0	0	0	0.006622517	0.007407407	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_XVIII	0.031088083	0.100840336	0.007117438	0.0041841	0.00625	0.006622517	0	0	0	0	0	0.013986014	0	0	0	0	0.02962963	0	0	0.021052632	0	0.016528926	0.012121212	0.012578616	0	0.013605442	0	0.017647059	0.003937008	0.016666667	0	0	0	0	0	0.007874016	0.190909091	0.03030303	0.012820513	0	0.114503817	0	0	0	0.009302326	0	0	0.09178744	0.005586592	0	0.014814815	0.007633588	0.03030303	0	0	0.037837838	0.010810811	0.037735849	0.018018018	0	0.035714286	0.004807692	0	0	0.01010101	0.016528926	0.008403361	0	0.02484472	0	0	0.004739336	0	0.006993007	0	0	0.01980198	0.005235602	0	0.009661836	0	0.02283105	0.013392857	0.006410256	0.02293578	0.007407407	0.021428571	0	0.00729927	0.013157895	0.02962963	0.012121212	0.044585987	0	0.013333333	0.033333333	0.033112583	0.044444444	0.019047619
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis	0	0.042016807	0	0	0	0	0	0	0	0	0.006276151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036363636	0	0	0	0.007633588	0	0.004016064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009009009	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006756757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00952381
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	0	0	0	0	0	0	0	0.015625	0	0	0	0	0	0.012987013	0	0	0	0	0	0	0	0.016528926	0	0	0	0	0	0	0	0.022222222	0	0	0	0.007352941	0	0	0.009090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119266055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium	0.062176166	0	0	0.025104603	0	0.013245033	0	0.057291667	0	0.059405941	0	0.034965035	0.051660517	0	0.218045113	0	0	0.007042254	0	0	0	0	0	0.081761006	0	0.006802721	0	0	0	0.011111111	0	0.035211268	0.096491228	0.176470588	0	0.062992126	0	0.02020202	0.008547009	0	0.06870229	0.070175439	0.004016064	0.141843972	0	0.025316456	0.00921659	0	0	0	0.022222222	0	0.070707071	0	0.074074074	0.010810811	0.075675676	0.028301887	0.099099099	0	0	0.009615385	0.026200873	0	0.01010101	0.016528926	0.050420168	0.004587156	0.01242236	0.011494253	0.154761905	0	0	0.118881119	0.02484472	0.08839779	0.03960396	0	0.057971014	0	0	0.050228311	0.049107143	0.044871795	0.100917431	0.125925926	0.071428571	0.017241379	0.04379562	0.085526316	0.088888889	0.018181818	0	0	0.053333333	0.033333333	0	0.014814815	0.019047619
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Succiniclasticum	0	0	0	0	0	0	0.032967033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044871795	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister	0	0	0	0	0	0	0.005494505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111764706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004608295	0	0	0	0	0	0	0.080882353	0	0	0	0	0	0.118518519	0	0	0.004366812	0	0	0	0	0	0.01863354	0.005747126	0	0.033175355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033112583	0.007407407	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0.048951049	0	0	0	0	0	0	0	0	0	0	0	0.018867925	0	0	0	0	0	0	0	0	0	0	0	0.094488189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07860262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069124424	0	0	0	0	0	0	0.161764706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0	0	0	0.025104603	0	0	0	0	0	0.04950495	0	0	0	0	0.360902256	0	0	0	0.019417476	0	0	0	0	0	0	0	0.022556391	0	0	0	0	0	0	0	0.006451613	0.023622047	0	0	0	0	0.061068702	0	0	0	0	0	0	0	0.089385475	0.4	0	0.381679389	0	0	0	0	0	0	0.018018018	0	0	0	0	0.028368794	0	0.099173554	0	0	0	0	0.023809524	0	0	0	0	0	0	0	0.048309179	0	0.083333333	0	0	0	0	0	0	0	0.00729927	0	0	0	0.140127389	0	0	0	0	0	0.057142857
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	0	0	0	0	0	0.013245033	0	0	0.033707865	0	0	0	0	0	0	0	0	0	0	0.005263158	0	0	0	0	0	0	0	0	0	0.005555556	0	0	0	0.007352941	0	0	0	0	0	0	0	0	0.008032129	0	0.093023256	0	0	0	0	0	0	0	0.01010101	0	0	0.010810811	0	0	0	0	0.005952381	0	0	0	0.015151515	0	0.008403361	0	0	0	0	0	0	0.027972028	0	0	0	0	0	0	0	0	0	0	0	0.007407407	0	0	0	0	0	0	0	0	0	0.006666667	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0	0	0	0.008368201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014084507	0	0	0	0.015748031	0	0	0	0	0	0	0	0	0	0	0	0	0.005586592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00621118	0	0.011904762	0	0	0	0	0	0	0	0	0	0	0.00456621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0	0	0	0	0	0	0.038461538	0	0	0	0	0	0	0	0	0	0	0	0.001941748	0	0.037558685	0	0	0	0	0.013605442	0	0	0	0	0	0	0.043859649	0	0	0	0	0	0.004273504	0	0	0	0	0	0	0	0.004608295	0	0.011173184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037267081	0	0	0	0	0	0	0	0.059405941	0	0	0	0.006410256	0	0	0.012820513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__	0	0	0	0	0	0	0	0	0	0	0.039748954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01010101	0.004273504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012738854	0	0	0.053333333	0	0	0
