dataset_name	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016
study_condition	control	control	CRC	CRC	CRC	CRC	CRC	control	control	CRC	control	control	CRC	control	CRC	control	CRC	control	control	CRC	control	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	control	control	CRC	CRC	control	control	control	CRC	control	control	CRC	control	CRC	control	CRC	control	control	CRC	control	control	CRC	control	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	control	CRC	control	control	CRC	CRC	control	control	CRC	CRC	control	control	control	CRC	CRC	control	control	CRC	control	CRC	control	CRC	control	control	control	control	control	CRC	CRC	control	CRC	CRC
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter	0	0	0.00221	0	0.00058	3.39812	0	0	0.13338	0	0.88116	0.39729	0	0	4.64882	0	0	0.32069	0	0.18862	1.09322	0.01469	0	0	2.75236	0	0	0	0	0	0	0.05547	0	0	0	0	0.4861	0	0.1614	0.2375	0	0.67764	0.01197	1.21133	0	0	0.41986	0	0	0	0	0	0.21937	0	0	0.00858	0.03554	0.26687	0	0	0	0.00142	0	0	0.90192	0.00794	1.12226	0	0.02557	0.00592	1.52852	0	0	19.18022	0	0	0	0.03643	0	1.95705	0.21921	0	0	0.03036	0.02388	0	0	0	1.837	0.50711	0	0	0	0.30245	2.90989	0.40095	1.36841	0	0	0	0.41988	0	2.6477	0
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03257	0	0	0	0	0	0.03172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02542	0.08587	0	0	0	0	0	0	0
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Methanomassiliicoccus	0	0	0	0	0	1.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91552	0	0	0	0	0	0	0	0.09003	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces	0.0034	0	0.00136	0.01301	0.00605	0.05455	0	0.00105	0.00418	0.04808	0	0.00022	0.00623	0.00453	0.005	0	0	0.00377	0.00196	0	0	9.00E-04	0	0.00199	0	0.01157	0	9.00E-05	0.00181	0	0.00696	0.01659	0.00884	0.00209	0	0.03208	0.00588	0	0.00857	0	0.52535	0	0.03722	0.0019	0	0.00038	0.00609	0	0.0012	0.00125	0.08896	0.03201	0	0	0	0.13538	0	0.0132	0.01848	0.01683	0.01331	0	0	0	0	0.00515	0.11122	0	0.0048	0.00147	0	0.00115	0.00267	0.07141	0.00444	0.00127	0	0.00256	0.00527	0.00267	0.00088	0	0.00503	0.00872	0	0.00661	0.00551	0	0	0	0.0022	0.00125	0	0.00075	0.00261	0	0	0	0.01783	0.00468	0.03384	0.00381	0.00031	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Aeriscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.00151	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.02251	0.00065	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00182	0	0.0	0.00226	0.00271	0.0	0.0	0.0	0.00153	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.01083	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.00198	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00582	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.00172	0.0	0.0	0.0	0.0	0.00981	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	0.0	1.17084	0.12088	0.68199	0.00028	0.02941	2.88884	0.00505	0	0.34604	0.0487	0.10611	0.00126	0.04959	1.69341	0.19781	0.06126	0.03731	1.12531	0.23788	0.25756	0.03834	6.30056	1.48235	0.20144	0.0	0.79565	0.48924	0	0.66971	0.03038	0.70866	0	3.95292	0.2841	0.08036	0.042	0.44507	0.34357	1.23286	0.12856	0	0.06144	2.07896	8.10244	0.26782	0.01139	0.29964	0	0	0	0.21732	0.21595	0	0.00442	1.41048	0.01402	0.01228	0.0	0.0008	28.46117	1.35756	0.48563	0	0.01346	0.01161	1.9255	1.61557	0.00488	0.79043	0.11448	0.23491	0.00859	0.06627	1.5568	0.06651	0	0.01433	1.93769	0.15651	0.0	0.15676	0	0.00899	0.00264	0.07765	3.35786	0.0	9.55452	4.28669	0.00402	0.6967	5.83491	3.69473	0	2.26894	2.68256	1.24276	0.36786	1.06779	0.02986	10.52171	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00158	0	0.0	0.0	0.0	0.0	0.0	0.0156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Parascardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.00987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
