dataset_name	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia	0.19128	0.27684	0.29329	0.1029	0.05776	0.04391	0.0	0.09332	0.24609	0.0	0.22183	0.65721	0.0	0.0	0.0314	0.30931	0	0.02405	0.04023	0.0	0.73858	0.0	0.0	0.11357	0.01247	0.41214	1.14671	0.50707	0.0	0.50585	0.62245	0.0	0.0	0.0	0.0	0.18958	1.26446	0.0	0.0	0.01844	0.80176	0.04078	0.0	0.04795	0.19242	0.16086	0.52776	0.0	0.0	0.27346	0.19432	0.0	0.36203	1.68686	0.01838
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter	0.11164	0.92218	0.80583	0.15584	0.0369	0.09013	0.0	0.04931	0.2912	0.0	0.23723	0.80775	0.0	0.0	0.04056	0.36659	0	0.12469	0.08774	0.0	0.97233	0.01899	0.0	0.30166	0.04336	0.53267	0.95181	0.45785	0.0	0.13131	2.03751	0.0	0.0	0.0	0.0	0.23264	1.19842	0.0	0.0	0.07277	1.60641	0.00386	0.0	0.23412	0.62684	0.14788	0.22924	0.0	0.0	0.19574	0.24788	0.0	0.70279	1.77865	0.04104
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella	0.07602	0.22287	0.0	0.61978	0.0	0.0	1.91791	13.86649	0.136	3.95069	0.14393	0.0	0.0	0.0	0.13165	0.0	0	0.0	0.10403	2.04344	0.0	0.0	3.43128	0.34065	0.37609	0.25872	0.00731	0.43567	1.33455	1.38826	2.27617	0.73079	1.40255	2.61893	1.25482	1.14917	0.0	0.0	0.0	0.07019	1.55949	0.0	0.69886	0.0	0.0	0.01186	0.42788	0.41411	0.0	0.33976	0.56868	3.11588	0.14751	0.09395	0.1287
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus	0.0	0.0	0.0	0.0	0.0	0.01294	0.0	0.03062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.00682	0.0	0.0	0.0	0.0	0.00154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01136	0.01528	0.01416
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter	0.26538	0.12773	0.17213	0.12146	0.12757	0.0	0.49098	3.66814	0.93925	0.66012	0.08054	0.0	0.0	0.60189	0.01544	0.03866	0	0.1056	0.01769	0.27828	0.28783	0.0	0.46568	0.14033	0.17078	0.25326	0.0	0.02131	2.70082	0.43274	0.30402	0.94815	0.19129	0.38695	0.12394	0.43246	0.0	0.0	0.0	0.02194	1.5203	0.21862	0.06396	0.19525	0.0	0.02058	0.27196	0.08905	0.01682	0.54903	0.32226	1.0212	1.57188	0.26141	0.03365
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Slackia	0.0	0.0	0.0	4.35876	0.72402	0.0	0.0	0.00136	0.0	0.0	0.0	2.27566	0.66344	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.08812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74211	0.0	0.03154	0.0	0.0	0.0	0.0	0.0	0.0	4.75713	1.36597
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	0.74746	0.0	0.0	1.1538	2.02661	2.12619	0.0	18.01071	4.3897	10.51364	0.0	0.0	0.10086	0.0	5.06622	0.75707	0	6.68269	1.49116	3.17597	0.53846	0.15423	0.09768	0.0	0.33362	0.1404	0.7687	4.95767	0.0	0.0	0.00732	0.39543	12.26313	0.84934	3.3049	5.68277	0.73289	0.0	0.73692	32.40727	2.4446	3.78058	0.20564	6.98015	8.15288	7.13208	0.10291	0.24345	1.631	0.01844	9.8522	0.45345	0.19884	7.5846	0.49021
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella	0.0	0.0	0	0.0	0.0	0.29874	0	0.0	0.55299	0.0	0	0.0	0.0	0	0.0	0.0	0	0.85333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01231	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.21357	0	0.96758	0.10242	0.15936	0	0.0	0.0	0.0	0.26591	0.0	0.466	0.45661	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.07082	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter	0.0	0.0	0	0.02094	0.0	0.0	0	0.07009	0.0	0.0	0	0.0	0.08932	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.4319	0	0.0	0.0	0.0	0	0.0	1.15045	0.0	0.34485	0	0.0	0.03109	0.0	0	0.0	0.04495	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas	0.0	1.24509	0	0.0	0.0	0.0	0	0.0	0.72128	0.0	0	0.0	2.70585	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.07514	0.0
