dataset_name	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018
study_condition	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	2.91855	2.23136	0.03072	0.66571	0.42189	0.2655	0.0	0.04259	0.0	6.05667	6.96606	0.15338	0.0014	0.32936	0.26569	0.05986	0.25678	0.24697	0.25529	18.77074	0.56122	0.19148	0.0633	0.04756	0.71344	0.19829	0.00121	0.78252	0.25695	0.75628	0.01957	0.64442	0.07927	0.05517	0.63064	0.0	0.08659	0.0	0.03221	1.62326	0.02087	0.0	0.05843	0.05736	0.00981	0.0	0.02231	0.00163	0.0	0.33529	0.13255	0.05169	1.2562	0.00159	0.23716	0.0	0.08563	0.02029	0.20804	0.0	0.41589	0.14096	0.03656	0.606	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma	0.0	0.0	0.0	0.0	0.0	0.0	0.15043	0.0	0.0	0.0	0.0	0.0	0.04388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia	0.04286	0.0	0.0	0.00039	0.00428	0.0	0.0	0.0	0.0	0.0	0.33487	0.0	0.00181	0.0	0.0	0.00995	0.0	0.0	0.0	0.14178	0.0	0.0	0.0	0.0	0.01277	0.00056	0.00465	0.00249	0.0	0.0	0.0	0.0	0.03884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00583	0.0	0.0	0.0	0.00556	0.0	0.00234	0.0	0.0	0.0638	0.0	0.0	0.0	0.09935	0.0	0.00436	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter	0.01108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12333	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.0	0.04086	0.0	0.0	0.0	0.0	0.00162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0241	0.0	0.0	0.0	0.02547	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella	0.02276	0.06951	0.0023	0.00747	0.0	0.01064	0.18802	0.0	0.0	0.13184	0.53076	0.0	0.0	0.0	0.02926	0.0	0.0	0.00308	0.0	0.19303	0.00426	0.0	0.0	0.00086	0.0	0.0	0.00748	0.16902	0.0	0.0	0.0	0.0	0.00112	0.00321	0.00139	0.0	0.0	0.0	0.0	0.01433	0.0	0.0	0.0	0.0	0.0	0.00222	0.0	0.0	0.0	0.0	0.0	0.0	0.06199	0.0	0.0	0.0	0.0	0.0	0.0	0.04599	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter	0.0	0.00365	0.0	0.00385	0.0	0.0	0.03447	0.0	0.0	0.04896	0.14716	0.0	0.0	0.0	0.0	0.01529	0.0	0.007	0.0	0.3828	0.0	0.0	0.0	0.03068	0.0	0.0	0.0	0.03049	0.0	0.0	0.0	0.0	0.00359	0.0	0.0	0.0	0.0	0.0	0.0	0.00551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01534	0.0	0.00667	0.0	0.0	0.0	0.01988	0.00031	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Slackia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01501	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	2.89094	71.16209	91.56426	46.87569	48.59307	19.3445	32.04564	31.58416	44.17774	22.34389	38.31396	33.77931	71.79149	82.86406	60.92573	56.97505	3.0797	5.83824	57.91878	18.35774	89.44095	13.45995	79.63592	46.54702	8.37578	58.35012	82.64163	60.03249	73.55811	8.01873	0.64283	83.36629	65.6968	26.29516	79.56207	64.47016	80.789	91.02426	39.78741	44.9187	1.21708	41.72269	9.28093	0.60933	49.62074	54.46179	58.38081	0.23668	49.82227	13.10801	1.30422	55.12272	8.20377	0.94997	74.41264	2.84849	7.07603	5.81141	17.26673	49.18008	75.11427	2.70881	8.17366	34.65877	86.35569
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella	0.0	0.0	0.01413	0.0	0.46574	0.0	3.24391	0.0	0.00575	0.016	2.71462	0.27093	0.12555	0.0128	0.60008	0.0	0.0117	0.31294	0.0	0.0	0.0	1.17352	0.0	0.0	0.0	0.48143	0.4127	0.0	0.0	0.04304	0.00846	0.0	1.06056	0.00594	0.0	0.0	0.0	0.0	0.0	0.89519	0.00332	0.0	0.1706	0.0	1.31264	0.58553	0.0	0.0	1.08767	0.0	0.00342	1.32902	0.0	0.0	0.14567	0.0	0.0	0.91592	0.04225	0.77509	0.04557	0.01139	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter	0.00821	0.0	0.02747	0.17414	0.06508	0.0	0.34885	0.0	0.0	0.67739	0.0	0.02989	0.01284	0.00582	1.50293	0.0746	0.00082	0.03014	0.10322	0.04364	0.0	0.00213	0.0	0.02675	0.0	0.0	0.0	0.0	0.00825	0.0	0.0	0.0	0.48039	0.00052	0.0	0.41946	0.0	0.0	0.0	0.0	0.0	0.0102	0.0	0.0	0.01216	0.0	0.15667	0.0	0.0397	0.05268	0.01574	1.82771	0.0	0.0	0.00768	0.0	0.0	0.0	0.49222	0.0	0.00095	0.0	0.0	0.0	0.0
