dataset_name	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013
study_condition	control	control	control	control	control	control	control	control	control	control	T2D	control	control	control	control	control	T2D	control	control	control	T2D	T2D	T2D	T2D	T2D	control	control	control	T2D	control	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	control	control	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	control	control	T2D	T2D	control	T2D	T2D	T2D	T2D	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01694	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00889
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Parascardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00246	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00264	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00116	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00911	0	0.04188	0.02357
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia	0	0	0	0	0	0.00319	0	0	0.0	0	0	0.01969	0	0	0.0	0.0	0.0025	0	0	0	0.0	0	0.04467	0	0	0	0	0.01366	0	0	0	0.0	0	0	0	0.19834	0	0	0	0	0	0	0.01471	0.00698	0.0	0	0	0	0.0	0	0	0.0	0	0.0827	0	0	0.01564	0	0.00461	0	0.0644	0	0.01277	0.00088	0.0057	0.01061	0	0	0.00032	0.00527	0	0.05629	0	0	0.00735	0	0.0	0	0.0566	0	0	0	0	0	0	0.6442	0	0.0	0.0	0.01651	0	0	0.02322	0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0361	0.0	0.0	0.0	0.0	0.0	0.1031	0.03275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02406	0.03354	0.04943	0.0	0.0	0.0	0.02226	0.0	0.0	0.01029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04052	0.0	0.00256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27523	0.0	0.00211	0.01444	0.0	0.0	0.0	0.0	0.0	0.17796	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	0.0	0.0	0.03151	0.01891	0.0	0.0	0.0	0.0	0.03139	0.00174	0.0	0.00463	0.00136	0.00111	0.0	0.00232	0.0	0.0	0.0	0.0	0.13875	0.0	0.00548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00225	0.0023	0.00777	0.0	0.00341	0.0	0.0	0.00392	0.0	0.01878	0.03159	0.03833	0.1329	0.03184	0.04203	0.0	0.00313	0.00569	0.00173	0.00278	0.00346	0.01836	0.0	0.00279	0.00824	0.0089	0.00396	0.00591	0.01326	0.02034	0.0	0.0	0.00761	0.0	0.00094	0.07581	0.0	0.00678	0.004	0.01391	0.0	0.00976	0.29143	0.00117	0.00217	0.0	0.04353	0.0	0.0	0.03463	0.0	0.0	2.31148	0.04379	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	0.30539	2.36777	3.85462	1.93333	1.27184	2.102	0.94756	2.2494	4.72442	2.7959	1.50881	3.88682	3.75175	0.76031	0.00474	1.95508	0.0	0.30784	1.22748	3.70065	1.73112	2.90724	2.90332	2.18173	1.46508	2.89186	2.87469	0.0	1.94858	2.51789	1.81014	4.86542	2.23943	0.87055	0.89684	0.86757	0.57922	4.86499	3.44145	4.11742	0.0	1.59229	1.84352	6.72295	0.01489	3.94242	0.00129	0.01305	3.96193	2.79665	8.36281	0.69922	6.48232	3.8594	2.08482	1.8472	0.03101	6.94138	7.09815	2.4013	4.94294	9.31544	2.41823	1.03287	4.76408	6.33401	8.07976	0.39921	5.15189	14.17131	3.05034	4.78024	0.00674	7.40203	0.7568	3.71615	1.79961	2.6362	4.86038	4.31569	6.93338	0.82755	1.45015	5.95721	4.00151	0.00086	5.63715	0.0	1.65777	1.64653	3.52219	1.65768	0.66297	2.69683	2.98605	3.01349
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma	0.00764	0.01895	0.06416	0.03266	0.0	0.0118	0.00467	0.01147	0.0694	0.04035	0.01569	0.05647	0.10002	0.02387	0.00911	0.03225	0.0	0.00683	0.00354	0.02722	0.00909	0.009	0.0327	0.01457	0.01094	0.03815	0.02641	0.0	0.00336	0.027	0.0085	0.02785	0.01472	0.00935	0.01872	0.0111	0.00605	0.06599	0.02305	0.03345	0.0	0.02425	0.05486	0.10575	0.00635	0.12436	0.0	0.0	0.06032	0.03176	0.16078	0.01593	0.08048	0.15084	0.05064	0.0622	0.00292	0.06125	0.06154	0.02057	0.03887	0.11402	0.04324	0.0263	0.0477	0.09339	0.09134	0.00226	0.06088	0.1759	0.04768	0.03902	0.0046	0.08736	0.0079	0.05681	0.05383	0.02794	0.07018	0.08812	0.09026	0.01076	0.03617	0.23203	0.02735	0.0015	0.05753	0.20078	0.02186	0.00942	0.03403	0.0054	0.0	0.03613	0.19585	0.04532
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia	0.07466	0.03057	0.00884	0.02279	0.0	0.12766	0.18559	0.48327	0.19888	0.18457	0.21129	0.08187	0.03837	0.04271	0.67335	0.07363	0.06695	0.02062	0.04042	0.31667	0.19927	0.03818	0.00746	0.04239	0.55546	0.09516	0.19248	0.93274	0.06714	0.32211	0.02044	0.0971	0.0	0.03099	0.06475	0.0	0.0	0.07407	0.1156	0.38341	0.0	0.00713	0.11991	0.57524	0.39786	0.00097	0.00493	0.14108	0.05091	0.33219	0.09001	0.04039	0.04998	0.00208	0.052	0.0	0.17325	0.55397	0.01295	0.05292	0.01233	0.20732	0.00373	0.05457	0.23639	0.50845	0.18434	0.12616	0.06503	0.002	0.02214	0.0	0.00774	0.01887	0.00463	0.15894	0.11877	0.30186	0.50317	0.0632	0.07464	0.0977	0.04935	0.01488	0.05055	0.0	0.05203	0.08309	0.0887	0.0	0.03119	0.02922	0.16963	0.06043	0.06304	0.0178
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter	0.10631	0.02983	0.02225	0.08922	0.02951	0.12962	0.06587	0.34882	0.44738	0.22565	0.22568	0.1419	0.05972	0.12022	1.45334	0.21684	0.20605	0.06797	0.10019	0.68341	0.76064	0.05393	0.03336	0.12184	0.79829	0.27496	0.28324	2.09279	0.09174	0.66354	0.03824	0.31637	0.0	0.09641	0.10068	0.0	0.0	0.14358	0.12303	0.28519	0.0	0.01621	0.16715	0.58048	0.94294	0.00597	0.00233	0.41703	0.14442	0.91531	0.06226	0.08446	0.0589	0.0	0.06821	0.00165	0.5381	0.74916	0.03599	0.06421	0.02868	0.32885	0.01099	0.14747	0.77616	0.65616	0.35823	0.19486	0.17099	0.0011	0.02106	0.0	0.00761	0.03874	0.00346	0.29731	0.48202	0.60924	0.79146	0.12324	0.09592	0.13459	0.09825	0.06112	0.10238	0.0	0.10535	0.34628	0.27849	0.0	0.11862	0.07871	0.17348	0.06177	0.07244	0.03339
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Denitrobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.00238	0.0	0.0	0.0	0.0	0.0	0.00269	0.00689	0.011	0.0	0.0	0.0	0.0	0.0048	0.0	0.0036	0.0	0.00643	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.0	0.00378	0.0	0.00087	0.00289	0.0	0.0	0.0	0.00256	0.0065	0.0	0.0	0.00548	0.0	0.00099	0.00215	0.0	0.0	0.0	0.0	0.00526	0.0	0.0	0.00134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella	0.0	0.0	0.0	0.0	0.0	0.0082	0.05804	0.00872	0.0	0.1284	0.00314	0.0	0.0	0.0	0.42432	0.0	0.06396	0.0	0.0	0.01321	0.0	0.04036	0.01326	0.06394	0.29951	0.0	0.00921	0.39362	0.0	0.11796	0.0	0.06896	0.33135	0.0	0.0	0.03516	0.0	0.0	0.00198	0.13907	0.44522	0.01221	0.00114	0.04492	0.50739	0.0	0.67632	0.0	0.56463	0.09658	0.0	0.0	0.01588	0.0	0.0	0.0	0.01689	0.00415	0.0	0.00712	0.0	0.09796	0.00463	0.0	0.1861	0.1672	0.01092	0.0	0.0	0.17068	0.0	0.66347	0.94109	0.0	0.55291	0.0	0.0931	0.05623	0.05234	0.0	0.00189	0.0	0.0	0.0	0.00252	0.3216	0.03266	0.0	0.0	0.0	0.0	0.0056	0.01447	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus	0.00406	0.0077	0.0	0.00135	0.0	0.00744	0.01034	0.02803	0.02282	0.02339	0.01441	0.01493	0.00706	0.00894	0.08149	0.01039	0.00678	0.0	0.0021	0.03103	0.01238	0.00067	0.00094	0.00938	0.04628	0.00971	0.00912	0.06462	0.0	0.02322	0.0	0.0113	0.0	0.00164	0.00399	0.01879	0.0	0.01106	0.0105	0.01767	0.00235	0.0041	0.01436	0.05094	0.05421	0.00418	0.0133	0.01496	0.01745	0.03054	0.00839	0.00234	0.01906	0.0	0.0	0.0	0.02593	0.03399	0.00304	0.00621	0.00177	0.01977	0.00355	0.0051	0.05622	0.04023	0.02231	0.00962	0.01605	0.00518	0.0052	0.0	0.02185	0.0015	0.00952	0.01171	0.02257	0.03548	0.05511	0.01316	0.00789	0.0117	0.00933	0.00724	0.00422	0.00384	0.00439	0.0	0.00655	0.0	0.0	0.0	0.01934	0.00208	0.00674	0.0
