dataset_name	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b
study_condition	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	CRC	control	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	control	CRC	CRC	CRC	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	CRC	control	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter	0	3.62723	0.17269	0.10067	0	0.24287	7.03473	2.90302	0	1.35646	0	0	0	0.95707	0.17658	0.0121	0	1.45033	0	3.42073	0	0	2.18173	0.00755	0	0	0	0	0	0.71279	6.26791	0.31428	0	0.97207	0.67338	1.26395	0.81047	1.49031	0.29258	3.54576	2.65331	0	0	0	0.20632	0.07567	1.75904	0	0	0.01263	0	0	0	0	0	0.13739	0	0	0.05425	0
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73721	0	0.21938	0	0	0	0.02277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14065	0	0	0	0	0	0	0.08495	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00841	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces	0.45042	0.36247	0.13688	0.09778	0.07527	0.06273	0.02881	0.00505	0.99122	0.00613	0.01442	0.06779	0	0.0425	0.01749	0.04639	0.07113	0.07425	0.13736	0.06125	0.15289	0.022	0.01838	0.02491	0.01976	0.2497	0.2396	0.12604	0.06412	0.07476	0.04892	0.02917	0.03541	0	0.03617	0.0665	0.00664	0.07335	0.01133	0.15179	0.08268	0.0819	0.07625	0.09263	0.34174	0.1135	0.00722	0.09318	0.10845	0.07722	0.02591	0.02418	0.02487	0.06557	0.04427	0.04957	0.02852	0.02683	0.02671	0.02183
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Aeriscardovia	0.0	0.0	0.0	0.0	0.0	0.00338	0.00315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00626	0.00205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0093	0.0	0.0	0.0	0.00839	0.0	0.0	0.0	0.00508	0.0	0.0	0.0	0.0	0.00491	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Alloscardovia	0.12891	0.00127	0.0	0.0	0.03809	0.00372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05648	0.0	0.0	0.0	0.0	0.0	0.0	0.18173	0.01613	0.0	0.00186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	0.11381	5.39144	12.55324	4.43617	4.79645	13.03224	6.6383	4.19047	10.84017	0.16869	13.90721	17.25803	6.015	17.59326	1.94851	0.63192	9.64816	2.43749	4.43642	22.81127	0.27619	4.83362	2.22243	1.59264	0.64874	13.82013	4.2958	3.00378	5.97808	3.95213	1.49866	13.97414	2.17526	37.51478	0.96631	20.96535	1.89288	5.19429	0.13626	1.9163	14.94743	0.20492	0.0	7.63315	8.20335	9.59703	8.95047	16.90713	1.3764	0.10405	8.0631	21.30099	1.39164	4.23811	13.46787	9.37454	37.62283	5.05345	0.46513	1.63698
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Parascardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00345	0.0	0.0	0.0	0.0	0.0	0.00957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
