dataset_name	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016
study_condition	T1D	T1D	T1D	control	control	control	control	control	control	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	control	control	control	T1D	T1D	control	control	control	control	control	T1D	T1D	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.00337	0.00096	0.0	0.0	0.03507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03606	0.0025	0.0	0.0	0.0	0.0	0.00281	0.01334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00278
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00135	0.0	0.0	0.0	0.00184	0.0	0.00104	0.0032	0.0	0.00316	0.0	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	2.54782	0.51267	2.43739	1.49047	0.72388	0.63655	2.18992	1.81026	1.06145	0.65615	0.73902	0.32171	1.14723	0.791	0.78993	0.40346	0.37419	0.0	0.00086	0.00327	0.0	0.0	0.0	0.70934	0.3618	0.52976	0.0	0.0	0.00219	0.00194	6.21102	3.37407	4.96079	1.09946	1.11649	2.82747	0.00058	0.0	3.96721	3.46773	3.87271	11.62622	0.97762	4.61338	1.34429	1.22718	1.11351	2.56701	4.94391	0.98137	1.06527	0.42778	2.15036
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma	0.01359	0.00077	0.01718	0.00359	0.00328	0.00237	0.02771	0.02005	0.02327	0.00114	0.0057	0.00143	0.0062	0.01153	0.0023	0.00087	0.0007	0.72573	0.19784	0.25127	0.0	0.0	0.0	0.00586	0.00206	0.00292	0.0	0.0	0.17896	0.36706	0.02981	0.01261	0.01514	0.00304	0.00963	0.00966	0.20024	0.14859	0.01245	0.01034	0.00924	0.04251	0.0045	0.01933	0.00325	0.00594	0.00162	0.01024	0.01222	0.00292	0.00461	0.0004	0.01053
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia	0.0	0.0	0.0	0.07826	0.08371	0.05202	0.13712	0.04608	0.09741	0.0	0.0	0.0	0.0	0.00091	0.05715	0.0225	0.01827	0.0	0.0	0.0	0.02388	0.01501	0.01538	0.02309	0.01726	0.02194	0.0	0.0	0.06841	0.1247	0.02121	0.01047	0.01042	0.01298	0.06284	0.03282	0.0	0.0	0.0	0.00433	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.00568	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter	0.0	0.0	0.0	0.05261	0.05545	0.03904	0.32247	0.09793	0.17086	0.0	0.00767	0.0	0.0	0.00639	0.19157	0.06241	0.07531	0.0	0.0	0.0	0.1062	0.0491	0.05819	0.07888	0.04911	0.08815	0.0	0.0	0.08262	0.17663	0.08595	0.04401	0.03869	0.0505	0.14554	0.10993	0.0	0.0	0.0	0.00659	0.0	0.0	0.00239	0.0	0.00125	0.00489	0.0	0.00521	0.03017	0.00121	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella	0.0	0.0	0.0	0.01574	0.01374	0.0022	0.00058	0.0	0.00349	0.0	0.0	0.0	0.0	0.0	0.09423	0.04384	0.11928	0.42392	0.57443	0.34519	0.11547	0.08277	0.05334	0.44888	0.06829	0.15479	0.44046	0.24284	0.13081	0.00905	0.21296	0.12172	0.19222	0.05844	0.01233	0.10078	0.22552	0.20898	0.0	0.0	0.0	0.01371	0.0	0.00188	0.0	0.04682	0.0	0.01504	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus	0.0	0.0	0.0	0.00261	0.00294	0.00109	0.00579	0.00212	0.00346	0.0	0.0	0.0	0.0	0.0	0.00679	0.00128	0.00203	0.0006	0.00043	0.00062	0.00226	0.00019	0.00019	0.0065	0.00091	0.00163	0.00217	0.00034	0.00322	0.0091	0.00254	0.0	0.00122	0.00125	0.0033	0.00311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter	0.00784	0.0	0.00268	0.04271	0.09886	0.03788	0.04192	0.01304	0.04703	0.0	0.00064	0.0	0.00246	0.00156	0.09192	0.03119	0.04604	0.06466	0.08584	0.05397	0.02016	0.0104	0.00773	0.26369	0.10636	0.18175	0.11814	0.11405	0.04036	0.0355	0.03847	0.0283	0.05087	0.0621	0.05213	0.13644	0.02896	0.03024	0.0	0.0	0.0	0.00165	0.0	0.0	0.0	0.00423	0.0	0.00624	0.0	0.0	0.0	0.0	0.0
