dataset_name	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015	FengQ_2015
study_condition	CRC	control	control	control	control	control	CRC	control	CRC	control	CRC	control	CRC	control	CRC	CRC	control	control	control	control	control	CRC	control	control	control	CRC	control	control	CRC	CRC	control	control	control	CRC	control	control	CRC	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	CRC	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	control	CRC	CRC	CRC	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.0	0.0	0.0	0.0	0.01501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00812	0.0	0.0	0.0	0.0	0.0	0.0	0.03764	0.00661	0.0	0.0	0.0	0.0	0.00225	0.09759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01834	0.00731	0.0	0.0	0.0	0.0	0.0	0.0	0.00059	0.0	0.0	0.0005	0.01364	0.0023	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.00452	0.0	0.00557	0.0	0	0.02557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00638	0.0	0.0	0.0	0.01892	0.0	0.04824	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0.00079	0.0074	0.0014	0	0	0	0	0	0	0	0	0.03193	0	0	0	0	0.00884	0	0	0.01195	0	0	0	0	0	0	0	0	0.00075	0	0.00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0	0.01552	0	0	0	0.00039	0	0	0	0	0	0.00671	0	0	0	0	0	0	0	0	0.00919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00669
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae.g__Rhodococcus	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.00089	0.0	0	0.0	0.0	0.0	0.0	0.0	0.01357	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.00419	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Brevibacteriaceae.g__Brevibacterium	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.01275	0.0	0.0	0	0.0	0.0	0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia	0.12619	0.00863	0	0.0125	0	0.00157	0.01305	0.00883	0.0	0.00151	0	0.0	0.0	0.00929	0	0	0.03818	0.0794	0	0.01882	0	0.00439	0.11316	0.00036	0.01119	0.02813	0.0	0.02628	0	0.00718	0.00074	0.0	0.00404	0.00025	0.03834	0.05443	0	0.03188	0.01695	0.0	0	0.03878	0.0	0.0	0	0	0.00144	0.0527	0.0	0.02223	0	0.0	0	0.01479	0	0	0.0	0.01749	0.0	0.00235	0	0.00375	0	0	0.03561	0	0.00095	0.0678	0.31542	0.00431	0.00794	0.00177	0	0	0.05536	0.00324	0	0	0.0	0.00602	0	0	0.01048	0.02989	0	0.00465	0.00438	0.00435	0.0267	0	0.03359	0	0	0	0.01064	0.00507	0	0.0046	0.01146	0.00514	0.0	0	0.0	0.00074	0	0.00133	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.03092	0.0	0.0	0.15425	0.0	0.0	0.0	0.04237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57124	0.0215	0.00199	0.01525	0.0	0.0	0.0	0.00019	0.0	0.0	0.0125	3.57124	0.006	0.0	0.0	0.0	0.0	0.01667	0.0	0.0	0.00709	0.0	0.0	0.0	0.0	0.02141	0.22093	0.00204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00755	0.00323	0.03484	0.0	0.0	0.0	0.0	0.0	0.0	0.08497	0.0	0.0	0.23899	0.34505	0.0	0.0	0.96143	0.02791	0.0	0.0	0.0	0.0	0.0	0.0	0.11368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.00042	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Pseudopropionibacterium	0.0	0.0	0.0	0.0	0.0	0.00186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00157	0.0	0.0	0.0	0.0	0.0	0.0	0.00191	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.00112	0.0	0.0	0.00325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Atopobium	0.0	0.0	0.0	0.00042	0.0	0.0	0.00055	0.07127	0.0	0.0	0.0	0.0	0.01468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00263	0.0	0.0	0.0	0.00407	0.0	0.0	0.0	0.0	0.0	0.0	0.00845	0.0	0.00049	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.0	0.00133	0.00061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75974	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.02018	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.01705	0.0	0.0	0.0	0.0	0.0	0.0	0.01045	0.0	0.0	0.0	0.0	0.0	0.02031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00481	0.0	0.0	0.0	0.0	0.0	0.00591	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	0.00096	0.00061	0.0	0.02488	0.00114	0.00065	0.01523	0.00142	0.02395	0.0	0.00436	0.00019	0.02208	0.00132	0.00573	0.00147	0.00301	0.00663	0.00235	0.00032	0.00079	0.0	0.0086	0.0	0.0	0.0	0.00218	0.03811	0.00516	0.00172	0.0	0.0	0.0	0.07189	0.00038	0.0	0.00227	0.0002	0.0	0.00042	0.0	0.04143	0.00208	0.0	0.0	0.0	0.0	0.00015	0.00109	0.00077	0.01198	0.0	0.00062	0.00209	0.0	0.00077	0.00633	0.19744	0.0296	0.0	0.00231	0.00125	0.00092	0.00112	0.04379	0.00096	0.001	0.00412	0.02497	0.0	0.0	0.0	0.0	0.0	0.04864	0.0099	0.00141	0.0	0.00118	0.0019	0.0	0.0	0.01395	0.02168	0.0023	0.03829	0.0	0.00627	0.0	0.00038	0.0	0.0	0.0	0.0	0.0281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02193	0.0	0.19067
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	4.62426	3.74934	2.71124	8.10672	20.01368	29.76026	9.98606	4.60136	3.48352	3.4707	3.27964	5.52932	8.43875	7.99079	4.24074	6.43373	1.90773	7.18898	7.40736	0.00298	6.95458	2.23925	3.84393	0.00619	0.00352	0.65353	23.24754	1.26729	8.22516	13.828	0.01384	1.888	0.77934	9.51455	19.61769	0.01417	6.96045	7.9752	0.00544	7.50944	1.87314	9.78117	5.65834	0.00077	0.02323	0.09555	1.04273	7.74289	6.50795	8.07632	7.78987	0.90009	2.5153	1.55714	1.18073	1.88694	7.56521	0.37252	6.65363	0.06705	7.41219	5.62593	11.3801	3.0364	0.18053	5.71905	9.39628	0.0	7.79795	1.64674	0.00526	8.73142	0.00241	0.00097	7.01381	2.97142	26.48193	0.17645	12.8196	12.70841	0.0	1.17264	18.40799	2.99163	5.94802	7.28213	2.26908	0.63487	0.05245	4.6787	1.40263	0.02704	5.96542	0.47847	0.11769	0.00659	0.16166	0.68685	0.01136	0.94826	0.00324	7.62219	0.36921	0.86455	1.8024	0.0	3.2798
