dataset_name	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015	YuJ_2015
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	CRC	CRC	CRC
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.00318	0.0	0.0	0.0	0.0	0.0	0.0	0.00076	0.0	0.03734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00821	0.0	0.0	0.0	0.0	0.0	0.00141	0.0	0.0	0.0	0.0	0.00062	0.0	0.00517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00143	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00746	0.10527	0.01605	0.0	0.0	0.02185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01728	0	0	0	0	0	0	0	0	0	0	0.00366	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0.00181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00156	0	0	0	0	0.00091	0	0	0	0	0	0.08321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01267	0.00272	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia	0	0	0	0.0	0	0	0	0.02582	0	0.02789	0	0.16236	0	0.02609	0	0.0	0	0	0	0.0001	0.00344	0	0	0	0.00053	0.00507	0.00555	0	0.07235	0	0	0	0.02093	0	0.11296	0	0	0	0.05048	0.0	0.04397	0	0	0	0.01186	0.00262	0	0.08089	0.00455	0.00216	0	0	0	0.01079	0.00269	0.01046	0	0	0.00199	0	0.00569	0	0.02561	0.0062	0.00052	0.00307	0.00097	0.00849	0.00168	0.00036	0	0	0	0.00156	0	0	0.00573	0.02083	0.00271	0.01933	0.0464	0	0.00169	0	0	0.00175	0	0	0.00288	0	0.00041	0	0.04022	0.00621	0	0.00235	0	0.03611	0.00154	0.00041	0	0	0.00067	0.0	0.00429	0.00074	0	0	0	0	0.02437	0	0	0	0	0	0	0	0.12188	0.0075	0.03639	0	0.00759	0.01436	0.00165	0.00427	0.00159	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Propionibacterium	0.0	0.0	0.0	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03611	0.0	0.0	0.01569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Pseudopropionibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.09087	0.0	0.0	0.0	0.0	0.0	0.0	0.0146	0.0	0.01341	0.0	0.0	0.0	0.0	0.0	0.0	0.00375	0.0	0.0	0.00147	0.0	0.0	0.27014	0.0	0.00584	0.0	0.0	0.0	0.00262	0.0	0.0	0.0	0.0	0.00329	0.0	0.0	0.00038	0.0	0.0	0.0	0.0	0.0	0.00367	0.00184	0.0	0.0	0.0	0.00087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.0	0.00318	0.01205	0.05363	0.0	0.0	0.0	0.00147	0.0	0.00674	0.0	0.0	0.0	0.00105	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	0.1591	0.0	0.04885	0.0	0.0	0.0	0.01311	0.0	0.0	0.0	0.0	0.00621	0.0	0.00249	0.0	0.00225	0.0	0.0	0.0003	0.0	0.0	0.0	0.0	0.00059	0.0	0.0	0.07551	0.07772	0.00077	0.01048	0.01324	0.00156	0.0	0.0	0.0	0.00182	0.0012	0.0	0.24852	0.0	0.16358	0.0	0.0	0.00104	0.02282	0.16556	0.0	0.01865	0.0	0.0	0.01179	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.00109	0.00247	0.0	0.00293	0.03985	0.0	0.0	0.0	0.04032	1.63198	0.06044	0.00331	0.43172	0.0	0.24613	0.0	0.0	0.00018	0.06848	0.0	0.00117	0.0	0.0	0.16052	0.0	0.0	0.0	0.0	0.0	0.00206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01226	1.81194	0.48329	0.0	0.00117	0.0	0.0	0.0	0.00947	0.00059	0.0	0.0	2.53825	0.0379	0.0	0.0	0.00166	0.0	0.0	0.00628	0.0	0.0	0.0	0.00078	0.0	0.01585	0.0	0.01419	0.0	0.0	0.00083
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	2.45486	0.05916	13.33771	2.4343	0.91791	0.00925	5.18704	0.0	0.19102	0.75355	0.70407	0.44268	0.44963	2.08736	0.2826	3.70025	0.00396	0.39887	3.86206	0.00173	2.72102	1.26067	0.72775	0.82235	0.6184	0.00145	2.29887	1.31009	6.02565	0.07091	9.22032	10.80792	0.00052	0.04954	5.9098	3.84738	3.81649	0.38265	8.31938	0.0	1.2867	1.78094	1.02871	3.06684	2.77705	3.78424	0.07865	1.79886	6.93791	0.45851	1.79201	0.21358	0.0	1.54943	4.52496	0.92632	0.90664	1.09352	0.0	0.26203	0.6567	1.85685	0.0	1.0222	0.19387	0.0	0.10903	0.8302	0.00878	3.94957	0.00086	2.44474	2.02983	0.0	0.51118	0.0	1.82287	0.28879	2.20171	1.30009	0.20704	0.00145	0.65944	2.12227	0.26198	0.15941	0.29605	0.60873	1.24942	0.28906	0.56779	0.05056	1.25349	0.0	0.00587	1.30854	0.87668	1.38908	7.73877	0.99582	0.01307	1.81927	5.33287	0.02059	0.62645	0.22218	3.31358	0.0	0.00233	5.16797	0.63552	3.10073	1.32061	3.61492	0.74379	1.40448	0.33114	0.0	0.15336	0.81886	0.74144	0.89967	10.27663	1.52299	13.17698	0.9923	2.80924	11.10326
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma	0.0145	0.02325	0.08275	0.01911	0.00648	0.00038	0.74265	0.0	0.00165	0.00097	0.00217	0.00718	0.00253	0.01809	0.02228	0.01792	0.00124	0.00066	0.01089	0.0	0.00839	0.00437	0.01876	0.00465	0.25943	0.00173	0.01638	0.01523	0.03314	0.0	0.03718	0.03521	0.00305	0.0	0.00841	0.00831	0.03856	0.00129	0.04526	0.0	0.00572	0.00594	0.00282	0.01489	0.02035	0.02254	0.0	0.0186	0.01733	0.00053	0.01023	0.00061	0.0	0.00446	0.01453	0.00296	0.00338	0.00178	0.0	0.01875	0.00297	0.00478	0.00635	0.01324	0.00034	0.00119	0.0	0.00501	0.07876	0.01801	0.08293	0.00998	0.00552	0.0	0.00209	0.0	0.01367	0.00414	0.0066	0.02955	0.00034	0.0	0.00455	0.00795	0.01416	0.0	0.00248	0.00169	0.01055	0.00108	0.0	0.0	0.00516	0.01233	0.0	0.00769	0.00882	0.05346	0.02896	0.00512	0.04188	0.00995	0.01946	1.62806	0.00061	0.0	0.01815	0.0	0.00065	0.0255	0.00152	0.00579	0.00288	0.02445	0.00103	0.00587	0.04409	0.0	0.00038	0.00807	0.0031	0.00233	0.03028	0.00446	0.10604	0.01152	0.01123	0.03049
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia	0.19791	0.0	0.00077	0.16225	0.01224	0.17284	0.1675	0.0	0.0	0.0004	0.0	0.05845	0.05531	0.0	0.0	0.00431	0.1932	0.00179	0.00265	0.0	0.0	0.0	0.0739	0.02846	0.07167	0.00152	0.18828	0.38785	0.00161	0.0	0.00592	0.00112	0.0	0.0	0.0	0.00931	0.09604	0.10234	0.0692	0.0	0.0	0.0	0.08891	0.15229	0.00224	0.02521	0.00896	0.09794	0.0	0.0	0.43797	0.0	0.0	0.28547	0.5482	0.01483	0.0	0.0	0.0	0.0	0.08571	0.02534	0.081	0.00231	0.0	0.0008	0.0	0.13955	0.03811	0.23471	0.11589	0.02927	0.39314	0.04131	0.02753	0.0	0.00052	0.03571	0.0	0.0	0.00101	0.10079	0.04108	0.02356	0.00164	0.00151	0.0	0.00342	0.0	0.0	0.15441	0.00703	0.0	0.0708	0.0	0.03715	0.49119	0.00026	0.0	0.12667	0.0	0.0	0.0	0.0	0.0	0.06712	0.01951	0.0	0.00309	0.25546	0.0193	0.0	0.03225	0.05206	0.0	0.01997	0.01857	0.0	0.0	0.0	0.0362	0.02179	0.09414	0.19013	0.12459	0.01181	0.17887	0.0
