dataset_name	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016
study_condition	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	control	control	AD	AD	AD	AD	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycobacterium	0.0	0.0	0.0	0.0	0.10468	0.09251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0614	0.12573	0.07567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycobacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15677	0.10422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03869	0.03484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycolicibacterium	0.38752	0.76574	0.0	0.0	0.91465	1.8999	0.25958	0.71774	0.0	0.0	0.03244	0.26472	5.44313	0.10438	0.0	0.0	1.58203	1.94427	0.0	0.0	0.10047	0.09461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.97838	9.9199	0.72643	0.17462	0.0	0.0	0.05489	0.0	0.07939	0.0	0.43378	0.26224	0.15631	0.20681	0.0	0.03174	0.0	0.0	0.0	0.0	0.17723	0.04885	0.0	0.0336	0.0	0.0	0.16598	0.30621	1.35701	0.6059	0.0	0.0	0.35071	0.57616	0.08665	0.13175	0.29406	0.07188	0.01233	0.0	0.0	0.06477	0.01584	0.01519	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae.g__Rhodococcus	0.0	0.0	0.0	0.0	0.2382	0.27592	0.0	0.0	0.0	0.0	0.0	0.00245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05046	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Tsukamurellaceae.g__Tsukamurella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11097	0.09714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.0	0.0	0.0	0.0	0.02915	0.0	0.0	0.0	0.0	0.0	0.08445	0.43187
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Williamsiaceae.g__Williamsia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Brevibacteriaceae.g__Brevibacterium	0.00328	0.0	0.0	0.0	0.26217	0.17049	0.36062	0.0	0.0	0.01308	0.06611	0.02836	0.0	0.0	0.07035	0.40638	0.0	0.0	0.0	0.0	0.01026	0.0	0.0	0.0	0.0	0.0	0.0	0.13509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22721	0.28857	0.0	0.0	0.0	0.02509	0.1468	0.74413	0.00431	0.0	0.04443	0.01173	0.00317	0.0	0.01772	0.0	0.0	0.0	19.7033	22.53671	0.0	0.0	0.13595	0.08241	0.09948	0.0	0.00108	0.01794	0.26363	0.00591	0.6336	2.90734	0.04196	0.27718	0.25879	0.40636	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermabacteraceae.g__Brachybacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01878	0.0	0.0	0.0	0.06843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermabacteraceae.g__Dermabacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04001	0.0	0.0	0.0	0.03632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00204	0.03987	0.01795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02824	0.00447	0.0	0.07114	0.10581	0.12846	0.0	0.0	0.0	0.0	0.03748	0.19575	0.0	0.0	0.0	0.0	0.83899	3.54194	0.0	0.01673	0.04786	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermacoccaceae.g__Calidifontibacter	0.0	1.10296	0.0	0.12837	0.75623	0.23636	0.30247	0.31026	0.0	0.03635	0.43727	1.28014	0.0	0.0	0.0	0.0	2.33371	5.63706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.51616	2.12619	0.3153	0.9555	0.0	0.0	0.0	0.0	0.0	0.05204	0.0	0.0	0.20193	0.24143	1.87441	1.00942	0.0	0.0	0.0	0.0	0.498	0.29619	0.0	0.0	0.0	0.0	0.0	0.19573	0.16756	0.50539	0.0	0.0	0.0	0.01982	0.0	0.0	0.0	0.0	0.0	0.0	0.75823	0.87958	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermacoccaceae.g__Dermacoccus	0.01927	0.0	0.32846	0.48493	3.42457	1.59553	0.21888	0.11981	0.0	0.0	0.0	0.10139	3.11323	4.32765	0.0	0.17377	0.43799	0.35494	0.0	0.0	0.04484	0.00681	0.0	0.0	3.43204	1.81303	0.0	0.07879	3.74826	5.26235	0.0	0.0	0.0	0.0	0.27995	0.2217	0.0	0.0	0.46564	0.85431	0.10405	0.0	0.0	0.0	0.0	0.0	1.0182	0.69467	0.51088	0.56475	0.0	0.04744	1.86991	1.41362	0.258	0.16413	1.8456	0.63246	0.0	0.0	1.72238	1.91582	1.49933	1.63974	0.14328	0.07361	1.08116	1.27663	0.50662	0.1413	3.67839	2.4222	0.0	0.17655	9.14229	6.53951	0.01395	0.1876
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermacoccaceae.g__Kytococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24542	0.0	0.0	0.0	0.0	0.09855	0.19067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88176	0.4284	0.0	0.07199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24745	0.1418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02546	0.0	0.0	0.08708	0.11396
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Janibacter	0.0	0.04208	0.01148	0.01326	0.0	0.0	0.2683	0.37015	0.0	0.00948	0.08584	0.26994	0.20031	0.08183	1.34257	1.62199	0.92818	0.60848	0.0	0.07036	0.0	0.0	0.06815	0.0	1.10225	0.58653	0.22911	0.27942	0.29594	0.0	0.0	0.0	0.89498	0.4448	0.27465	0.27295	0.6719	1.01013	0.0	0.0	0.0	0.0	0.0	0.0	0.09997	0.13666	0.07524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00468	0.0	0.0	0.0	0.0	0.05484	0.0	0.0	0.0	0.0	0.0	0.0	0.0347	0.08422	0.0	0.0	0.0	0.0	0.0	0.0	1.98432	1.88875	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Tetrasphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1213	0.16959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Microbacterium	0.0	0.02656	0.0	0.0	0.86693	0.65093	0.0191	0.0	0.0	0.0	0.0	0.00305	0.0	0.0	0.0	0.0	0.54665	0.14575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18164	0.0	0.0	0.0	0.0	0.05677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01902	0.12098	0.09171	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Kocuria	0.02932	0.0009	5.8646	1.73446	0.5138	0.24106	0.14583	0.09916	0.17032	0.06458	0.09162	0.06021	1.20962	1.03827	0.02606	0.06576	0.0	0.0	0.06701	0.16509	0.02046	0.0	0.04243	0.0	0.08656	0.0	1.19242	1.2799	0.0	0.0	0.04452	0.11849	0.0	0.0	0.0	0.0	0.0	0.01126	2.08999	0.0	0.62081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09825	0.0	0.06067	0.01966	0.1356	0.0643	0.22603	0.44162	0.0986	0.11048	35.08224	38.00693	0.0	0.02961	0.15737	0.276	2.30806	0.2992	2.28501	2.19171	0.93561	0.83659	0.0	0.0	0.01662	0.05926	0.07895	0.04327	0.07348	0.08774
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Micrococcus	1.08166	0.36333	5.35361	2.16715	4.53264	6.52272	17.07601	15.78605	0.58847	0.17599	0.24564	0.15106	2.61587	3.6054	11.62251	18.21136	0.20383	0.14618	0.26527	0.35692	1.90286	1.30427	0.16297	0.17952	19.966	12.97025	25.76101	28.22882	2.37262	2.10965	0.75646	1.49703	8.65482	6.6316	1.07529	0.64651	21.7198	18.65446	1.04303	1.72769	0.0	0.0	0.0	0.0	2.21552	2.36869	8.8925	8.40276	0.80782	1.15398	1.28526	0.63191	1.68128	0.37301	0.30341	0.68553	2.23251	3.02596	0.54033	0.72802	0.03545	0.9694	0.11825	0.12653	3.98251	1.88516	22.80075	29.73586	2.37649	2.02614	0.17416	0.0	0.34806	2.08251	22.24418	17.13376	2.74031	3.4328
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Pseudoglutamicibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia	0.24504	0.92344	0.09385	0.0	0.0	0.0	0.10705	0.52754	0.13456	0.0356	0.35196	0.496	0.01404	0.10108	0.0	0.02708	0.1141	0.0	0.14207	0.05359	0.13695	0.19961	0.64837	0.01983	0.73367	0.09453	0.60898	0.14387	0.03894	0.03546	1.44241	1.38242	0.0	0.0	0.21111	0.0084	0.27799	0.71291	0.99651	1.15432	4.9082	0.01935	3.1074	0.5645	0.50918	0.46414	0.0	0.38314	1.64131	1.1169	0.53631	0.2331	0.0	0.0	0.72059	0.31183	2.92382	0.99314	1.05352	0.08612	0.0	0.258	0.0	2.99396	15.02392	10.17912	0.0	0.0	0.52085	4.10238	0.06391	0.01904	0.02849	0.23944	0.20603	0.03697	0.04183	0.68722
