dataset_name	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017
study_condition	IBD	IBD	IBD	IBD	control	control	control	IBD	control	control	control	control	control	IBD	control	control	control	control	IBD	IBD	IBD	IBD	IBD	IBD	control	control	control	control	control	control	control	IBD	control	control	control	control	control	control	control	control	IBD	control	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	control	control	control	IBD	IBD	IBD	IBD	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriales_unclassified.g__Lawsonella	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	5.31777	0	0.0	0	0	0.08881	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.14126	0.77632	0.49553	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0.01073	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.00466	0.0	0.0	0.0355	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00888	0.0	0.0	0.0	0.0	0.0	0.02329	0.0	0.02077	0.0062	0.0	0.15578	0.06669	0.0	0.00572	0.00969	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.00078	0.03715	0.0	0.0	0.0	0.0	0.0221	0.0	0.06459	0.0	0.0	0.0	0.01404	0.0	0.0	0.0	0.0	0.10017	0.0	0.0	0.0	0.0	0.00935	0.00133	0.01396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05476	0.0	0.08973	0.0	0.0	0.0	0.02142	0.01086	0.02632	0.01197	0.00617	0.0	0.0	0.0	0.0017	0.0	0.0	0.17558	0.0	0.0124	0.0	0.01691	0.01772	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Atopobium	0.0	0.0	0.0	0.0	0.98751	0.0	0.0	0.00795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01012	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	11.97269	0.0	0.0	0.0	19.66893	9.55108	7.59478	15.63825	3.92458	3.57492	6.47971	18.0955	3.16397	23.37483	10.75724	11.90325	2.11265	2.5693	0.0	0.0	6.19823	0.0	0.0	0.0	3.0008	3.05699	0.0	3.53591	0.0	3.33083	5.03558	6.13826	7.08056	14.06748	3.30683	0.0	6.01686	11.5065	7.52089	20.39322	9.99421	24.96754	2.68406	18.68901	0.0	0.0	0.0	4.11347	0.0	0.0	15.5672	24.30505	35.57139	18.48942	29.65963	2.77778	3.27321	29.77544	11.16093	37.04372	49.76807	38.71453	2.11983	7.7885	7.57252	9.3055	10.33111	13.65201	3.91448	0.0	0.0	0.0	0.0	5.04079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.18852	5.02731	5.72084	2.36847	6.28756	14.59008	7.63995	7.97807	1.61965	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.01791	0.0	0.01417	0.03505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00746	0.0	0.09657	0.01147	0.0	0.0	0.01485	0.0	0.0	0.0	0.15201	0.27746	0.08262	0.01989	0.0	0.01259	0.0029	0.01238	0.0	0.03729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01142	0.01317	0.00994	0.00792	0.0	0.0	0.01218	0.0	0.01235	0.0	0.00577	0.0	0.0	0.0	0.0	0.0	0.00313	0.0	0.0	0.0	0.0	0.0	0.00308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia	0.28835	0.0	0.0	0.0	0.20326	0.10661	0.03683	0.0	0.2382	0.86722	0.81851	0.05192	0.35808	0.0	0.0	0.05835	0.32846	0.22964	0.0	0.0	0.0	0.0	0.0	0.0	0.44656	0.0338	0.43968	0.0	0.0	0.11482	0.21585	0.0	0.06444	0.0	0.25118	0.88794	0.07446	0.19399	0.03487	0.56094	0.0	0.03528	0.02483	0.05603	0.0	0.0	0.0	0.04414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64213	0.48276	0.01508	0.0	0.0	0.0	0.20861	0.252	0.50411	0.02355	0.03737	0.08349	0.13254	0.05306	0.02566	0.07538	0.03765	0.12527	0.09797	0.57601	0.0	0.0	0.0	0.0	0.0	0.49794	0.0	0.0	0.0	0.0	0.45185	0.19537	0.58058	0.10498	0.04709	0.03189	0.12073	0.0	0.62941
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter	0.90513	0.0	0.0	0.0	0.46671	0.11145	0.02814	0.0	0.54318	1.22273	1.33623	0.12894	1.47372	0.0	0.0	0.19523	0.87204	0.29173	0.0	0.00643	0.0	0.0	0.0	0.0	0.6653	0.08362	0.55196	0.0	0.0	0.20039	0.16367	0.0	0.21613	0.0	0.45728	0.48136	0.11509	0.26711	0.05169	0.88849	0.0	0.17787	0.03213	0.18561	0.0	0.0	0.0	0.07867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97836	0.29034	0.11873	0.0	0.0	0.0	0.94418	0.78562	2.42555	0.26663	0.13683	0.33122	0.49602	0.17574	0.01328	0.01018	0.00878	0.03557	0.12401	0.16456	0.0	0.0	0.0	0.0	0.0	0.31796	0.0	0.0	0.0	0.0	0.57971	0.46077	0.58563	0.17251	0.10636	0.05246	0.21501	0.0	2.68624
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella	1.75727	13.14022	0.13398	0.16311	0.11906	0.01141	0.0	0.87861	0.0	0.22963	0.05168	0.0	0.23861	3.14011	0.04339	0.0	0.02386	0.0	1.40763	53.06123	1.71974	10.969	5.00485	8.97927	0.04432	0.0	0.3119	0.0	1.01487	0.10039	0.0	1.27613	0.0	0.0	0.09994	0.05806	0.0	0.0	0.0	0.14599	1.29999	0.0043	0.79493	0.0	0.0	0.0	0.0	1.3146	0.0	0.0	1.27875	1.76541	1.57901	0.77885	0.84433	1.06516	0.0208	8.10614	0.8389	1.53111	1.47733	2.34854	0.44238	0.43278	1.52426	2.29858	1.61823	3.01542	0.24383	2.97821	2.25354	1.2229	2.23915	0.13881	3.69537	2.82574	9.54101	5.94131	1.94133	1.82245	0.01886	0.0	0.0	0.0	1.70215	0.25078	0.04675	0.00224	0.21667	3.72316	1.3753	0.06865	0.0	0.0589
