Castro-NallarE_2015	f1	0.4701666666666667	0.381377583388315
ChngKR_2016	f1	0.786125901875902	0.1492222642513549
FengQ_2015	f1	0.6574192801887655	0.1449803234002225
GhensiP_2019_m	f1	0.5913344155844154	0.0634457210669186
GhensiP_2019	f1	0.8146799404299404	0.1414921881358639
GuptaA_2019	f1	0.7109642857142857	0.2808861551789298
HanniganGD_2017	f1	0.3538571428571428	0.0965587187560007
Heitz-BuschartA_2016	f1	0.8360595238095239	0.2077508042912794
HMP_2012	f1	0.9982017403451504	0.0053951620209068
IjazUZ_2017	f1	0.9352535705035706	0.077111921430023
JieZ_2017	f1	0.7067466178587744	0.072552588586439
KarlssonFH_2013	f1	0.5198585796012266	0.1501382857330443
KosticAD_2015	f1	0.8977286653190291	0.087202246198045
LiJ_2017	f1	0.5845329439185272	0.0266730569838901
NielsenHB_2014	f1	0.8455809572751926	0.0535725388985765
QinJ_2012	f1	0.5305810807039858	0.1624796293906098
QinN_2014	f1	0.8104486614391475	0.0780645988578229
RaymondF_2016	f1	0.4858075396825396	0.2084748337974963
ThomasAM_2018a	f1	0.4487916666666667	0.1991719137120861
ThomasAM_2018b	f1	0.576498556998557	0.2383337720760482
VogtmannE_2016	f1	0.3591914543789544	0.0947749875146034
WirbelJ_2018	f1	0.4824661614400392	0.1883255362777728
YachidaS_2019	f1	0.4288335195384812	0.1290109406729202
YeZ_2018	f1	0.6384896584896584	0.157985860748286
YuJ_2015	f1	0.69759862786719	0.1207063058174267
ZellerG_2014	f1	0.5768048913161141	0.2166115699525363
