dataset_name	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018	YeZ_2018
study_condition	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	BD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	0.02919	0	0	0	0	0	0	0	0	0.03126	0.05345	0	0	0	0	0	0	0	0	0.06151	0	0	0	0	0	0	0	0.01956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	0.05745	6.42352	0.01056	0.20816	0.06462	1.04606	0.13145	0	0.01645	2.74917	13.20756	0.00221	0.55853	0.72688	0	0.3332	0.00837	1.03214	0.78803	30.92287	2.4788	0.03968	0.14554	0.04975	0.14259	0.05039	0.04973	5.9934	1.64604	0.19868	0	0	0.02524	0.20914	0.07454	0.0666	0.20469	0.19785	0.18721	0	0.01313	0.00382	0.64705	0	0	0.18096	0.04359	0.01485	0.93491	20.64485	0.06584	0	0.41471	0.02611	0.69046	0	0.05772	3.6127	0.17764	0.04951	2.369	0.01045	0.01157	0.89643	0.01888
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.00232	0	0	0	0.00284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	2.91855	2.23136	0.03072	0.66571	0.42189	0.2655	0.15043	0.04259	0.0	6.05667	6.96606	0.15338	0.04529	0.32936	0.26569	0.05986	0.25678	0.24697	0.25529	18.77074	0.56122	0.19148	0.0633	0.04756	0.71344	0.19829	0.00121	0.78252	0.25695	0.75628	0.01957	0.64442	0.07927	0.05517	0.63064	0.00509	0.08659	0.0	0.03221	1.62326	0.02087	0.0	0.05843	0.05736	0.00981	0.0	0.02231	0.00163	0.0	0.39711	0.13255	0.05169	1.2562	0.00159	0.23716	0.0	0.08563	0.02029	0.20804	0.0	0.41589	0.14096	0.03656	0.606	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales	0.0767	0.07316	0.0023	0.01171	0.00428	0.01064	0.22248	0.0	0.0	0.1808	1.13613	0.0	0.00181	0.0	0.02926	0.02616	0.01266	0.01008	0.0	0.75847	0.00426	0.0	0.0	0.03154	0.0144	0.00056	0.01213	0.202	0.0	0.0	0.0	0.0	0.04818	0.00321	0.00139	0.0	0.0	0.0	0.0	0.01984	0.0	0.0	0.0	0.0	0.0	0.00805	0.0	0.0	0.0	0.00556	0.0	0.00249	0.07733	0.0	0.09457	0.0	0.0	0.0	0.1447	0.0463	0.00436	0.01501	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	68.98431	75.01394	96.48334	61.15335	81.08703	73.95217	73.2136	56.80892	45.63906	46.11286	47.51854	86.98859	87.95001	91.72219	90.76954	83.09534	74.71413	92.19979	90.0804	39.33836	90.6757	79.53736	90.79996	81.51421	81.2955	66.72443	87.00842	75.43507	79.22529	80.26528	96.48073	85.06707	84.05019	84.33303	87.24275	93.90184	85.20371	92.91534	60.29529	57.94801	97.4097	75.76586	20.91283	93.84274	82.38117	88.6901	89.31709	96.59961	74.4108	61.45218	96.38921	82.5695	73.45388	93.94941	87.29598	93.15536	83.11486	79.4144	65.79202	56.90303	84.79884	21.29187	98.36061	51.69573	90.37439
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00252	0.0	0.0	0.0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	0.0482	0.0	0.00886	0.00974	0.0	0.00096	0.37028	0.0	0.00593	0.03955	0.40568	0.01447	0.0	0.0	0.00151	0.0	0.01147	0.0	0.00482	0.74089	0.00175	0.01663	0.00041	0.0	0.00161	0.02405	0.0	0.00523	0.0	0.01092	0.00059	0.0449	0.00167	0.08741	0.03408	0.00182	0.0	0.0	0.03218	0.00312	0.00164	0.0	0.00497	0.0	0.0	0.02689	0.00282	0.0	0.0	0.01279	0.02016	0.00325	0.10393	0.01435	0.0	0.0	0.0	0.36556	0.004	0.00276	0.00627	0.0	0.0	0.00612	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	7.95351	11.88457	2.40621	36.644	9.55462	12.72144	21.57613	25.71624	2.6	22.03171	25.82338	10.8328	9.97945	4.99228	3.70828	8.9716	13.95975	4.23488	3.73292	7.90083	5.20405	17.1993	8.45727	13.04848	11.44739	20.66317	7.76363	14.41722	17.40904	13.98914	3.25469	7.26763	14.09934	11.26512	9.79125	3.78622	13.05259	3.81262	34.80715	37.89669	1.79002	20.00023	9.77481	2.13171	10.01964	7.25291	6.15101	0.26066	17.90574	3.22803	1.86611	15.0792	19.98938	3.2568	4.59764	2.01722	12.42174	2.03616	24.76884	31.84825	7.46943	12.42488	0.84976	10.27664	6.78023
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales	0.0	0.01004	0.0	0.0	0.01661	0.00344	0.19891	0.0	0.0	0.00316	0.07875	0.00225	0.00469	0.00092	0.01888	0.0	0.03817	0.0	0.00625	0.01116	0.02396	0.04977	0.0	0.0052	0.0	0.00494	0.00826	0.0	0.0	0.0	0.0	0.0658	0.00672	0.0	0.00582	0.0069	0.03614	0.0	0.0	0.0	0.0	0.07616	0.0	0.0	0.0	0.03256	0.0	0.0	0.0	0.01788	0.0	0.0	0.09803	0.00044	0.0	0.0083	0.00042	0.0	0.0	0.01252	0.0	0.00033	0.0	0.00864	0.0
k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified	0.949	0.0	0.22995	0.29213	0.75611	0.25526	0.1073	0.0	0.00964	16.27425	2.27214	0.06221	0.07594	0.00787	0.03144	0.25752	1.49278	0.7077	0.1028	0.62904	0.0	0.82495	0.19714	0.13871	0.84284	0.02211	0.0	0.52528	0.11602	0.14586	0.00914	0.0	0.14856	0.05827	0.0	0.0	0.0	0.0	0.05057	0.24554	0.0	0.0	0.01401	0.0032	0.12926	0.08409	0.0	0.0	0.09823	0.01189	0.0	0.03084	0.85052	0.86737	0.24675	0.0	0.0	0.00382	1.29353	0.01205	0.11597	13.62232	0.0104	0.0	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales	5.38796	0.0	0.3368	0.33762	3.75502	0.2153	0.40048	12.34353	0.03418	1.26787	0.08808	0.3453	0.28263	0.06637	0.31682	0.32931	2.48102	0.22241	0.22637	0.06274	0.17351	0.00992	0.25522	0.05738	1.74487	0.41961	0.36833	0.30074	0.2567	0.00857	0.00931	0.52956	0.7995	0.5637	0.10597	0.53576	0.0	0.3851	0.0	0.0	0.0	0.0	0.03039	2.82619	0.72976	0.35746	1.329	0.0	2.80574	0.00095	1.14142	0.03025	0.14758	0.98015	0.08013	2.4462	0.10515	0.07355	0.0564	0.03145	0.05832	2.61086	0.0	0.56441	0.16208
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales	5.55795	0.11555	0.0	0.00977	2.92248	0.0	0.03679	0.0	3.02346	0.01906	0.0	0.0	0.3538	0.14887	0.00082	0.0	0.1353	0.0345	0.0	0.0	0.0	0.02809	0.00344	0.0	0.0	0.00328	0.17021	1.40788	0.21823	0.01121	0.0	0.28114	0.0	0.04865	0.0	0.0	0.0	0.0	1.52854	0.0	0.0	0.01415	0.00182	0.64527	0.0	0.0	0.0	0	0.05455	0.34968	0.00672	0.01079	0.0	0.01197	4.05296	0.0	0.39624	0.0	0.0	0.0	0.0	0.0279	0.03139	0.0043	0.09003
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales	0.09817	0.0	0.0	0.00745	0.0	0.02001	0.0	0.0	0.0	0.0	1.91439	0.00603	0.23103	0.00532	0.00214	0.0	0.0	0.0	0.07139	0.02904	0.0	0.4016	0.00675	0.0	0.0	0.23929	0.0	0.08033	0.01345	0.0317	0.0	0.11049	0.0	0.0	0.0	0.01072	0.05448	0.0	0.0	0.04781	0.19408	0.17597	5.22569	0.07771	0.0	0.0152	0.04974	0	0.0	1.06469	0.05003	0.70596	0.0	0.02899	0.31072	0.01178	0.0	0.33192	0.00159	0.0	0.24566	0.23339	0.00191	16.58714	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales	0.0	0.0	0.0	0.02222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04874	0.0	0.0	0.0	0.0	0.01813	0.0	5.13255	0.0	0.0	0.00489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01008	0.0	0.0	0.0	0.0	0	0.0	0.0	0.05422	0.0	0.0	0.0	0.0	0.0	0.36149	0.02976	0.0	6.96583	0.0	0.0	0.0	0.02719	0.91903
