dataset_name	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b	ThomasAM_2018b
study_condition	CRC	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	CRC	control	CRC	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	control	CRC	CRC	CRC	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	CRC	control	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	27.52496	14.37512	45.944	9.96392	43.22211	10.58297	47.6535	37.48817	40.15689	9.71306	17.3322	63.24656	45.84112	28.19299	24.77146	21.62143	20.31215	9.45191	30.86852	38.24265	25.31871	41.03563	39.11762	6.04599	25.95704	20.79246	27.07338	33.84277	22.67457	12.08044	28.02467	32.19024	41.86135	23.306	44.52255	19.07401	29.13284	16.64018	26.31751	15.33442	17.25466	48.07586	28.7578	49.62879	23.14018	12.20742	31.89573	14.62624	41.91007	18.32261	21.3953	17.61822	41.57468	39.2907	16.34711	19.71084	37.40184	33.73477	46.77401	37.36672
k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales	0.0	0.0	0.0	0.00788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14962	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	0.05808	0.16104	0.02166	0.00925	0.00747	0.00477	0.56395	0.03501	0.03101	0.03167	0.01757	0.02058	0.00319	0.09043	0.0	0.00939	0.04043	0.01273	0.17301	0.00725	0.01368	0.06904	0.00193	0.0	0.0	0.19522	0.00295	0.01043	0.0081	0.12817	0.83775	0.00227	0.06971	0.00227	0.00808	0.03354	0.0	0.0	0.0	0.0	0.0	0.06741	0.07777	0.02342	0.101	0.03892	0.0	0.0	0.0	0.01327	0.00943	0.09676	0.0	0.01473	0.0087	0.00517	0.02228	0.0	0.01636	0.02278
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	2.84423	14.82984	0.29018	0.20944	4.95377	0.28392	0.30967	0.13552	10.32564	2.31251	0.59104	2.11886	0.58196	0.59186	1.75892	0.4758	7.79571	0.0666	4.80125	0.66382	4.40956	6.99216	0.48204	2.10403	0.45153	1.23728	0.65905	1.04807	1.70258	1.21117	1.0229	0.83008	15.3217	0.27477	2.60138	0.30288	1.06164	0.90937	15.73318	3.92516	0.08237	1.31863	1.53696	14.44159	2.21557	1.70365	1.04267	8.02045	0.35802	3.5293	0.35371	1.06699	0.27233	6.80805	0.23762	0.66345	0.66218	0.30015	3.28583	0.10549
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	57.87991	49.35234	19.5482	83.45115	35.52602	58.22017	17.45091	48.23961	26.17884	83.24346	62.97536	15.96132	36.68253	41.22359	67.72185	71.88166	32.90923	76.6395	55.03031	17.5945	61.91719	37.61573	44.96646	84.92939	68.38079	56.66626	58.84665	55.39008	61.78373	67.8027	45.18325	46.9835	33.14668	27.58814	40.91799	49.41257	48.73991	67.83852	54.3051	69.42691	58.60482	47.34016	53.5017	19.65983	58.95775	71.85075	46.96962	48.55809	52.63092	71.9441	67.08559	47.90858	50.57869	42.50645	53.07269	66.68313	15.23218	58.1071	44.90568	51.7557
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales	0.08153	2.01588	0.06139	0.0	0.16148	0.31786	0.83938	0.02171	0.13688	1.04411	0.18216	0.30573	0.01999	0.71698	0.04673	0.14063	2.06253	0.28649	0.24742	2.02745	2.13085	0.4935	0.03482	0.23559	0.08979	0.25111	0.0	0.0	0.07918	0.01153	1.02485	0.01931	0.2391	0.21645	0.58878	0.08266	1.57616	0.03366	0.34449	0.8052	0.00312	0.04646	0.76401	1.11501	0.01615	0.29236	0.59236	0.16753	0.66194	0.131	0.05146	0.20885	0.27509	2.81581	1.91212	0.0249	0.0935	0.08352	0.06513	3.37083
k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified	1.63414	1.34895	0.0503	0.1691	0.72329	0.20733	0.65324	0.35447	1.02287	0.39821	0.16906	0.0	0.17323	0.30408	0.09367	0.54331	0.56746	1.04293	1.52919	0.1368	0.21976	0.46262	2.32092	0.57993	1.53585	0.14533	1.10979	0.49415	2.13007	0.61472	0.50949	0.25808	0.53105	2.30998	0.59248	1.26688	2.29686	0.78463	0.30858	1.49961	0.61149	0.1693	0.02782	2.78414	0.02472	0.06295	0.72936	1.06497	0.51776	0.139	0.12415	3.01866	0.90319	0.89911	5.96929	0.41513	1.27836	0.0	0.00679	0.32851
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales	1.60749	3.68352	3.65542	0.0	0.8657	3.2539	3.57634	1.37136	0.67733	0.63983	0.46283	0.0	1.57734	1.31622	0.43813	0.0	3.52317	1.74532	0.45916	0.25245	0.00058	2.7627	3.40465	0.0	0.13409	1.03357	0.0124	0.27514	0.0	2.7848	0.31763	0.07552	0.0	1.18983	3.71665	0.0	1.52506	0.0	1.13529	0.81262	0.0	0.0968	0.06729	0.9054	0.26038	0.59125	0.16045	0.29509	0.19834	0.0	0.05961	0.0	0.32074	0.0	0.94794	1.19637	2.6621	0.0	2.12838	2.17849
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales	0.0	0.79531	0.0	0.0	0.07024	0.0	11.04584	0.0	0.0	0.00907	0.1105	0.0	3.31758	0.0	0.0	0.0	0.0	0.0	0.10386	0.0	0.19575	0.99949	0.0	0.46371	0.0	1.01361	1.32789	1.34822	0.0	0.0	0.00997	0.0	0.0	0.78437	0.31776	0.0	0.77446	0.0	0.0	0.0	0.0	0.0	0.0	0.00299	0.0	0.09946	0.20803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales	0.16672	0.17528	0.0	0.0	0.15005	0.05356	0.29633	0.34335	0.01042	0.0	0.0	0.0	0.62629	0.72721	0.03592	0.32344	0.78793	0.0	0.31587	1.63746	0.79812	1.42425	0.14172	0.1061	0.00339	0.22101	1.09622	0.2049	0.29909	0.01009	0.54019	0.8088	2.75351	0.0	1.81619	0.21738	0.0	0.41331	0.01833	0.0	1.6155	0.02017	0.0	0.03871	1.66544	0.02714	0.0636	0.0	0.0	1.19126	0.14867	0.56565	0.02152	0.35277	0.0	0.0	0.12055	0.0053	0.12828	0.0
