dataset_name	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016
study_condition	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	control	control	AD	AD	AD	AD	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	0.06079	0.18428	0.53528	0	0	0	0.38914	2.5169	0.39716	0.07702	0.07846	0.11342	0.08683	0.30173	0	0.0262	0	0	0.13761	0.12901	0.43915	0.42496	0.05347	0	0.17662	0	0.14576	0.14502	0.23081	0.04551	1.70778	1.52167	0	0	0.09411	0.02051	0.62544	2.71566	0.794	1.75521	2.60793	0.2525	0.35958	0.0184	0.18336	0.33142	0	0.64813	5.35961	0.7471	0.30208	0.23086	0	0	0.70009	0.66106	2.17667	1.05921	0.03405	0	0	0.15676	0.06327	6.30532	8.86934	14.39619	0	0.00158	0.71906	6.75274	0.00979	0	0.01012	0.11271	0.13283	0.02447	0	0.39553
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03765	0.0	0.0	0.0	0.07122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00956	0.22529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12905	0.0	0.01999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4139	0.33587	1.48844	2.30445	0.45207	0.27394	0.10543	0.27227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales	1.82307	2.64959	0.25418	0.78193	4.12457	5.07422	1.2892	1.76098	3.2524	3.29467	0.44712	1.28299	5.60291	0.32711	0.97207	2.226	2.46269	2.56239	1.62604	0.89732	3.14091	2.70313	1.15544	0.21801	1.42975	0.93783	0.83203	0.18271	2.21889	0.73455	2.05818	4.53429	16.28634	9.9199	1.40798	0.24312	8.45997	9.94194	3.41282	2.84306	4.15723	0.27634	0.56921	0.271	1.12585	1.72064	1.56833	1.12719	0.38199	0.28973	0.51689	0.76805	1.2024	0.32721	1.92207	1.37347	1.27855	1.2698	12.24511	11.17592	1.98058	2.78028	1.61058	7.96561	2.28687	3.32027	2.67977	2.63658	5.19129	5.2847	10.02506	17.29595	0.50498	2.44986	3.37213	1.36748	8.88394	3.39282
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	1.37857	2.45927	11.652	4.52816	10.35635	9.4171	18.49826	17.45837	0.89336	0.33507	1.27844	2.50348	7.25161	9.3449	13.06148	20.54266	4.56448	6.89241	0.47436	0.64596	2.11536	1.51069	0.92192	0.19935	26.22107	15.89273	27.79152	30.21787	6.52419	7.40745	2.24338	2.99793	9.73144	7.0764	5.35717	3.27575	22.98499	21.46259	4.59518	3.73631	5.86027	0.30792	3.1074	0.61654	2.82671	3.03444	10.35261	12.06847	4.93698	3.84505	1.92667	0.94384	3.68995	1.85092	2.05667	1.90377	7.10054	4.83318	56.85395	61.85246	1.75784	3.36856	2.07846	5.62403	21.71215	12.63284	26.20269	33.32619	4.62894	7.11232	5.38905	8.89052	0.43513	2.89615	34.84163	27.0199	2.95665	4.50931
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	41.24365	60.01147	58.5174	65.52291	45.47651	43.05746	42.3391	37.13907	66.0277	74.70312	78.21566	76.98719	55.20797	42.71805	63.17397	57.57197	22.09059	51.75688	75.6332	70.84878	76.49943	76.71416	87.21314	94.45214	53.64971	74.05409	25.99352	16.58922	78.81152	79.5719	55.61625	72.40651	64.81021	63.73376	86.25726	89.92949	44.719	36.61495	59.06485	45.00927	32.37378	42.53512	53.77348	79.75427	88.52174	83.43899	66.90921	57.59016	67.23686	68.2899	87.15962	91.47634	79.89455	82.63511	78.45964	84.34077	36.23893	52.10178	10.06622	8.41303	39.09785	39.17087	74.76219	36.8332	5.38276	4.33747	55.35182	49.76933	45.23716	21.81503	55.9518	44.49294	94.10967	81.96263	33.85758	50.20932	33.87157	48.13511
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0315	0.0	0.0	0.0	0.00384	0.00253	0.0	0.0	0.0	0.0	0.0	0.03023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Rubrobacteria.o__Rubrobacterales	0.0	0.0	0.01386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Thermoleophilia.o__Solirubrobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00152	0.0	0.0	0.0	0.0	0.01376	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
