dataset_name	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016
study_condition	T1D	T1D	T1D	control	control	control	control	control	control	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	control	control	control	T1D	T1D	control	control	control	control	control	T1D	T1D	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	control	control	control	control	control	control	control	control
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales	0.0	0.0	0.0	0.0	0.0	0.00554	0.0	0.0	0.0	0.25788	0.28561	0.04981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01759	3.2714	1.65838	0.0	2.44812	0.0	0.0	2.3081	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales	0.0	0.03912	0.18419	0.67644	0.26347	0.11526	0.09742	0.70606	0.00634	1.8474	1.16633	1.41364	1.15637	0.53921	0.03013	0.33383	0.35223	0.0	0.01092	0.0	0.0	0.0	0.01417	0.00517	0.0	0.01391	0.34239	0.34076	0.15432	0.50486	0.0153	0.0	0.0	0.02164	0.10226	0.05697	0.0	0.05424	0.16729	0.28943	0.10338	0.04024	0.03856	0.63368	0.27128	0.0627	0.27343	0.0	0.5425	0.17585	0.29259	0.02162	0.01247
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.00574	0.00284	0.00259	0.00345	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01768	0.0	0.00157	0.0	0.00972	0.0	0.0	0.0	0.0	0.01137	0.15386	0.00491	0.02013	0.01207	0.01835	0.0	0.01652	0.0	0.0	0.02031	0.0	0.0	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40217	0.11679	0.23911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01862	0.3778	0.0	0.01276	0.0	0.00172	0.0	0.00385	0.0	0.00058	0.0	0.0	0.0	0.0
k__Bacteria.p__Lentisphaerae.c__Lentisphaeria.o__Victivallales	0.04584	0.10953	0.07234	0.0	0.0	0.0	0.0	0.0	0.0	0.12741	0.06145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01741	0.02962	0.02791	0.00243	0.20219	0.02385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0232	0.02317	0.02323	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Pelagibacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00207	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	0.05492	0.05174	0.04603	0.5173	0.43706	0.27214	0.16092	0.1299	0.26737	0.0893	0.09039	0.05147	0.07164	0.06504	0.20329	0.53641	0.39505	0.17296	1.00623	0.72099	1.08692	0.62766	1.17125	1.11626	1.05967	1.20853	0.0	0.0	1.78059	1.93913	1.4319	1.07839	0.87327	0.55427	0.39936	0.39365	0	0.0	0.96658	0.11085	0.0884	0.09879	0.04687	0.03761	0.03949	3.48578	0.01522	0.34395	1.54244	0.01133	0.08266	0.09013	0.20949
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.01925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales	0.31215	0.20835	0.39053	0.0	0.0	0.0	0.0	0.0	0.0	0.37155	0.33271	0.069	0.379	0.37481	0.01603	0.0285	0.00426	0.14949	0.11093	0.07896	0.04034	0.02565	0.02128	0.01321	0.00644	0.00834	0.02101	0.03282	0.0614	0.04124	0.09549	0.15318	0.11649	0.15262	0.29089	0.15384	0	0.0	0.0	0.0	0.0105	0.09307	0.00956	0.08726	0.02044	0.14109	0.01123	0.11346	0.0	0.00712	0.63172	0.03034	0.0
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00241	0.0	0.0061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.00793	0.01277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	2.34775	0.61072	1.87462	0.30635	0.00104	0.02348	0.01028	0.0	0	1.00031	0.52516	0.00392	0.00148	0.61401	13.67037	1.34457	8.67378	0.00545	0.03374	1.57726	0.24148	0.04224	0.07866	0.05751	13.09509	0.35435	0.13001	0.08216	0	0.08159	0.26843	0.20607	0.10592	0.10155	0.19991	0.07012	0	0.15355	0.82718	0.22041	0.06503	0.50662	0.20496	0.01818	0.00104	0.00147	0.0	6.71522	0.0	0.0	0.2311	0.12572	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	0.00494	0.02746	0.12239	0.2312	0.06525	0.00762	0.0	0.06006	0.0	0.21834	0.07168	0.66349	0.09783	0.02931	0.0	0.0	0.00531	0.0	0.13891	0.01023	0.0	0.00321	0.01864	0.00158	0.0	0.00968	0.06467	0.07367	0.0	0.0	0.00905	0.0	0.0	0.11134	0.02898	0.02717	0	0.04896	0.03567	0.35733	0.27187	0.00109	0.06369	0.01704	0.06749	0.00861	0.07088	0.00849	0.22853	0.04322	0.0293	0.00659	0.00192
k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified.o__Proteobacteria_unclassified	0.0	0.0	0.00162	2.1961	1.60462	1.3053	1.56492	1.06395	2.17041	0.0021	0.0136	0.0	0.0	0.0	0.01159	0.03588	0.0176	0.00491	0.04525	0.03153	0.05349	0.0314	0.06019	0.05436	0.0494	0.05528	0.0	0.0	0.12654	0.21954	0.08054	0.05848	0.05054	0.14483	0.41419	0.07985	0	0.0	0.04123	0.0	0.0	0.0	0.0	0.0	0.0	0.14404	0.0	0.01183	0.04799	0.0	0.0	0.0	0.00379
k__Bacteria.p__Spirochaetes.c__Spirochaetia.o__Spirochaetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.14264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Synergistetes.c__Synergistia.o__Synergistales	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.02994	0.00252	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.00623	0.00082	0	0.0	0	0	0	0	0	0	0.0	0	0
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	0.24315	1.06257	1.09285	0.0904	1.33783	0.12444	0	0	0	1.60464	6.77206	0.01212	1.09501	1.31798	0	0	0.21381	0	0	0	3.95668	3.77209	3.63869	4.44781	9.19045	6.0141	0.09078	1.83929	0.24073	1.7847	8.58281	1.52869	2.62444	0	0	0	0	0	0	0	0.0	0.0	0	0.04602	0	0	0	0	0	0	0.14973	0	0
