dataset_name	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	peri-implantitis	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	peri-implantitis	control	control	peri-implantitis	control	control	control	control	control	peri-implantitis
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	0.49197	2.82822	0	0	0.74471	44.49118	2.35865	4.17851	2.50659	1.67871	25.43092	0.10842	19.38734	0	71.69972	45.89785	11.58592	0	24.90171	1.84232	42.75026	0	0.08316	2.57107	19.7902	1.88268	0.20152	1.46248	17.36943	0.14704	0.0718	58.51797	1.96511	18.61159	0	2.94059	4.24384	0	0.71028	2.369	0.26428	0	0	27.7304	1.59585	16.06032	0	14.63867	20.00196	0.55718	21.54265	21.53579	19.76584	3.73352	5.90243	1.94771	0.7027	21.49933	1.22455	33.38334	0	54.62424	0.23172	2.2818	9.01027	6.89817	1.17183	5.7941	2.102	26.19174	1.69889	2.03671
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	22.46652	27.27767	0.0	0	16.18712	0.0	0.14251	0.01778	0.0	1.39253	0.0	0	0.0	0	0.0006	0.0009	0.0	0	0.73555	0.0	0.0	0.01811	68.48148	0.19608	0.0	0.0	0.0	0.0	26.97836	0.0	0.0	0.0	2.67602	0.0	0	0.12277	0.52573	0	0	0.0	22.75839	0.18695	0	0.0	0	0.0	0	0.0	0	0.0	8.929	0.0	0.0	0.0	0.0	0.42478	0.97057	0.07069	1.81408	0.0	0	0.0	0	1.14098	0.0	0	0.0	0.0	0.0	0.0	0.09918	0.11126
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales	0.0	0.16255	1.88675	0	0.0	14.76244	0.08671	0.57248	0.27653	0.0	6.72761	0	11.18983	0	16.12044	5.60094	0.01325	0	16.87477	1.90964	4.80854	0.0	0.0	0.30377	18.34918	0.0	0.0	0.0	0.0	0.00225	0.0	5.43853	0.0	3.47332	0	2.31911	6.72562	0	0	8.79185	0.01441	0.0	0	0.0	0	21.85557	0	0.0	0	1.95654	0.0	8.00235	0.24363	13.50832	0.0	0.00297	0.01846	42.47598	0.0	0.00874	0	1.41894	0	0.0	0.0	0	0.08428	7.52197	0.18614	0.0	1.3937	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	0.14534	3.8883	0.0	2.92832	0.0	2.9768	4.58937	5.51305	4.5082	0.27171	11.71093	10.69088	30.09249	0	9.47562	2.69933	1.34397	45.65555	2.86854	0.00983	30.98063	0.0	0	0.01879	9.00997	0	62.67111	0	0	0.0	0.0	2.90286	0.0	23.12256	0	0.02563	0.09838	0	0	49.3343	0.0	0	0.0	0.0	0.0	5.03202	0	8.05354	0	86.83715	4.00874	3.37774	0.0	1.05501	0	0.00292	0.21906	11.68302	0.0	16.5696	0.08015	3.70151	0.0	1.55063	25.85119	11.15306	22.99867	83.80081	0.003	1.14288	0.00627	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	7.12739	1.39707	0.0	0.0	0.04378	0.00734	0.0754	0.93593	0.01462	0.0	4.75324	2.70062	0.31419	0.0	0.15482	0.03165	0.12251	0.0	0.41844	0.06395	0.0	0.29668	0.0	2.08996	0.09654	0.0	0.0	0.0	0.0	0.0	0.00035	0.27425	0.02462	3.68617	0.0	0.24417	0.0	0.0	0.0	0.0	0.34394	0.0	0.09377	11.34015	0.07913	1.65646	0.0	0.06198	0.0	2.55285	0.0	1.02626	0.11755	4.34985	0.0	89.44075	0.00212	2.26808	8.29571	0.45847	0.0	2.0876	0.24044	0.01052	0.0	67.38552	0.0	0.0	0.0	1.48923	0.36259	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	3.22763	5.67798	0.68997	0.0	0.51338	1.03389	0.02399	0.38658	0.0	0.1101	0.01779	0.0	0.0	0.0	0.03989	0.03902	0.04391	0.0	0.21549	0.73627	0.0	0.18591	4.21173	1.6221	0.0	0.40742	0.15814	0.0	10.10773	0.0	0.10617	0.0	0.53471	0.03016	0.0	0.12987	12.58192	0.0	0.0	0.0	4.90589	0.24933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.53397	0.37663	0.0	0.0082	0.05964	0.10351	0.06126	0.0	2.78595	0.0	3.02413	0.00279	8.80401	14.09303	0.0	0.0	0.0	0.0	12.75834	0.0	0.02222	0.86756
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales	0.0	0.09897	0.0	0.0	0.0	0.0	0.0	0.37591	0.0	0.1061	0.29962	0.0	0.0	1.11669	0.0	0.0	0.02399	0.0	0.0	0.0414	0.0	0.62842	0.0	0.08526	0.0	0.0	0.0	0.09886	0.0	0.0	0.04784	0.0	0.0	0.0	0.0	0.09019	1.73106	0.0	0.0	0.0	0.06507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.77182	0.0	0.0	0.0	0.0	0.0	0.0344	0.0	0.11446	0.0	0.0	0.0	0.2752	0.82866	0.04911	0.0	0.0	0.0	0.13901	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidetes_unclassified.o__Bacteroidetes_unclassified	0.69284	0.72957	1.11331	0.0	0.0	0.0	0.0	0.01816	0.10179	0.3362	0.05674	0.08978	0.0	0.0	0.0	0.0	16.67478	0.0	0.0	0.0	0.0	0.53214	0.0	0.30154	0.0	0.0	0.0	0.25914	0.0	31.89841	0.25915	0.0	0.43024	0.27895	0.0	0.0	5.35587	2.47036	0.0	0.0	8.92617	7.90415	0.0	0.05653	0.0	0.0	0.45628	2.96759	0.0	1.54016	0.0	0.0	0.37392	0.21568	0.0	0.0	0.35388	0.0	3.846	0.0	4.52093	0.0	1.95061	0.0123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98472
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	50.72987	43.61345	82.63502	2.37322	47.53751	0.19828	0.6278	31.5894	0.82572	61.26305	8.81611	0.10785	0.0	71.26614	0.0375	0.38568	7.79782	0.0	8.62034	7.55541	0.0	39.4569	5.80418	29.05377	0.03845	62.89312	0.17871	66.70889	9.061	31.7131	44.72869	0.00285	43.08153	17.15287	88.64481	59.49823	22.71143	68.57654	49.34105	0.0	46.69445	77.25671	61.76313	0.41912	54.03633	29.44187	49.95227	0.76124	29.02581	5.10841	10.04394	10.64558	32.48917	16.24547	57.80359	0.89382	61.99077	0.36259	49.80584	0.0	39.22552	2.21847	67.96568	49.60475	9.63006	0.0	0.24035	0.0	73.23499	0.08963	35.64732	65.22458
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	10.21262	1.3525	0.42134	1.55329	0.0	5.45195	2.98413	0.69678	0.0	0.01242	4.66724	0.438	0.0	0.76801	7.36292	0.0	0.0	0.0	6.13927	1.55383	0.0	0.0131	0.0	0.0	0.0	0.00039	0.06277	0.0	4.03238	0.0	0.35159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13103	0.0	2.8962	0.0	0.0	0.0	10.47293	0.0	7.32709	0.0	0.01945	0.0	4.08426	0.01421	2.05835	0.0	3.20394	0.0	0.0	0.0	0	0.36993	0.0	0.19855	0.51489	4.75285	0.0
k__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01399	0.0	0.10166	0.0	0.07974	0.0	0.94312	0.0	0.0	0.03104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1909	0.0	0.03522	0.0	0.0547	2.55961	0.0	0.50621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03819	0.0	0.0	0.93369	5.52729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87923	0.0	0.06454	0.0	0.32471	0.0	0.0	0.0	0.00817	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.20456
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	0.0	0.02412	0.0	0.0	0.0	0.01281	0.0	0.12607	0.14042	0.9333	0.80069	0.0	0.0	0.02101	0.027	0.5466	1.00093	0.20614	4.57132	0.92829	0.0	0.0	0.0	0.70067	0.21447	1.425	0.0	0.05037	0.0	0.42599	0.21522	0.00948	0.72511	0.70735	0.0	0.99272	0.85212	0.0	0.23668	0.0	0.0	0.0	0.09826	0.0	0.0	0.04854	0	0.33231	0.0	0.0	0.0	7.85254	0.37149	0.23845	1.40556	0.00339	1.26976	0.00783	0.0	0.24709	0.0	0.14374	0.04803	0.08439	0.06356	0	0.0	0.0	0.03464	3.12528	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	2.03854	4.47825	0.0	80.75771	6.67083	8.89039	31.48954	34.62195	20.96941	1.91919	7.9717	1.67482	19.45311	1.8832	0.1313	21.04777	6.71129	36.93374	5.74274	28.37721	9.15301	0.3393	12.92458	29.9137	7.60194	0.0	0.37298	0.31472	13.54981	0.19866	0.03112	21.05856	0.43659	15.30331	0.0	6.01279	6.53742	0.0	0.0	30.46706	3.08857	0.0	0.0	0.81246	0.0	1.6882	0	18.8296	0.0	0.0292	8.67431	12.66806	0.0	12.93342	0.45043	4.29635	2.01107	9.59664	6.81337	43.90504	0.0	20.13175	0.0	7.19356	31.26964	0	10.85432	2.88311	1.05986	45.47538	25.51344	0.58449
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	8.00553	2.15353	3.55549	0.0	0.05463	0.18682	0.0048	5.37752	0.05092	15.2217	2.42278	0.0	0.0	1.38318	0.02089	0.13176	15.31662	0.13269	5.06259	0.05297	0.0	18.85214	0.0	3.93505	0.0	10.7186	0.04089	12.53229	0.0	9.44805	24.88605	0.0	23.69205	0.46348	2.09915	4.99402	5.88962	13.92155	15.83985	0.0	2.19424	0.39637	13.57125	31.95756	11.94301	0.4372	0	0.0	12.52996	0.9603	2.58458	3.25276	17.03624	3.94665	11.06003	0.01229	16.5601	0.29264	6.03779	0.0	8.85683	0.66037	8.3143	2.34813	0.46215	0	0.0	0.0	0.35399	0.0	0.0	7.74538
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales	0.18022	1.17067	4.91237	0	0.0	0.0	0.0	0.60394	0.0	1.51893	0.06699	0	0.0	5.46017	0.0	0.0	2.14626	0.0	0.1466	0.0	0	0.2045	0.0	0.73922	0.0	0.8655	0.0	0.02293	0.0	0.2246	0.64502	0.0	0.56433	0.2643	0	0.26055	3.8488	0.3774	0.85358	0	1.308	0.24884	0.0	0	0.0	0.01699	0	0.0	0.0	0	0.16952	0.01277	0.0	0.11724	0.12715	0.06263	2.09338	0.0	3.92713	0.0	28.40141	0.46621	1.46384	8.49485	0.0	0	0.0	0	0.89322	0.0	0.0	0.08139
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales	0.3415	0.3097	0.0	0	5.71625	1.4846	0.00827	0.85856	0.0	0.62589	0.65937	0	0.0	0.2166	0.12679	0.51798	3.43718	0.0	9.78673	0.79246	0	0.0	0.0	2.70935	0.0	0.0	0.0	0.49597	0.0	0.0	0.00684	0.0	0.0	3.7159	0	1.78018	0.10123	0.0	0.0	0	0.23205	0.14418	0.0	0.0	0.0	5.60511	0	0.0	0.0	0	0.23771	2.40916	0.0	0.66111	0.00987	1.84034	0.37773	3.59603	0.0	0.0	0.0	0.28076	0.0	0.12974	0.68891	0	0.0	0	0.07871	0.93232	1.14828	0.0
