dataset_name	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016	RaymondF_2016
study_condition	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	control	control	control	control	control	control	cephalosporins	cephalosporins	control	control	control	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	cephalosporins	cephalosporins	control	control	control	control	control	control	control	control	control	control	cephalosporins	cephalosporins
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales	0.05927	0.03777	0.13469	0	0	0	0	0	0	0.68811	0.48783	0.06865	0.10353	0.06888	0.06003	0	0	0.00737	0	0	0	0	0	0	1.87666	0.60073	0.01801	0.00804	0.02218	0.21789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08336	0.19838	0.0397	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	0.04052	0	0	0	0	0	0	0	0.00385	0	0	0	0	0	0	0.00021	0	0	0.00048	0	6.00E-04	0.00272	0	0.00031	0.00053	0	0.00134	0	0	0	0.00063	0.00183	0	0.00026	0	0.00103	0	0	0	0.01314	0.02459	0.01562	0.00042	0.0024	5.00E-04	0	0	0	0.00632	0.01915	0	0	0	0	0.00884	0	0.00384	0.01293	0	0	0.00525	0.01905	0.00011	0.00739	0.00368	0.00199	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	1.81531	0.05926	0.41656	0.48062	0	1.10767	0	0	0.03742	2.69703	2.3888	3.27605	0.00044	0.164	0.70196	0.393	0.15999	0.21749	0.91554	0	0.86266	5.43571	0.19772	0.53763	0.12352	0.01912	0.11341	1.39634	0.97725	1.77915	0.35784	0	0	0.04445	0	0.06746	0.04285	0	0.20224	0.85092	0.99695	0.27036	0.3662	0.94575	0.99346	0.04508	0.03185	0.06831	0.00862	0.00702	0.01604	0.02988	0	0	0.25628	0.02358	0.28311	0.67503	0.00263	0.16407	5.73005	11.675	2.06364	0.20653	0.36767	0.64365	0.09746	0.36733	0.33523	0.72142	0.48574	0.13984
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00928	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.00136	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	0.00785	0	0.00029	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.00185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026	0	0	0.0	0.00096	0.00235	0	0.00375	0.00319	0.00198	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.00711	0.01358	0.01843	0	0	0.00087	0	0.0	0	0.0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	0.0	0.0	0.0	0.0	0.0	0.02015	0.0	0.02168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.00637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0013	0.0	0.01423	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	0.64754	0.00396	0.25612	0.42738	0.0	0.47866	0.2249	0.0	0.0	0.02974	0.24309	0.02519	0.79016	0.28452	0.83559	0.0002	0.0	0.15009	0.60915	0.0	0.20319	1.15584	0.0	0.25648	0.54647	0.0112	0.30352	2.32701	1.31278	0.31559	0.48453	0.0	0.31446	0.99343	0.00038	2.25199	0.05817	0.0	0.1408	1.04514	1.74084	1.19183	0.0	0.0	0.0	0.33511	0.33094	0.0308	0.10552	0.14475	0.05359	0.42034	0.01886	0.13671	0.00142	0.0	0.00016	1.1609	0.18625	0.35042	0.97427	2.30313	0.63315	0.29205	0.23471	0.24446	0.00011	0.0	0.0001	0.15123	0.02711	0.14559
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales	0.15425	0.06323	0.09502	0.04807	0.03238	0.1494	0.12689	0.00177	0.10131	0.01881	0.02696	0.0456	0.18863	0.03819	0.35154	0.03762	0.0	0.06168	0.04226	0.05512	0.03867	0.12162	0.02809	0.03772	0.19128	0.02483	0.05223	0.15104	0.11428	0.15442	0.01543	0.00311	0.01597	0.14002	0.04784	0.98826	0.07373	0.02593	0.03231	0.01621	0.05624	0.00682	0.08821	0.04958	0.02184	0.46876	0.3627	0.02087	0.05423	0.16362	0.20567	0.29189	1.2416	0.13386	0.04251	0.00039	0.05084	0.10631	0.09725	0.00874	0.55375	0.79888	0.14719	0.29878	0.32813	0.41228	0.17583	0.2145	0.16013	0.0081	0.01314	0.04454
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	74.20145	84.48082	79.76514	83.64509	80.10413	72.23172	77.51896	83.31895	68.76785	80.65595	90.38572	82.94584	88.05402	87.87285	81.30999	73.81594	92.95369	87.98678	88.34369	81.68135	82.37251	64.7419	88.843	84.74739	37.87227	44.25108	70.89203	25.5654	29.625	51.32105	85.99292	84.49257	91.29858	74.89848	77.74417	23.10555	82.21474	89.16969	84.02922	45.34006	29.91048	67.94443	55.73483	60.22548	76.17299	82.57959	84.17536	81.74031	71.78214	69.37595	71.95195	81.27524	85.08547	89.1293	92.67445	96.41467	92.39477	85.78802	90.06837	89.01286	72.1152	67.36996	76.78425	68.38004	68.2093	73.13921	89.13676	84.50978	89.58464	87.74905	89.66813	85.06246
