dataset_name	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017
study_condition	IBD	IBD	IBD	IBD	control	control	control	IBD	control	control	control	control	control	IBD	control	control	control	control	IBD	IBD	IBD	IBD	IBD	IBD	control	control	control	control	control	control	control	IBD	control	control	control	control	control	control	control	control	IBD	control	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	control	control	control	IBD	IBD	IBD	IBD	control	control
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	0.04107	0.0	0.0	0.0	0.0	0.02078	0.0	0.0116	0.03729	0.0	0.0	0.00728	0.01954	0.01504	0.0	0.0	0.0	0.0	0.0	0.00783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00669	0.0	0.0	0.0	0.02689	0.0	0.00871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41667	0.01007	0.0	0.0	0.04923	0.0	0.0	0.0	0.0	0.0	0.02442	0.0239	0.0	0.0	0.0	0.0	0.0	0.0	0.02957	0.0	0.0	0.0	0.0	0.0	0.0	0.83747	0.0	0.0	0.0143	0.0	0.04858	0.00512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03298	0.0	0.0	0.0	0.05309	0.0	0.0	0.0	0.0	0.01873
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	0.90022	0.0086	82.79751	98.7671	2.11666	1.89882	0.0	0.65155	0.51791	1.35036	1.88764	0.29853	2.72415	0.07992	0.00821	8.95675	1.58514	0.78348	0.0	0.35771	0.06007	0.18476	0.41979	0.24124	1.95854	0.06609	1.06521	0.27993	0.0	0.15366	0.30455	0.72769	0.2861	4.17229	2.64116	0.03932	1.00346	0.11131	0.53467	0.17665	0.33174	0.3599	0.02336	0.92209	7.08325	4.72623	3.85387	0.05805	18.76296	4.65988	1.80402	0.10966	0.2422	0.63817	4.77618	0.53176	1.1773	0.0	0.0	0.11074	0.1422	0.93913	0.92556	0.16786	0.74841	1.86941	0.01427	0.13219	0.08744	0.00644	0.01033	0.21268	0.29096	0.98297	0.82333	0.3403	0.0	0.06088	30.4755	2.59572	0.5276	81.36945	9.65163	41.19436	3.04997	14.78456	0.40237	10.13282	20.07092	0.19707	0.05939	0.63572	1.28633	0.30839
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	49.56496	62.96495	15.86759	0.6622	19.95391	65.91212	34.55152	36.19602	73.15916	73.10254	52.06445	41.47691	41.76825	39.83705	45.16577	48.44146	60.23222	36.73078	18.46729	31.69766	61.92997	78.03505	84.46114	86.20167	42.72384	65.62058	63.0287	69.52758	70.58617	71.11182	44.78918	57.68349	60.03465	60.9258	55.48673	82.64651	57.4653	45.55688	76.78981	66.32056	46.32701	42.95275	85.0679	59.39286	66.65535	66.79039	40.2573	89.73778	60.84448	42.02553	27.5142	30.15302	25.60128	44.83695	28.89003	86.07475	34.90832	59.091	45.08808	59.89795	46.20092	43.24832	85.10457	71.00798	63.37147	84.42506	85.17249	77.32465	54.38986	49.90484	60.97154	62.62112	50.61854	35.10633	29.17508	19.30424	62.83917	65.88076	61.86359	49.05993	42.87558	0.42992	0	0.10053	31.22535	67.54102	42.3533	69.53225	27.62883	69.06928	86.42454	67.98076	11.94849	58.40869
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales	0.08228	0.14708	0.995	0.0	0.30828	6.61083	0.99028	1.6156	0.11696	0.0	0.02199	13.66737	0.12146	10.00449	0.76749	0.26443	0.09483	0.10164	0.15578	8.05957	2.34043	5.39627	6.98753	3.47339	0.01644	2.61421	0.0	1.03141	0.90726	1.08899	0.3244	2.99981	7.93311	3.10972	0.0	0.00787	4.1679	0.0	0.08076	0.0	1.81651	0.28757	0.58777	0.69524	9.11578	10.25735	4.00564	0.41938	15.21366	4.49868	1.13194	7.95305	4.18963	7.8027	0.81106	0.42807	0.40663	0.03999	7.71225	0.77097	1.82341	1.52834	0.21533	0.69246	1.57573	0.26084	0.04285	0.17943	0.00513	5.38831	2.58018	1.93612	1.97387	0.5318	3.57905	1.53819	2.09495	0.67484	1.78739	0.68158	9.31999	2.73818	0.82639	2.35146	0.26941	0.04695	0.06354	0.51144	1.29565	1.53876	3.78725	0.28506	1.91116	0.90303
k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified	0.0	0.02989	0.0114	0.04225	0.66984	1.86388	0.82793	0.1221	0.3763	0.43334	0.21901	0.03394	0.0	2.02039	0.01138	0.41919	0.19457	0.15864	0.0	0.0	3.42945	0.0	0.0	0.0	0.05532	0.66341	0.40119	1.37056	0.0	0.10132	0.04973	2.49498	0.12823	0.43948	0.0	0.0	0.0	0.73807	0.07381	0.27545	0.58569	0.05199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03231	0.55893	0.0	0.0631	0.0	0.0	0.29598	0.0	0.07168	2.49211	0.84638	0.75679	3.50999	0.14344	0.00135	0.0133	0.0	0.19181	0.0	1.13452	0.0	0.0	0.0	0.0	0.0	0.01025	0.0	0.0	0.0	0.0	0.8245	0.0112	0.17416	0.19986	1.1161	0.2849	0.38326	0.8374	0.49956
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales	0.0	0.0	0.0	0.0	0.0	0.67204	0.0	0.0	0.0	0.0	0.02605	0.0	0.01741	0.00103	0.12872	0.0	0.04133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9953	0.0	7.42981	0.0	0.0	0.00208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00784	2.61423	0.06586	0.00746	0.0	0.0	0.05204	0.01393	0.92851
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales	0.0	0.0	0.0	0.0	0.02875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.06998	0.13204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13518	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales	0.0	0.0	0.0	0.0	0.04989	0.08944	1.48574	0.0	9.32081	0.03289	0.0	0.0	0.04564	0.0	0.0	6.15744	0.99174	3.00895	1.2105	0.0	0.0	0.0	0.0	0.0	0.15342	0.0	0.07967	0.0	1.624	0.25635	0.13541	0.0	0.02122	0.11605	0	0.21015	0.0	2.52623	0.0	0.0	0.0	0.37843	0.0	0.18625	6.54757	0.03635	17.0231	0.0	0.0	15.75391	0.52008	0.0	0.0	0.0	0.00246	0.00279	0.05393	0.0	0.0	0.0	0.0	0.60907	0.11645	0.4595	1.13376	0.0	0.0	0.0	4.05772	0.09419	0.40632	0.01037	0.04586	0.0088	1.14935	0.7013	0.34386	0.0	0.0	3.06307	0.06251	0.31838	0.0	0.0	0.54995	0.30234	0.54154	2.19742	2.01421	0.0	0.0	1.86907	0.0	3.99768
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24734	0.0	0.0	0.0	0.0	0.0	0.01206	0.0	0.0265	0.0	0.0	22.92504	0.11266	0.0	0.00425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28581	0.12406	0.0	0.0	0.01134	0.0	0.0	0.0	0.0	0.0	0.02881	0.0292	0.06615	0.14125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10386	0.0	0.0	0.42835	0.0	0.45212	43.45459	6.78952	0.94101	0.59391	0.85803	0.03025	0.0	0.0	0.0	0.00471	0.0	0.0	0.0	0.01578	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33327	0.0	0.0	0.25772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.00552	0.0	0	0	0.0191	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01529	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.00555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.04241	0.0	0	0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0.05343	0.13165	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales	0	0.0	0.0	0.0	0.0	0.00671	0	0	0.0	0	0.0	0	0.0	0	0.81962	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.32271	0.21195	0.29441	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.13596	0.00432	0.22585	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.04116	0.0	0.1336	0	0	0.21855	0.05484	0.0
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.26918	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	0	21.4881	0.139	0.34007	1.31907	0.74426	0	0	0.05529	0	0.47868	0	0.04568	0	0	0	0.0	0.11877	0	0	0	2.59561	2.3189	0	0	0	0	0	0.95531	0	0	0	0	0	0	0	0.0	0	0	0	0.09504	0	0.01356	0.5447	4.12956	1.86389	28.88346	0	4.92917	26.80175	2.31226	0.05114	0.05074	4.01528	0.07446	0	1.34064	1.27144	3.25024	0.09672	0.03827	9.34167	0.0	0	0.03392	0	0	0	0.10264	0.42935	0	0	0.79913	0	0	4.02821	7.96099	0.95349	0.05549	0.97293	0.06324	1.24896	2.35795	3.67974	0.09962	0	0	0.43597	2.15482	0	0	0.0	0	0.07218
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	0	0.0	0	0	0	0.13175	0.0	0	0.04579	0	0.0	0.0	0	0	0.0	0	0.09373	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0.01944	0.0	0.0	0.0	0	0.0	0	0	0	0	4.5504	0	0	5.27624	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0	0.47783	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.00597	0	0	0	0.73484	0.0	0	0	0	0	0.0	0.0	0.0	0.07367	0.0	0	0.00878	0.0	0
k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified.o__Proteobacteria_unclassified	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.03263	0.00917	0	0	0	0.13979	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.09764	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.02839	0.09452	0.0	0.0	0	0.0	0.0	0
k__Bacteria.p__Synergistetes.c__Synergistia.o__Synergistales	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	2.62416	0
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	0	0.28633	0	0	0	0.05558	11.79266	0	1.17768	0	0.27397	0.00094	0	0	11.47262	0	0	0	0	0	0	0	0	0	0	3.4549	0.62896	1.58406	0	0	0	0	0	0.58472	2.4757	0	0.11748	11.1634	2.31509	1.46216	0	0.02319	0	0	0	0	0	0	0	0	18.39852	1.83014	3.49525	1.58762	0	0	18.64221	0	0	0	0	0	0	0	0.63875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22037	0	0	0	0	0.18945	0	0.10322	5.30209	7.65852	0	0.09551	63.30495	0
